date,GB,Aberdeen City,Aberdeenshire,Angus council,Antrim And Newtownabbey,Ards And North Down,Argyll and Bute Council,Bath and North East Somerset,Bedford,Belfast,Blackburn with Darwen,Blackpool,Blaenau Gwent,Borough of Halton,Bracknell Forest,Bridgend County Borough,Brighton and Hove,Buckinghamshire,Caerphilly County Borough,Cambridgeshire,Cardiff,Carmarthenshire,Causeway Coast and Glens,Central Bedfordshire,Ceredigion,Cheshire East,Cheshire West and Chester,City of Bristol,Clackmannanshire,Conwy Principal Area,Cornwall,County Durham,Cumbria,Darlington,Denbighshire,Derby,Derbyshire,Derry And Strabane,Devon,Dorset,Dumfries and Galloway,Dundee City Council,East Ayrshire Council,East Dunbartonshire Council,East Lothian Council,East Renfrewshire Council,East Riding of Yorkshire,East Sussex,Edinburgh,Essex,Falkirk,Fermanagh And Omagh,Fife,Flintshire,Glasgow City,Gloucestershire,Greater London,Greater Manchester,Gwynedd,Hampshire,Hartlepool,Herefordshire,Hertfordshire,Highland Council,Inverclyde,Isle of Anglesey,Isle of Wight,Kent,Kingston upon Hull,Lancashire,Leicester,Leicestershire,Lincolnshire,Lisburn and Castlereagh,Luton,Medway,Merseyside,Merthyr Tydfil County Borough,Mid And East Antrim,Mid Ulster,Middlesbrough,Midlothian,Milton Keynes,Monmouthshire,Moray,Na h-Eileanan an Iar,Neath Port Talbot Principle Area,Newport,Norfolk,North Ayrshire Council,North East Lincolnshire,North Lanarkshire,North Lincolnshire,North Somerset,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Orkney,Oxfordshire,Pembrokeshire,Perth and Kinross,Peterborough,Plymouth,Portsmouth,Powys,Reading,Redcar and Cleveland,Renfrewshire,Rhondda Cynon Taff,Rutland,Scottish Borders,Shetland Islands,Shropshire,Slough,Somerset,South Ayrshire Council,South Gloucestershire,South Lanarkshire,South Yorkshire,Southampton,Southend-on-Sea,Staffordshire,Stirling,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Surrey,Swansea,Swindon,Thurrock,Torbay,Torfaen Principal Area,Tyne and Wear,Vale of Glamorgan,Warrington,Warwickshire,West Berkshire,West Dunbartonshire Council,West Lothian,West Midlands,West Sussex,West Yorkshire,Wiltshire,Windsor and Maidenhead,Wokingham,Worcestershire,Wrexham Principal Area,York
2020-02-15,2,2,2,0,2,2,0,3,2,2,2,2,0,0,0,3,2,2,4,2,2,5,1,2,0,2,2,3,0,0,4,2,3,0,0,2,2,2,4,3,4,2,0,0,0,0,2,2,2,2,3,0,2,2,3,3,2,2,0,3,0,4,2,2,0,0,3,2,2,2,1,2,2,2,2,2,2,0,3,0,1,0,2,0,0,0,3,3,2,3,1,2,2,3,3,2,2,2,2,0,3,0,3,2,4,3,0,3,2,3,4,0,0,0,2,2,4,0,3,3,2,3,2,2,0,2,2,2,3,3,3,2,4,0,2,0,2,2,0,0,2,2,3,2,3,0,0,2,3,3
2020-02-16,1,-1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,1,0,1,1,0,0,1,0,0,1,1,0,0,2,1,1,0,0,1,1,0,2,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,2,1,0,0,2,0,0,1,1,0,0,0,2,1,0,1,1,1,0,1,2,1,0,0,0,0,0,1,0,0,NA,0,2,2,0,1,1,0,1,1,1,0,1,1,NA,1,0,0,1,2,2,0,0,0,1,3,0,0,NA,2,2,2,0,1,1,1,2,0,1,0,0,1,2,2,1,1,2,0,0,0,0,1,1,0,0,0,1,2,1,1,0,0,1,0,1
2020-02-17,2,1,2,3,3,2,1,1,3,2,3,2,3,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,2,1,1,2,0,2,3,1,3,2,3,1,2,1,3,2,2,2,2,2,7,2,2,0,2,2,3,2,3,2,2,3,3,2,3,2,3,3,2,2,1,2,4,1,0,2,3,2,1,2,1,2,2,2,3,2,2,2,0,2,2,0,2,2,2,4,2,2,1,4,0,2,0,3,3,2,1,2,1,2,1,3,2,3,3,2,2,2,2,2,2,2,3,2,3,2,2,3,1,2,2,3,3,2,2,2,3,2,2
2020-02-18,2,1,1,1,3,2,1,1,3,2,3,2,3,2,3,3,2,3,3,2,2,3,3,3,2,2,2,2,3,2,2,3,2,3,3,3,2,2,2,2,2,2,1,0,1,0,3,3,0,2,2,3,1,3,0,3,2,2,2,3,2,5,3,2,0,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,1,3,4,0,0,3,3,2,1,2,0,3,2,2,3,3,2,3,0,3,2,0,3,3,2,3,3,3,0,3,0,2,0,3,3,2,0,2,0,2,2,2,3,2,3,3,2,3,3,3,2,2,3,2,2,2,3,2,1,2,3,2,3,3,2,3,4,2,2
2020-02-19,3,2,2,0,3,4,1,2,3,3,3,3,4,3,3,3,2,3,3,2,3,4,3,3,2,3,3,2,3,3,2,2,3,3,3,3,3,3,2,2,3,0,1,0,1,0,2,3,0,2,1,4,0,3,0,3,3,2,3,3,2,3,3,2,1,4,2,3,2,3,3,3,3,3,3,2,3,4,4,3,2,0,3,3,0,0,3,3,2,0,2,0,2,3,3,3,2,2,3,0,3,3,0,3,2,2,4,3,2,1,4,0,1,0,3,3,2,1,3,0,2,2,2,3,2,2,2,2,3,3,3,3,3,3,2,3,2,3,3,0,0,3,3,3,3,3,3,3,3,2
2020-02-20,3,0,0,1,3,3,1,2,3,2,4,3,4,4,3,3,3,4,3,3,3,3,2,3,3,3,3,2,0,4,3,3,3,3,4,3,3,2,3,3,2,0,0,0,1,0,3,4,0,3,1,2,1,4,0,3,3,3,2,3,3,4,3,1,1,3,3,3,3,4,3,3,3,3,3,4,3,4,3,3,3,1,3,3,1,0,3,3,3,0,3,0,3,3,3,3,3,3,3,0,3,3,0,3,2,3,3,3,2,0,3,0,0,0,3,3,3,1,3,0,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,4,3,3,3,3
2020-02-21,3,1,1,1,3,4,2,2,3,2,4,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,2,0,3,2,3,4,4,3,3,3,2,2,2,4,0,2,2,1,2,3,2,1,2,3,3,1,4,2,3,3,3,4,2,3,3,3,1,2,0,2,3,2,4,3,3,3,3,3,3,3,0,2,2,3,1,3,2,1,0,2,3,3,2,3,1,3,2,3,3,3,2,3,0,3,3,2,3,2,2,2,3,3,3,3,0,1,0,3,4,2,2,3,2,3,2,2,3,3,3,3,3,2,2,3,3,2,3,3,3,2,2,2,2,2,3,2,3,3,3,3,3,3,2
2020-02-22,1,1,1,0,2,2,0,-1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,2,1,0,0,0,0,1,1,2,0,3,0,2,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0
2020-02-23,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1
2020-02-24,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,0,1,9,3,4,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,3,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,7,2,2,1,2,2,0,1,1,2,1,1,1,1,2,5,2,4,2,1,0,1,1,2,1,1,1,4,1,2,1,2,0,2,0,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,2,3,1,1,0,1,1,2
