date,CI
2020-02-15,3
2020-02-16,4
2020-02-17,1
2020-02-18,2
2020-02-19,0
2020-02-20,2
2020-02-21,-1
2020-02-22,-3
2020-02-23,1
2020-02-24,-3
2020-02-25,0
2020-02-26,-3
2020-02-27,1
2020-02-28,-2
2020-02-29,1
2020-03-01,6
2020-03-02,1
2020-03-03,4
2020-03-04,6
2020-03-05,6
2020-03-06,1
2020-03-07,2
2020-03-08,6
2020-03-09,3
2020-03-10,6
2020-03-11,6
2020-03-12,4
2020-03-13,-1
2020-03-14,-3
2020-03-15,1
2020-03-16,0
2020-03-17,2
2020-03-18,-6
2020-03-19,-8
2020-03-20,-11
2020-03-21,-16
2020-03-22,-19
2020-03-23,-16
2020-03-24,-23
2020-03-25,-25
2020-03-26,-24
2020-03-27,-31
2020-03-28,-34
2020-03-29,-35
2020-03-30,-28
2020-03-31,-28
2020-04-01,-29
2020-04-02,-25
2020-04-03,-30
2020-04-04,-34
2020-04-05,-33
2020-04-06,-27
2020-04-07,-27
2020-04-08,-30
2020-04-09,-28
2020-04-10,-33
2020-04-11,-32
