date,CA,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
2020-02-15,0,-1,0,0,1,1,0,0,0,-1,0,1,0,0
2020-02-16,-2,-2,-2,-2,-4,-3,0,-6,NA,-2,0,-1,-1,0
2020-02-17,11,15,12,17,14,0,0,15,0,16,14,0,14,0
2020-02-18,1,2,0,1,0,1,0,0,0,1,0,2,4,0
2020-02-19,0,1,0,1,1,5,0,2,0,0,2,1,3,0
2020-02-20,0,0,0,0,1,1,0,-1,0,0,1,0,1,0
2020-02-21,1,0,-1,0,1,2,0,1,0,1,2,1,1,0
2020-02-22,-1,-1,0,-1,0,0,0,0,0,-2,0,0,0,0
2020-02-23,-1,0,0,-1,-4,-4,0,-7,NA,-1,0,-1,-1,0
2020-02-24,0,0,0,1,0,-2,0,1,0,0,1,0,0,0
2020-02-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-02-26,1,-1,0,0,-1,0,0,-1,0,3,0,1,0,0
2020-02-27,4,0,0,0,11,-1,0,2,0,5,5,8,-1,0
2020-02-28,1,-1,-2,0,3,8,0,1,0,2,4,1,-2,0
2020-02-29,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,0
2020-03-01,-1,-1,-1,0,-2,-2,0,-4,NA,-1,0,-2,1,0
2020-03-02,1,0,1,1,2,7,0,1,0,0,1,3,0,0
2020-03-03,0,0,1,0,2,1,0,1,0,0,1,2,0,0
2020-03-04,1,0,-1,1,4,1,0,1,0,0,1,3,0,0
2020-03-05,1,0,1,1,3,1,0,0,0,0,2,2,0,0
2020-03-06,1,0,-2,0,3,0,0,0,0,1,2,4,-2,0
2020-03-07,0,2,0,0,0,4,0,4,0,-1,0,0,1,0
2020-03-08,0,1,0,1,-3,2,0,-6,0,-1,0,-1,1,0
2020-03-09,1,0,1,1,1,-1,0,1,0,1,2,1,1,0
2020-03-10,1,1,2,1,6,0,0,2,0,1,2,3,0,0
2020-03-11,1,1,1,0,1,2,0,1,0,1,1,1,0,0
2020-03-12,1,1,2,0,0,0,0,-1,0,1,0,0,0,0
2020-03-13,5,5,2,3,6,1,0,3,0,3,3,8,1,0
2020-03-14,5,7,4,4,4,4,0,2,0,3,0,6,4,0
2020-03-15,4,5,3,4,1,-1,0,-4,NA,4,0,5,4,0
2020-03-16,10,9,8,7,8,3,0,9,0,11,9,11,5,0
2020-03-17,14,13,12,10,12,7,0,12,0,15,12,16,8,0
2020-03-18,16,16,14,12,14,11,0,14,0,17,14,17,11,0
2020-03-19,17,18,16,14,16,10,0,14,0,19,16,18,13,0
2020-03-20,20,19,16,15,21,14,0,19,0,21,22,22,15,0
2020-03-21,13,13,12,12,13,12,0,11,0,13,0,15,12,0
2020-03-22,11,11,12,10,7,5,0,4,NA,12,0,11,10,0
2020-03-23,20,19,20,17,18,12,0,19,0,22,19,19,16,0
2020-03-24,22,22,22,19,21,17,0,24,0,22,22,22,20,0
2020-03-25,23,22,21,19,19,21,0,20,0,25,20,26,19,0
2020-03-26,25,22,23,20,21,18,0,22,0,26,22,28,20,0
2020-03-27,26,23,23,20,24,24,0,24,0,26,25,28,20,0
2020-03-28,17,16,17,13,13,14,0,14,0,16,0,18,14,0
2020-03-29,14,13,13,11,8,9,0,5,0,14,0,15,11,0
2020-03-30,23,21,21,18,20,17,0,21,0,25,21,26,17,0
2020-03-31,23,23,22,19,20,20,0,22,0,24,22,26,20,0
2020-04-01,24,23,22,20,22,19,0,22,0,25,22,27,20,0
2020-04-02,25,24,23,24,23,20,0,22,0,26,23,29,21,0
2020-04-03,27,25,22,25,25,22,0,24,0,27,25,30,21,0
2020-04-04,17,16,16,16,15,14,0,16,0,16,0,18,16,0
2020-04-05,14,14,13,12,8,8,0,5,NA,14,0,16,12,0
2020-04-06,23,21,20,20,20,16,0,21,0,24,20,25,19,0
2020-04-07,24,23,21,21,20,19,0,21,0,25,20,26,19,0
2020-04-08,24,22,21,21,20,18,0,21,0,25,20,27,20,0
2020-04-09,24,21,20,19,20,17,0,19,0,25,19,29,18,0
2020-04-10,33,32,27,33,35,30,0,33,0,36,0,33,28,0
2020-04-11,17,16,15,15,15,14,0,16,0,16,0,19,15,0
