date,UY,Artigas Department,Canelones Department,Cerro Largo Department,Colonia Department,Durazno Department,Flores Department,Florida Department,Lavalleja Department,Maldonado Department,Montevideo Department,Paysandú Department,Río Negro Department,Rivera Department,Rocha Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department,Treinta y Tres Department
2020-02-15,0,0,-5,0,-1,0,0,5,7,-21,13,36,29,0,-26,0,2,0,12,0
2020-02-16,-5,0,-9,0,3,0,0,6,3,-18,5,12,-17,0,-23,0,14,0,21,0
2020-02-17,-4,0,-15,20,-8,0,0,0,0,-26,3,5,7,0,-29,0,-1,0,6,0
2020-02-18,-4,0,-12,0,-4,0,0,-5,-1,-23,7,-5,19,0,-30,0,74,0,4,0
2020-02-19,2,0,-5,0,1,0,0,13,12,-6,16,6,12,0,-19,0,2,0,1,0
2020-02-20,0,0,-10,0,13,0,0,3,11,-20,8,9,5,0,-29,0,12,0,7,0
2020-02-21,-4,0,-12,23,3,0,0,11,8,-25,5,7,27,0,-30,0,10,0,9,0
2020-02-22,-3,0,-14,0,6,0,0,9,-3,-11,2,19,18,0,-9,0,1,0,6,0
2020-02-23,-6,0,-18,0,3,0,0,0,-2,-8,-4,7,6,0,-8,0,0,0,-10,0
2020-02-24,-10,0,3,0,1,0,0,-27,-18,12,-28,-13,7,0,18,0,-21,0,-15,0
2020-02-25,-14,0,-9,0,53,0,0,-29,-12,16,-27,-14,15,0,22,0,-26,0,-4,0
2020-02-26,0,0,-8,0,29,0,0,22,22,4,8,6,6,0,-4,0,-2,0,6,0
2020-02-27,-1,0,-8,0,13,0,0,8,6,-17,5,0,-5,0,-21,0,10,0,-1,0
2020-02-28,-3,0,-7,12,-8,0,0,11,-1,-21,7,11,2,0,-32,0,2,0,5,0
2020-02-29,-6,0,-12,0,-19,0,0,3,-9,-30,8,12,21,0,-45,0,13,0,-1,0
2020-03-01,-15,0,-25,0,-13,0,0,-2,-8,-37,2,6,-6,0,-54,0,-1,0,-18,0
2020-03-02,1,0,-12,20,-19,0,0,14,11,-34,15,5,9,0,-50,0,7,0,0,0
2020-03-03,4,0,-9,0,-12,0,0,10,3,-31,26,9,2,0,-46,0,11,0,17,0
2020-03-04,6,0,-7,0,-10,0,0,25,15,-26,31,22,23,0,-48,0,16,0,21,0
2020-03-05,5,0,-10,0,-11,0,0,15,18,-33,22,18,12,0,-51,0,25,0,24,0
2020-03-06,6,0,-9,23,-5,0,0,27,9,-32,25,8,27,0,-49,0,30,0,38,0
2020-03-07,-4,0,-17,0,-24,0,0,10,-6,-41,22,-1,5,0,-55,0,1,0,19,0
2020-03-08,-10,0,-25,0,-16,0,0,0,3,-41,19,9,-6,0,-58,0,9,0,20,0
2020-03-09,6,0,-14,27,-14,0,0,17,13,-35,26,14,24,0,-54,0,23,0,23,0
2020-03-10,4,0,-11,0,-9,0,0,11,0,-34,29,13,19,0,-52,0,23,0,10,0
2020-03-11,2,0,-12,0,-20,0,0,17,5,-29,29,12,4,0,-49,0,11,0,0,0
2020-03-12,1,0,-12,0,-15,0,0,13,5,-38,18,7,0,0,-56,0,21,0,-3,0
2020-03-13,1,0,-15,15,-18,0,0,20,3,-37,23,5,5,0,-54,0,19,0,7,0
2020-03-14,-32,0,-43,0,-43,0,0,-21,-17,-59,-15,-29,-11,0,-69,0,-20,0,-19,0
2020-03-15,-40,0,-49,0,-41,-72,0,-30,-29,-63,-19,-46,-30,0,-76,-65,-16,0,-46,0
2020-03-16,-27,0,-34,-12,-41,0,0,-24,-27,-57,-17,-29,-21,0,-70,0,-17,0,-22,0
2020-03-17,-37,0,-40,-28,-47,0,0,-35,-32,-61,-26,-48,-37,-30,-70,0,-25,0,-31,0
2020-03-18,-47,0,-50,-31,-59,0,0,-47,-42,-65,-37,-41,-35,-37,-75,0,-36,0,-39,0
2020-03-19,-49,0,-52,-40,-63,0,0,-48,-42,-70,-43,-45,-39,-43,-76,0,-36,0,-38,0
2020-03-20,-46,-47,-49,-38,-76,0,0,-48,-51,-70,-35,-52,-42,-45,-79,-55,-37,0,-41,0
2020-03-21,-56,-55,-60,-49,-85,-79,0,-55,-59,-77,-42,-65,-46,0,-84,-58,-49,0,-59,0
2020-03-22,-68,-77,-72,-70,-89,0,0,-72,-69,-84,-55,-74,-60,0,-87,-65,-49,0,-73,0
2020-03-23,-53,0,-56,-45,-80,0,0,-52,-55,-76,-44,-53,-47,-53,-84,-55,-46,0,-58,-43
2020-03-24,-56,-67,-58,-53,-78,0,0,-56,-57,-75,-47,-59,-48,-65,-83,-65,-48,0,-57,-49
2020-03-25,-57,-59,-58,-49,-79,0,0,-55,-65,-73,-47,-60,-46,-63,-81,0,-53,0,-57,-54
2020-03-26,-58,-62,-60,-57,-80,0,0,-60,-62,-77,-52,-52,-53,-68,-84,0,-50,0,-62,-50
2020-03-27,-58,-67,-59,-62,-84,0,0,-58,-62,-78,-49,-59,-55,-57,-85,-64,-52,0,-60,-55
2020-03-28,-64,-73,-69,-58,-88,-79,0,-62,-65,-81,-51,-71,-52,-67,-88,-58,-57,0,-67,0
2020-03-29,-71,-77,-75,-73,-90,0,0,-70,-69,-86,-58,-78,-64,0,-90,-68,-61,0,-76,0
2020-03-30,-57,0,-60,-53,-82,0,0,-54,-61,-76,-50,-57,-45,-63,-83,-55,-51,0,-65,-54
2020-03-31,-59,-64,-61,-49,-80,0,0,-52,-64,-78,-50,-51,-46,-62,-83,0,-48,0,-60,-46
2020-04-01,-60,0,-63,-44,-80,0,0,-47,-57,-76,-51,-49,-50,-55,-84,0,-51,0,-52,-51
2020-04-02,-55,0,-60,-45,-78,0,0,-48,-58,-78,-48,-49,-41,-57,-83,0,-42,0,-45,-39
2020-04-03,-52,-44,-55,-42,-78,0,0,-41,-61,-75,-41,-51,-48,-52,-81,0,-41,0,-48,-37
2020-04-04,-57,-55,-63,-42,-87,-77,0,-48,-64,-78,-42,-58,-54,-58,-84,0,-40,0,-54,0
2020-04-05,-68,-77,-73,-70,-92,0,0,-66,-68,-85,-53,-71,-68,0,-90,-71,-55,0,-73,0
2020-04-06,-55,0,-59,-35,-80,0,0,-44,-59,-79,-47,-43,-45,-55,-84,0,-47,0,-55,-51
2020-04-07,-55,0,-57,-34,-77,0,0,-49,-64,-77,-47,-41,-43,-55,-82,0,-48,0,-56,-57
2020-04-08,-54,0,-54,-36,-73,0,0,-52,-65,-75,-45,-46,-44,-55,-82,0,-46,0,-56,-51
2020-04-09,-60,-53,-58,-43,-76,0,0,-58,-67,-78,-57,-50,-49,-60,-85,0,-42,0,-59,-56
2020-04-10,-70,-72,-65,-79,-84,0,0,-77,-76,-82,-66,-78,-69,-72,-88,-67,-68,0,-78,-68
2020-04-11,-63,-55,-66,-53,-82,-83,0,-60,-67,-82,-51,-68,-59,-61,-90,-67,-53,0,-68,0
