date,PE,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao Region,Cusco,Huancavelica,Huanuco,Ica,Junin,La Libertad,Lambayeque,Lima Region,Loreto,Madre de Dios,Metropolitan Municipality of Lima,Moquegua,Pasco,Piura,Puno,San Martin,Tacna,Tumbes,Ucayali
2020-02-15,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-2,-1,0,-1,0,0,-1,-1,0,-1,1,-1,-1,0,-1
2020-02-16,0,0,0,0,-1,1,1,0,2,0,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2020-02-17,0,0,0,2,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1
2020-02-18,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,-1,2
2020-02-19,1,0,1,1,1,1,0,1,0,0,1,2,1,1,1,1,1,-1,1,0,0,0,1,1,1,1,1
2020-02-20,0,0,0,1,1,0,-1,0,-1,0,0,1,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,1
2020-02-21,1,0,0,2,4,0,-2,0,2,0,1,1,1,0,0,0,-1,7,0,3,0,0,4,-1,5,1,0
2020-02-22,0,0,-1,1,0,-2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,-1,5
2020-02-23,0,0,-1,0,-1,-5,-2,0,0,0,1,0,-2,0,0,0,3,0,0,3,0,0,-3,-1,2,0,1
2020-02-24,0,0,-1,2,2,0,-1,1,0,0,-1,1,0,0,0,1,1,1,0,2,0,1,-1,1,1,1,0
2020-02-25,0,0,1,0,3,-1,-2,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,0
2020-02-26,0,0,0,1,2,0,-1,0,0,0,1,1,1,0,0,0,0,1,0,-1,0,-1,-2,0,1,0,0
2020-02-27,0,0,0,1,1,2,0,0,1,0,1,1,1,1,0,1,0,0,0,-1,0,0,-1,0,1,0,4
2020-02-28,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,-2,0,1,0,1
2020-02-29,-1,0,0,0,0,2,-1,-1,0,0,0,0,0,-1,-1,-1,-3,0,-1,0,0,-1,-2,-1,0,-1,1
2020-03-01,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,0,0,0,-1,0,0,0,-2,3,0,0,5
2020-03-02,0,0,0,1,0,-1,0,0,-1,0,-1,1,0,0,0,0,-2,-1,0,1,0,0,-1,-1,0,-1,-1
2020-03-03,0,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,1,-1,-1
2020-03-04,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,-1,-1,0,0,0,0,0,1,1,0,0
2020-03-05,0,0,0,2,1,2,0,0,-1,0,-1,2,0,0,0,1,-1,0,0,0,0,0,0,0,1,1,1
2020-03-06,0,0,0,1,1,1,1,0,-1,0,0,2,0,0,1,0,-2,0,0,0,0,1,2,0,1,0,2
2020-03-07,0,0,0,1,1,2,1,1,1,0,1,2,1,1,1,1,-1,0,0,0,0,1,3,-1,1,3,0
2020-03-08,1,0,0,0,2,1,1,1,2,0,1,2,1,1,1,1,0,0,1,0,0,-1,1,-1,1,0,-6
2020-03-09,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,1,-1,0,1,0,2
2020-03-10,0,0,0,1,1,2,0,0,0,0,0,2,0,1,1,0,0,-1,0,1,0,1,7,-1,1,-1,0
2020-03-11,1,0,1,1,2,1,0,1,0,0,3,3,0,1,1,1,0,0,1,1,0,1,8,0,1,1,0
2020-03-12,3,0,1,3,4,3,2,3,0,0,2,3,2,2,2,3,0,1,3,2,0,2,0,1,3,2,1
2020-03-13,4,0,2,3,7,3,3,4,4,0,4,8,3,2,3,3,0,0,4,3,0,2,3,0,4,2,2
2020-03-14,4,0,2,5,7,5,3,4,5,0,5,5,4,3,3,4,1,0,5,4,0,3,4,2,5,4,1
2020-03-15,5,0,4,0,6,5,3,6,5,0,5,5,4,4,4,4,-1,0,6,4,0,5,3,3,4,0,4
