date,ZA,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape
2020-02-15,-2,-3,-1,-3,-1,-2,-2,-2,0,-1
2020-02-16,0,-3,-1,0,-1,-1,0,1,-1,-1
2020-02-17,1,2,1,1,1,1,1,1,1,0
2020-02-18,1,3,3,1,1,1,1,1,1,0
2020-02-19,1,1,2,1,4,2,2,3,1,-1
2020-02-20,-1,0,1,-1,-1,0,0,1,-1,-1
2020-02-21,-3,-3,-2,-2,-2,-3,-3,-1,-3,-4
2020-02-22,0,-1,1,-1,1,-1,-1,1,1,1
2020-02-23,3,1,1,4,4,5,4,3,2,1
2020-02-24,1,1,1,1,1,2,1,2,1,0
2020-02-25,-1,-1,0,-1,-1,1,0,0,-1,-1
2020-02-26,-1,1,0,-1,0,1,1,0,-1,-2
2020-02-27,-1,2,1,-1,0,0,0,-1,-1,-1
2020-02-28,-2,-2,-2,-2,1,-2,-2,-3,-5,-4
2020-02-29,-2,-2,-1,-4,0,-1,-1,-2,-2,-2
2020-03-01,-1,-2,-1,0,-1,-1,-1,-1,-3,-2
2020-03-02,1,0,0,2,-1,1,1,1,-1,-1
2020-03-03,-1,-1,-1,-1,-1,1,0,0,-1,0
2020-03-04,0,1,1,0,1,2,1,1,0,0
2020-03-05,0,1,0,0,0,1,1,0,0,0
2020-03-06,-1,-1,0,-2,0,0,-1,-1,-2,-2
2020-03-07,0,0,-1,-2,1,0,0,-1,-1,1
2020-03-08,2,1,1,2,2,3,3,2,1,1
2020-03-09,1,2,1,1,1,1,1,1,1,1
2020-03-10,-1,0,0,-1,0,0,-1,-1,-1,-2
2020-03-11,-2,-1,0,-1,-1,-1,-1,-1,-2,-3
2020-03-12,-2,-1,-1,-2,-2,-2,-2,-2,-4,-3
2020-03-13,-4,-4,-3,-3,-3,-4,-4,-5,-5,-5
2020-03-14,-1,-1,-2,-2,0,-1,0,-2,-2,1
2020-03-15,2,2,1,3,2,2,2,2,0,2
2020-03-16,3,4,2,4,5,2,3,3,2,3
2020-03-17,5,3,4,6,4,3,3,3,2,5
2020-03-18,7,5,5,9,7,5,5,4,3,7
2020-03-19,9,7,7,11,8,7,7,6,4,10
2020-03-20,9,6,7,10,8,5,6,6,3,9
2020-03-21,8,5,6,8,9,7,7,7,5,10
2020-03-22,9,4,6,10,8,7,8,8,4,7
2020-03-23,11,8,9,13,9,7,7,8,6,12
2020-03-24,9,6,7,11,7,6,5,5,4,11
2020-03-25,7,4,6,9,5,4,4,4,1,9
2020-03-26,6,4,3,8,4,2,2,2,1,8
2020-03-27,40,36,37,44,37,36,35,37,36,40
2020-03-28,28,24,24,28,27,26,25,26,25,30
2020-03-29,24,20,20,26,23,24,23,24,20,22
2020-03-30,36,31,32,41,32,32,31,33,31,36
2020-03-31,35,29,30,38,30,30,31,30,29,36
2020-04-01,35,31,29,39,32,31,31,31,28,36
2020-04-02,37,32,31,40,32,32,32,33,31,37
2020-04-03,38,33,35,42,35,32,33,36,33,38
2020-04-04,27,22,22,27,27,25,24,25,21,28
2020-04-05,22,19,18,24,22,22,22,22,17,21
2020-04-06,37,32,32,40,33,32,31,33,31,37
2020-04-07,36,32,31,39,34,30,31,32,30,37
2020-04-08,36,32,32,40,34,33,33,33,29,36
2020-04-09,36,31,31,40,33,32,32,32,29,36
2020-04-10,44,40,42,48,41,41,41,43,41,44
2020-04-11,27,24,23,27,27,25,24,25,22,28
