date,KE,Baringo County,Bomet County,Bungoma County,Busia County,Embu County,Garissa County,Homa Bay County,Kajiado County,Kakamega County,Kericho County,Kiambu County,Kilifi County,Kirinyaga County,Kisii County,Kisumu County,Kitui County,Kwale County,Laikipia County,Machakos County,Makueni County,Meru County,Migori County,Mombasa County,Muranga County,Nairobi County,Nakuru County,Nandi County,Narok County,Nyandarua County,Nyeri County,Siaya,Taita-Taveta County,Tharaka-Nithi County,Trans-Nzoia County,Turkana County,Uasin Gishu County,Vihiga County,Wajir County
2020-02-15,2,NA,0,2,5,-5,2,0,3,7,2,2,2,2,8,5,3,3,5,5,6,2,10,2,2,2,1,-2,0,NA,-1,4,8,25,2,4,5,0,NA
2020-02-16,3,NA,0,0,0,-3,0,0,5,10,4,4,3,5,7,4,4,-1,-3,9,0,-1,0,3,0,3,3,0,0,NA,2,0,NA,10,0,0,4,0,NA
2020-02-17,3,4,10,-1,5,-3,3,-2,2,4,-1,5,-3,6,0,3,-1,-2,9,4,-10,1,4,4,3,3,2,-1,6,0,1,-3,5,15,-1,5,7,-3,NA
2020-02-18,2,-2,-4,-6,-4,-2,2,-3,1,1,-3,4,-4,6,2,3,-3,-4,1,5,-12,-1,0,2,0,3,2,2,8,4,0,-5,0,9,2,0,3,0,NA
2020-02-19,1,-4,-4,-5,-5,-3,-6,1,1,1,1,3,-4,-2,-1,2,1,-7,5,2,-15,0,0,2,0,1,0,-3,3,4,-1,-6,-2,12,-2,2,5,-17,NA
2020-02-20,1,-4,-2,-7,0,-4,-2,-1,0,6,-1,2,-5,0,6,2,-3,-5,-1,3,-12,0,-5,1,-1,2,-1,2,2,6,1,-4,-2,16,2,-3,3,-3,0
2020-02-21,3,NA,-5,-2,-3,-2,-2,-8,5,2,-1,4,-2,0,6,8,-4,-6,4,4,-15,2,4,2,3,4,0,1,3,0,2,-1,10,20,-2,2,9,0,NA
2020-02-22,3,NA,0,1,0,0,-2,0,4,7,3,4,1,2,8,5,12,0,3,4,-2,7,2,2,0,3,0,2,8,NA,4,8,2,21,-2,0,7,0,NA
2020-02-23,5,NA,0,7,0,3,4,0,9,11,4,5,2,7,14,6,13,1,4,8,0,7,0,3,3,5,3,0,0,NA,4,0,NA,19,6,0,5,0,NA
2020-02-24,5,7,-3,5,4,3,6,-7,4,17,7,5,2,6,-8,7,7,-2,11,6,4,7,-5,6,4,4,6,7,11,9,6,7,8,21,3,2,8,2,NA
2020-02-25,6,4,12,7,4,6,11,4,4,15,11,7,3,9,10,7,6,4,5,8,4,7,19,5,6,5,8,12,14,13,7,10,14,20,7,2,7,11,NA
2020-02-26,5,11,10,5,2,3,5,4,5,14,13,6,3,6,8,4,10,1,10,9,2,4,12,5,9,5,6,10,11,14,5,10,8,13,3,8,6,3,NA
2020-02-27,5,4,17,3,10,3,0,1,6,16,10,4,4,3,9,7,5,-3,8,7,3,2,6,5,3,5,6,13,8,12,4,15,8,21,7,3,7,8,NA
2020-02-28,8,NA,11,11,11,4,2,3,10,15,9,9,6,10,9,12,9,1,9,8,8,4,7,7,11,8,8,10,15,8,7,13,15,22,3,7,13,11,NA
2020-02-29,5,NA,0,7,11,-2,-2,0,6,17,10,5,3,3,12,6,1,0,5,9,8,6,12,4,4,5,5,12,0,NA,3,9,8,16,6,2,9,0,NA
2020-03-01,6,NA,0,9,0,3,-2,0,8,17,13,5,3,14,11,11,2,3,3,7,0,7,0,4,7,7,6,0,0,NA,1,0,0,13,6,0,6,0,NA
2020-03-02,6,4,23,6,11,1,2,1,6,19,9,6,4,5,6,10,4,-8,7,6,6,7,12,6,0,5,7,5,9,6,5,15,9,15,4,6,7,11,NA
2020-03-03,7,2,15,8,13,6,6,8,6,17,11,7,6,7,14,10,0,0,5,10,4,5,17,7,4,6,9,13,6,8,2,12,11,9,8,10,5,13,NA
2020-03-04,6,9,9,8,6,4,2,3,6,13,9,6,3,7,1,7,9,-2,10,8,0,6,5,5,7,6,8,5,8,16,1,7,8,20,6,12,6,6,NA
2020-03-05,7,4,17,7,10,1,8,13,7,20,11,7,8,2,10,10,4,3,10,8,4,5,11,7,6,7,8,15,8,14,2,9,6,21,7,11,6,10,NA
2020-03-06,8,NA,19,7,4,4,3,11,11,15,8,9,7,10,9,15,9,0,10,11,5,4,12,7,6,8,8,11,3,14,2,12,16,24,4,12,11,7,NA
2020-03-07,5,NA,0,10,9,2,4,0,4,13,8,5,5,6,12,8,7,2,8,6,2,9,10,5,5,5,3,8,-2,NA,4,13,12,23,4,9,8,0,NA
2020-03-08,7,NA,0,9,2,-1,4,0,14,13,10,8,2,16,11,10,6,4,8,11,0,8,0,4,9,6,7,0,0,NA,8,0,0,31,6,0,10,0,NA
2020-03-09,7,7,28,6,3,2,13,0,8,15,10,8,6,6,9,12,8,7,12,10,9,1,14,8,7,7,8,12,16,13,4,18,16,24,4,2,10,11,NA
2020-03-10,7,6,16,7,10,6,11,11,7,14,8,8,4,8,10,10,5,8,4,10,6,0,14,7,4,6,8,13,11,15,4,15,11,17,7,10,7,10,NA
2020-03-11,8,11,13,5,10,4,11,17,9,16,12,8,3,8,8,8,15,5,8,12,7,-3,13,7,10,7,8,10,6,NA,3,10,20,21,7,14,10,8,NA
2020-03-12,7,6,14,3,8,0,13,9,9,14,11,7,8,7,13,9,11,4,9,8,10,-3,8,6,12,7,8,16,6,20,4,6,17,23,9,11,7,13,NA
2020-03-13,9,NA,16,9,8,1,7,4,12,18,11,10,8,9,14,16,9,3,11,11,9,1,10,7,13,8,9,14,13,16,6,12,20,24,9,15,11,12,NA
2020-03-14,5,NA,0,10,5,0,7,0,7,12,9,5,3,5,11,8,1,-2,7,9,10,3,14,4,14,4,4,15,15,NA,5,9,12,25,6,6,12,0,NA
2020-03-15,7,NA,0,7,0,3,10,0,9,16,6,6,4,19,13,11,8,6,7,9,0,4,0,2,16,6,8,0,0,NA,2,0,0,19,10,0,5,0,NA
2020-03-16,-1,2,30,3,1,1,13,-2,-3,8,7,-1,1,7,1,4,-4,-1,7,2,5,-6,7,1,5,-3,3,1,9,11,0,10,17,18,5,2,2,0,NA
2020-03-17,-9,-15,-1,-5,-4,-9,2,-1,-12,-4,-6,-10,-6,-7,-10,-5,-13,-7,-7,-7,-8,-15,0,-5,-6,-11,-4,-15,9,-2,-11,1,8,-13,-1,-2,-10,-13,NA
2020-03-18,-13,-17,-12,-18,-9,-11,-3,-1,-15,-10,-9,-13,-7,-15,-18,-10,-17,-10,-3,-11,-15,-17,-7,-6,-7,-14,-9,-26,5,-4,-15,-14,6,-23,-2,2,-14,-22,NA
2020-03-19,-15,-19,-11,-19,-4,-13,2,-6,-17,-13,-14,-17,-12,-24,-17,-12,-20,-10,-8,-14,-14,-23,-8,-8,-6,-17,-9,-29,0,0,-17,-17,2,-32,-6,-3,-17,-20,NA
2020-03-20,-14,-14,-12,-16,-7,-16,3,-8,-14,-13,-14,-15,-14,-15,-16,-9,-22,-8,-7,-12,-15,-20,-6,-7,-8,-16,-10,-20,-3,-8,-16,-13,2,-31,-4,-3,-13,-21,NA
2020-03-21,-8,NA,0,-9,-4,-16,0,-4,-4,-9,-5,-7,-9,-13,-8,-5,-12,-1,-1,-6,-4,-11,4,-7,-1,-9,-5,-14,0,NA,-8,-6,-4,-33,-1,-9,-6,0,NA
2020-03-22,-8,NA,0,-11,2,-16,0,0,-4,-10,-7,-8,-15,-11,-13,-10,-12,0,-5,-7,0,-15,-9,-10,-1,-7,-6,-16,0,NA,-11,0,0,-46,-5,0,-13,0,NA
2020-03-23,-24,-22,-15,-26,-9,-23,5,-18,-26,-21,-19,-26,-22,-22,-28,-21,-26,-16,-10,-25,-15,-26,-13,-15,-19,-27,-18,-35,-9,-11,-22,-11,-5,-44,-13,-9,-25,-32,NA
2020-03-24,-30,-27,-28,-29,-15,-24,-2,-16,-33,-28,-23,-33,-29,-25,-29,-27,-30,-22,-21,-30,-22,-29,-12,-21,-24,-33,-21,-35,-16,-17,-28,-17,-9,-46,-14,-10,-34,-31,NA
2020-03-25,-34,-32,-33,-33,-20,-30,-5,-16,-35,-28,-24,-37,-31,-26,-34,-33,-27,-25,-18,-33,-26,-32,-16,-25,-25,-37,-26,-38,-18,-14,-29,-25,-11,-46,-20,-5,-36,-36,NA
2020-03-26,-36,-30,-29,-32,-21,-31,-6,-17,-37,-29,-26,-41,-34,-28,-35,-32,-31,-28,-23,-37,-28,-35,-18,-26,-24,-40,-29,-40,-25,-20,-32,-26,-12,-48,-35,-14,-36,-33,NA
2020-03-27,-36,-30,-27,-32,-14,-31,-7,-18,-36,-29,-27,-41,-40,-28,-34,-30,-33,-29,-23,-36,-30,-33,-18,-31,-25,-40,-30,-34,-23,-18,-33,-26,2,-46,-37,-12,-33,-23,NA
2020-03-28,-25,NA,-7,-18,-4,-22,0,-4,-22,-17,-18,-27,-31,-15,-23,-19,-12,-20,-12,-20,-14,-20,-10,-25,-12,-29,-22,-32,-15,NA,-19,-11,-8,-33,-28,-9,-22,0,NA
2020-03-29,-22,NA,0,-19,-2,-22,4,0,-18,-15,-16,-22,-28,-21,-24,-21,-25,-16,-20,-21,0,-25,-2,-21,-11,-25,-18,-29,0,NA,-25,0,0,-50,-11,0,-27,0,NA
