date,BH
2020-02-15,3
2020-02-16,-1
2020-02-17,-1
2020-02-18,-4
2020-02-19,-4
2020-02-20,-2
2020-02-21,2
2020-02-22,2
2020-02-23,-2
2020-02-24,0
2020-02-25,4
2020-02-26,2
2020-02-27,0
2020-02-28,-5
2020-02-29,-1
2020-03-01,-1
2020-03-02,-1
2020-03-03,-3
2020-03-04,-3
2020-03-05,-2
2020-03-06,-3
2020-03-07,-3
2020-03-08,-5
2020-03-09,-5
2020-03-10,-5
2020-03-11,-6
2020-03-12,-1
2020-03-13,-5
2020-03-14,-6
2020-03-15,0
2020-03-16,-4
2020-03-17,-8
2020-03-18,-10
2020-03-19,-10
2020-03-20,-17
2020-03-21,-14
2020-03-22,-12
2020-03-23,-7
2020-03-24,-8
2020-03-25,-7
2020-03-26,-16
2020-03-27,-32
2020-03-28,-25
2020-03-29,-22
2020-03-30,-20
2020-03-31,-18
2020-04-01,-18
2020-04-02,-16
2020-04-03,-25
2020-04-04,-19
2020-04-05,-16
2020-04-06,-16
2020-04-07,-17
2020-04-08,-17
2020-04-09,-13
2020-04-10,-24
2020-04-11,-15
