date,RO,Alba County,Arad County,Argeș County,Bacău County,Bihor County,Bistrița-Năsăud County,Botoșani County,Brăila County,Brașov County,Bucharest,Buzău County,Călărași County,Caraș-Severin County,Cluj County,Constanța County,Covasna County,Dâmbovița County,Dolj County,Galați,Giurgiu County,Gorj County,Harghita County,Hunedoara County,Ialomița County,Iași County,Ilfov County,Maramureș County,Mehedinți County,Mureș County,Neamț County,Olt County,Prahova,Sălaj,Satu Mare County,Sibiu,Suceava County,Teleorman County,Timiș County,Tulcea County,Vâlcea County,Vaslui County,Vrancea County
2020-02-15,5,1,12,12,5,10,2,13,7,-2,7,21,5,8,3,6,0,8,7,5,10,1,-2,13,15,1,3,7,9,7,10,9,5,5,11,1,6,15,3,2,9,9,11
2020-02-16,10,12,19,16,9,13,7,16,14,7,13,22,10,7,3,14,0,3,6,15,0,10,7,12,13,12,5,15,23,23,13,10,18,11,17,12,17,20,10,16,9,21,20
2020-02-17,7,3,8,13,6,11,1,7,6,4,6,10,2,13,2,6,2,1,10,4,15,2,1,8,6,11,9,14,4,17,7,18,2,9,13,1,5,6,6,2,6,7,7
2020-02-18,6,1,9,7,4,12,1,0,2,6,6,20,12,11,2,7,5,-1,2,4,17,9,1,8,9,11,8,14,0,12,2,8,2,6,7,-1,3,1,10,6,5,6,3
2020-02-19,5,5,3,1,5,9,1,6,2,1,4,8,1,9,3,6,13,-3,-3,3,7,2,-1,2,10,11,6,9,-8,12,2,1,2,6,7,5,-1,-6,8,6,0,2,7
2020-02-20,2,2,0,8,-1,6,3,4,-4,3,-2,9,-1,2,5,1,9,4,-3,0,4,4,4,4,5,8,2,1,-6,13,-2,2,-1,0,9,1,2,-2,1,-8,-4,6,4
2020-02-21,9,12,6,18,18,7,14,29,12,7,12,17,8,7,3,11,0,1,1,12,17,8,-1,10,25,9,13,9,4,22,2,5,6,15,10,4,2,8,7,-6,0,9,21
2020-02-22,5,2,6,4,6,7,1,8,6,1,5,24,0,2,4,8,0,4,4,8,18,-7,-2,9,17,7,2,-1,9,8,0,1,1,10,18,-2,0,15,6,-4,6,19,9
2020-02-23,7,6,8,20,-1,1,7,28,13,15,6,17,10,22,10,11,0,3,7,9,0,5,4,8,13,10,1,6,9,18,1,9,9,9,6,5,6,13,4,5,11,20,11
2020-02-24,3,1,3,4,-2,8,0,-8,-5,-6,4,-1,1,4,2,3,2,-2,0,-1,12,-3,-6,0,6,1,5,1,-7,6,-6,5,-4,-1,7,-3,-1,5,3,-10,-6,0,4
2020-02-25,6,5,5,1,2,12,-1,1,-4,10,6,13,2,8,9,5,7,-3,1,2,16,-1,1,8,12,7,8,10,-2,14,-3,0,-1,7,9,7,3,6,8,-7,5,2,3
2020-02-26,6,2,-4,8,3,1,-4,2,3,7,7,9,1,2,7,10,9,-3,6,4,18,1,-1,1,11,10,7,-1,-2,8,0,1,2,1,4,5,-5,7,3,-2,6,5,12
2020-02-27,-1,-7,-5,0,-9,4,-1,-21,-8,-3,-4,7,-3,-5,3,4,4,-2,-1,-3,14,1,-8,-4,2,-2,0,1,0,6,-13,-3,-5,-1,11,-5,-6,0,0,-3,0,-5,4
2020-02-28,7,6,7,15,16,3,15,6,10,6,10,17,7,1,5,14,24,5,0,12,15,1,-4,6,18,9,7,6,-3,21,2,0,2,11,8,8,-2,10,4,7,8,4,20
2020-02-29,4,5,3,9,0,3,-2,0,4,-8,6,17,2,1,6,7,0,7,9,8,22,-11,-8,6,18,5,0,-1,11,11,0,3,-6,8,6,0,4,13,0,-1,5,4,4
2020-03-01,14,13,13,23,0,10,9,9,19,19,19,27,10,7,11,17,0,19,16,27,0,-1,-4,3,22,14,3,4,27,21,7,14,13,14,5,16,13,25,4,14,16,10,15
2020-03-02,4,1,-3,4,3,7,-5,-8,4,0,3,8,-1,6,6,10,5,0,1,4,22,-2,-8,6,5,4,1,1,4,9,-2,5,2,-1,2,2,5,5,1,-1,3,-1,4
2020-03-03,3,-4,2,0,0,9,-4,-13,-4,5,3,15,2,4,9,10,5,4,-5,3,16,0,-6,2,8,5,2,6,-2,13,-10,-6,-1,3,4,4,1,6,0,8,1,-7,8
2020-03-04,5,-2,-7,2,3,0,-3,-4,-2,6,6,17,-1,-9,7,10,8,4,0,6,18,-5,-5,-2,5,13,3,0,-6,12,0,2,0,-6,-3,7,-1,3,-6,9,0,0,9
2020-03-05,1,-3,0,-2,-4,8,-3,-13,-4,-3,-1,5,2,3,4,5,2,0,2,-3,18,-4,-8,0,1,5,-4,1,2,2,-7,-3,-8,-3,6,1,0,1,1,3,-5,1,2
2020-03-06,11,7,9,19,17,8,12,10,18,7,14,19,13,3,9,16,0,14,6,13,18,4,-4,7,22,13,5,10,1,24,8,9,3,11,12,13,4,13,4,14,8,7,26
