date,NZ,Auckland,Bay Of Plenty,Canterbury,Gisborne,Hawke's Bay,Manawatu-Wanganui,Marlborough,Nelson,Northland,Otago,Southland,Taranaki,Tasman,Waikato,Wellington,West Coast
2020-02-15,8,9,-13,-3,0,24,-4,-2,0,-27,8,0,0,0,18,22,0
2020-02-16,7,8,2,4,0,4,0,20,0,-31,1,0,0,0,14,21,0
2020-02-17,15,12,12,8,0,18,0,14,0,-17,7,0,0,0,26,21,0
2020-02-18,8,8,13,13,0,13,14,15,0,-13,6,0,0,0,20,9,0
2020-02-19,11,11,13,9,0,11,12,21,0,-29,11,0,0,0,34,12,0
2020-02-20,11,11,15,11,0,7,16,15,0,-12,10,0,0,0,22,19,0
2020-02-21,10,11,13,11,0,21,19,-23,0,-21,5,0,0,0,24,20,0
2020-02-22,1,3,-10,1,0,24,2,-23,0,-29,1,0,0,0,-5,6,0
2020-02-23,2,0,7,9,0,0,0,-6,0,-24,4,0,0,0,10,9,0
2020-02-24,18,16,17,9,0,15,0,-13,0,-15,4,0,0,0,27,25,0
2020-02-25,10,10,7,12,0,9,10,-19,0,-15,7,0,0,0,25,13,0
2020-02-26,12,12,14,8,0,16,12,-16,0,-16,7,0,0,0,25,17,0
2020-02-27,12,11,14,8,0,0,24,1,0,-15,6,0,0,0,21,26,0
2020-02-28,13,15,18,9,0,7,19,-5,0,-19,7,0,0,0,25,19,0
2020-02-29,3,7,3,-1,0,-4,0,-11,0,-27,4,0,0,0,6,0,0
2020-03-01,8,0,18,12,0,9,0,16,0,-22,17,0,0,0,21,31,0
2020-03-02,16,13,10,5,0,7,0,6,0,-30,4,0,0,0,20,27,0
2020-03-03,8,8,7,9,0,7,10,6,0,-23,1,0,0,0,21,10,0
2020-03-04,9,10,0,4,0,-2,4,7,0,-21,2,0,0,0,14,14,0
2020-03-05,10,9,9,8,0,-2,14,3,0,-25,10,0,0,0,20,22,0
2020-03-06,9,9,9,3,0,10,13,-14,0,-26,8,0,0,0,24,20,0
2020-03-07,3,1,1,-7,0,-8,0,-21,0,-35,15,0,0,0,12,18,0
2020-03-08,5,2,10,-1,0,0,0,21,0,-33,-3,0,0,0,19,27,0
2020-03-09,12,10,10,5,0,7,0,1,0,-22,3,0,0,0,20,21,0
2020-03-10,6,6,8,6,0,4,2,10,0,-32,-6,0,0,0,15,9,0
2020-03-11,7,8,4,0,0,-2,12,12,0,-25,0,0,0,0,20,12,0
2020-03-12,7,7,4,4,0,-2,12,-18,0,-19,3,0,0,0,19,17,0
2020-03-13,6,5,1,1,0,-5,15,-17,0,-28,9,0,0,0,24,17,0
2020-03-14,-2,-2,-11,-6,0,-12,-2,-32,0,-36,11,0,0,0,4,7,0
2020-03-15,-2,-7,1,-2,0,-6,0,-13,0,-31,-1,0,0,0,22,14,0
2020-03-16,3,-1,2,-5,0,-9,11,-29,0,-30,-8,0,0,0,18,13,0
2020-03-17,-9,-10,-8,-8,0,-18,0,-26,0,-30,-10,0,0,0,7,-9,0
2020-03-18,-10,-11,-5,-14,0,-14,-8,-16,0,-29,-13,0,0,0,8,-9,0
2020-03-19,-14,-17,-10,-14,0,-23,-10,-24,0,-27,-21,0,0,0,-1,-7,0
2020-03-20,-20,-23,-18,-23,0,-18,-9,-39,0,-40,-21,0,0,0,1,-16,0
2020-03-21,-32,-32,-35,-36,0,-34,-20,-38,0,-42,-35,0,0,0,-23,-31,0
2020-03-22,-36,-39,-35,-31,0,-34,-38,-27,0,-53,-40,0,0,0,-31,-32,0
2020-03-23,-34,-41,-29,-31,0,-29,-6,-30,0,-48,-45,0,0,0,-20,-33,0
2020-03-24,-51,-57,-40,-35,0,-35,-26,4,0,-53,-42,0,0,0,-37,-56,0
2020-03-25,-61,-65,-49,-52,0,-51,-42,-21,0,-61,-56,0,0,0,-49,-65,0
2020-03-26,-84,-85,-76,-81,0,-80,-80,-66,0,-83,-82,0,0,0,-77,-86,0
2020-03-27,-84,-85,-78,-84,0,-85,-81,-79,0,-86,-82,0,0,0,-79,-86,0
2020-03-28,-84,-83,-82,-87,0,-84,-84,-91,0,0,-89,0,0,0,-82,-90,0
2020-03-29,-84,-83,-83,-90,0,0,0,0,0,0,-91,0,0,0,-82,-84,0
2020-03-30,-85,-86,-80,-90,0,-85,-79,-90,0,0,-90,0,0,0,-79,-86,0
2020-03-31,-85,-87,-77,-86,0,-84,-74,-83,0,-85,-90,0,0,0,-78,-87,0
2020-04-01,-85,-86,-77,-86,0,-82,-71,-82,0,-86,-89,0,0,0,-77,-86,0
2020-04-02,-85,-87,-76,-85,0,-84,-74,-82,0,-87,-87,0,0,0,-77,-87,0
2020-04-03,-86,-88,-77,-88,0,-84,-72,-87,0,-86,-90,0,0,0,-78,-88,0
2020-04-04,-84,-85,-79,-90,0,0,-78,0,0,0,-91,0,0,0,-78,-81,0
2020-04-05,-84,-86,-79,-88,0,0,-77,-87,0,-86,-91,0,0,0,-79,-80,0
2020-04-06,-85,-87,-77,-86,0,-82,-70,-82,0,-87,-90,0,0,0,-77,-86,0
2020-04-07,-85,-87,-79,-83,0,-82,-76,-83,0,-83,-91,0,0,0,-75,-89,0
2020-04-08,-85,-87,-78,-84,0,-81,-73,-87,0,-86,-88,0,0,0,-78,-87,0
2020-04-09,-85,-88,-79,-83,0,-85,-70,-89,0,-87,-90,0,-79,0,-79,-86,0
2020-04-10,-89,-90,-86,-89,0,-89,-85,-93,0,0,-91,0,0,0,-85,-88,0
2020-04-11,-82,-83,-78,-84,0,-84,-73,0,0,0,-88,0,0,0,-78,-82,0
