date,IE,County Carlow,County Cavan,County Clare,County Cork,County Donegal,County Dublin,County Galway,County Kerry,County Kildare,County Kilkenny,County Laois,County Leitrim,County Limerick,County Longford,County Louth,County Mayo,County Meath,County Monaghan,County Offaly,County Roscommon,County Sligo,County Tipperary,County Waterford,County Westmeath,County Wexford,County Wicklow
2020-02-15,-36,-20,-32,-21,-43,-24,-40,-25,-32,-33,-22,0,0,-18,0,-30,-25,-23,0,-22,0,-20,-31,-47,-37,-36,-61
2020-02-16,-29,-12,0,-30,-40,-22,-34,-24,-34,-37,-11,0,0,-31,0,-42,-15,-17,0,-15,0,-18,-23,-30,-39,-29,-27
2020-02-17,12,0,0,0,9,11,4,23,11,11,21,0,0,9,0,0,0,11,0,22,0,0,16,20,0,2,24
2020-02-18,12,0,0,0,9,23,6,16,21,-2,16,0,0,-5,0,0,0,22,0,8,0,0,7,5,0,0,14
2020-02-19,-5,0,0,0,-10,-10,-4,-13,-3,-17,3,0,0,-8,0,0,-16,11,0,0,0,0,4,-14,0,-9,-13
2020-02-20,12,0,0,0,22,5,3,33,49,2,30,0,0,3,0,0,0,22,0,15,0,0,3,33,0,0,18
2020-02-21,-1,-9,0,-8,-8,0,6,-8,9,-12,5,0,0,-14,0,0,-11,-6,0,5,0,0,-8,-1,0,-2,3
2020-02-22,-4,-2,0,0,-7,-7,-1,-6,5,-10,4,0,0,-4,0,-7,-5,10,0,-3,0,-18,-5,-6,0,11,-14
2020-02-23,1,0,0,24,-13,14,-4,10,-3,6,11,0,0,9,0,1,21,9,0,4,0,2,-9,-8,-9,-10,-6
2020-02-24,3,0,0,0,3,-3,-3,17,7,2,5,0,0,7,0,0,0,11,0,1,0,0,2,5,0,-4,-7
2020-02-25,6,0,0,0,-6,5,11,2,-6,-5,-2,0,0,0,0,0,0,13,0,-5,0,0,-5,-12,0,-9,-2
2020-02-26,9,0,0,6,0,-1,15,4,10,-6,-2,0,0,-5,0,0,0,22,0,0,0,0,7,4,0,0,2
2020-02-27,15,0,0,0,18,-5,14,23,25,13,19,0,0,31,0,0,0,25,0,12,0,0,7,18,0,0,13
