date,UG
2020-02-15,2
2020-02-16,1
2020-02-17,-2
2020-02-18,-2
2020-02-19,-6
2020-02-20,-3
2020-02-21,-2
2020-02-22,-1
2020-02-23,0
2020-02-24,-3
2020-02-25,-2
2020-02-26,-4
2020-02-27,0
2020-02-28,0
2020-02-29,4
2020-03-01,3
2020-03-02,0
2020-03-03,0
2020-03-04,-2
2020-03-05,3
2020-03-06,4
2020-03-07,5
2020-03-08,4
2020-03-09,-1
2020-03-10,3
2020-03-11,0
2020-03-12,2
2020-03-13,3
2020-03-14,5
2020-03-15,1
2020-03-16,-8
2020-03-17,3
2020-03-18,2
2020-03-19,9
2020-03-20,7
2020-03-21,2
2020-03-22,0
2020-03-23,-5
2020-03-24,0
2020-03-25,-16
2020-03-26,-18
2020-03-27,-34
2020-03-28,-27
2020-03-29,-36
2020-03-30,-29
2020-03-31,-52
2020-04-01,-58
2020-04-02,-56
2020-04-03,-56
2020-04-04,-58
2020-04-05,-55
2020-04-06,-55
2020-04-07,-55
2020-04-08,-57
2020-04-09,-56
2020-04-10,-58
2020-04-11,-51
