date,TW
2020-02-15,-10
2020-02-16,-22
2020-02-17,-17
2020-02-18,-15
2020-02-19,-12
2020-02-20,-15
2020-02-21,-12
2020-02-22,-17
2020-02-23,-15
2020-02-24,-14
2020-02-25,-12
2020-02-26,-11
2020-02-27,-4
2020-02-28,-14
2020-02-29,-16
2020-03-01,-11
2020-03-02,-14
2020-03-03,-15
2020-03-04,-16
2020-03-05,-18
2020-03-06,-9
2020-03-07,-18
2020-03-08,-16
2020-03-09,-14
2020-03-10,-18
2020-03-11,-12
2020-03-12,-15
2020-03-13,-12
2020-03-14,-25
2020-03-15,-13
2020-03-16,-13
2020-03-17,-15
2020-03-18,-15
2020-03-19,-21
2020-03-20,-12
2020-03-21,-23
2020-03-22,-22
2020-03-23,-19
2020-03-24,-19
2020-03-25,-17
2020-03-26,-20
2020-03-27,-17
2020-03-28,-34
2020-03-29,-24
2020-03-30,-20
2020-03-31,-17
2020-04-01,-6
2020-04-02,-26
2020-04-03,-31
2020-04-04,-33
2020-04-05,-28
2020-04-06,-21
2020-04-07,-22
2020-04-08,-21
2020-04-09,-23
2020-04-10,-17
2020-04-11,-32
