date,BO
2020-02-15,-6
2020-02-16,-6
2020-02-17,-5
2020-02-18,-6
2020-02-19,0
2020-02-20,0
2020-02-21,9
2020-02-22,6
2020-02-23,-6
2020-02-24,-16
2020-02-25,-29
2020-02-26,-7
2020-02-27,-9
2020-02-28,-13
2020-02-29,-12
2020-03-01,-14
2020-03-02,-13
2020-03-03,-11
2020-03-04,-7
2020-03-05,-7
2020-03-06,-9
2020-03-07,-7
2020-03-08,-9
2020-03-09,-11
2020-03-10,-13
2020-03-11,-8
2020-03-12,-8
2020-03-13,-11
2020-03-14,-15
2020-03-15,-24
2020-03-16,-29
2020-03-17,-34
2020-03-18,-41
2020-03-19,-46
2020-03-20,-53
2020-03-21,-48
2020-03-22,-82
2020-03-23,-84
2020-03-24,-83
2020-03-25,-83
2020-03-26,-86
2020-03-27,-85
2020-03-28,-92
2020-03-29,-92
2020-03-30,-85
2020-03-31,-84
2020-04-01,-83
2020-04-02,-83
2020-04-03,-82
2020-04-04,-92
2020-04-05,-91
2020-04-06,-82
2020-04-07,-82
2020-04-08,-80
2020-04-09,-79
2020-04-10,-90
2020-04-11,-83
