date,total,Bjelovar-Bilogora County,Brod-Posavina County,City of Zagreb,Dubrovnik-Neretva County,Koprivnica-Križevci County,Krapina-Zagorje County,Primorje-Gorski Kotar County,Sisak-Moslavina County,Split-Dalmatia County,Varaždin County
2020-02-29,1.3026836510144721,1.2467453986188406,1.9806123931449,2.9749244949001734,5.152711056324546,1.3078721699619085,-5.268469693563959,0.37002587325193687,-2.472425839599315,1.1575613068554225,1.4106940349137949
2020-03-01,-2.1084591034540137,NA,0.7777223772406892,-0.4201597906758362,4.111339352878959,1.0594441228959732,-1.6827965037268318,-5.824800051294055,1.5059232983066724,-4.800954351382141,1.9490102972219006
2020-03-02,2.199678965994339,1.3398150395732795,3.3401934039722967,2.2852829074460423,2.3264069809564383,2.065722710427641,0.3603933117633135,NA,2.1886730895003725,-0.883275860492,1.0518165267083912
2020-03-03,2.100457361125915,0.5341809600614162,1.56213278475249,2.8744724989684793,-1.3923632803729304,2.0763558175005024,0.5477978338802365,1.2487178048243657,2.192546847180904,NA,1.0565888339983565
2020-03-04,2.038843945199555,0.26660574231740375,2.0130971116045853,2.565389434563267,1.3923632803729304,NA,0.9120353409690253,1.7994539882691087,1.7838654118848172,0.3558038482546493,1.7237573931355303
2020-03-05,2.5061456971605205,0.8017561778054285,2.9073823021417904,2.6291378165968418,3.044827756871082,1.3011056472791789,1.6558871364485046,1.3280773590360215,0.40093391993502403,1.1901686676119132,1.5882238661005106
2020-03-06,1.0778346915948982,-0.5477536160339385,0.9105275497670476,2.347099520327085,2.4153635238691535,0.5287554153504538,1.1148166443878498,-0.0793595542116557,0.40674455645582147,-1.1076912256984364,-0.800793163256207
2020-03-07,2.7750042393846375,3.740236195856522,0.49491424006225676,2.379939595920139,4.684722287088089,3.269197101856005,NA,5.17366925107553,-0.9887766479556993,1.4145840328183497,4.935520199282296
2020-03-08,2.13086398197269,7.999141744948719,2.3322116988261943,1.2604793720275085,7.5371331739631895,NA,2.523714231174563,4.659266357510822,NA,1.8461520428307274,NA
2020-03-09,2.1620707770522753,1.8749654750613045,0.890463458953713,1.9646092281256338,2.093379515282913,1.2904725402063177,0.9014638038239682,1.089042557193685,2.3872031706276187,-0.7653139377552833,0.5259082633541956
2020-03-10,2.597365559700846,2.9384800180510933,1.7847486494909184,3.391220747270945,1.3923632803729304,3.1145337262507535,0.9129963898003942,1.7172260164353452,2.990540929370421,1.13070818623243,1.452690339065491
2020-03-11,2.1964782690630997,1.065453493843006,1.341427785805808,3.19707794744142,1.1603027336441087,0.7800834007089876,1.8231096331066818,1.5651998824636193,1.5853353307575708,-0.05946048137948317,0.9277365371692886
2020-03-12,1.1650536829711742,1.6025428801842485,0.22357129763430134,1.401498520162387,1.639894530217007,0.2600278002363292,1.2878054340342404,0.23425410580548975,2.607038918997789,0.11892096275896634,-0.6623962518472081
2020-03-13,-1.9108160679499753,NA,NA,-2.523856397783816,2.1736337876932974,0.2638943846264605,-0.9283731711022956,-3.0108823640060702,-1.2202336693674645,1.1690697871224192,-2.6686742365486946
2020-03-14,-4.360149394580994,-4.363608895165942,-3.9612247862898,-3.503263358117834,0.9369444574176178,-3.922649863788193,-6.226635378438688,-4.2500387767567425,-2.472425839599315,-4.756838510358653,-6.698410512195543
2020-03-15,-7.880115844711624,-4.999584775021276,-5.443101207788952,-5.986552603698466,-2.7402482892895037,-7.419008798564411,-12.618571155872818,-8.445577618693433,-4.516801455499884,-5.908645577080577,-5.847985353123695
2020-03-16,-23.817186039585852,-21.697829522930228,-19.593062395669307,-27.82133933477422,-20.934762071773832,-22.97814438445272,-22.907559944507575,-23.34318260871521,-21.4887022933291,-22.795422288853796,-22.489020873233315
2020-03-17,-29.11754015771845,-24.579110490811406,-22.537706580750143,-34.71968697846806,-25.296533431330978,-27.508814643589055,-27.037186772899464,-28.25582585617891,-26.11687428214427,-26.35825597151154,-24.558293314162345
2020-03-18,-32.92636950589344,-27.978091336501652,-26.61453874744059,-39.47183909369821,-30.169804912636238,-28.88048545598813,-30.8169918266731,-31.216988981401773,-31.115958568870347,-30.09467589819648,-28.103163169148697
2020-03-19,-40.170346835521215,-33.92970098045271,-34.66597176096305,-47.004772903999005,-41.22555612637519,-36.68615269356567,-36.80528709493231,-39.29254072684327,-36.09954782487429,-40.40051997729206,-34.15635773574091
2020-03-20,-44.59851103989105,-39.13578402134165,-38.71605180656905,-51.99839616329573,-46.133636689689766,-40.1709118751715,-41.60380390995691,-43.024352053205824,-39.8638718509309,-45.11803784673848,-38.83512780282307
2020-03-21,-40.730468798488126,-36.778989259255795,-39.61129243000213,-45.54725307841318,-42.1625005837928,-33.34639042658977,-39.75666805606601,-40.83670554674476,-33.132249441587064,-45.38561001294615,-40.19237199608924
2020-03-22,-43.90636032851051,-42.99429621924443,-48.20732219417226,-31.927314668482218,-50.01775009056342,-45.57639685257504,-43.74502070624668,-46.59553199273033,-38.394749250589285,-52.99655162951999,-45.48772416503494
2020-03-23,-57.77498013157122,-49.824250599703014,-47.42386721955633,-68.35371969321282,-62.805253134266195,-50.087734189760724,-52.84999733463503,-55.479021368398925,-51.53356686353245,-62.14291632171565,-47.47586738203456
2020-03-24,-63.254573277853225,-57.17287433339727,-53.33226424763547,-72.21725799827797,-67.06936568040831,-56.05580719592837,-59.0064761483838,-62.366092079080325,-59.21135458634615,-66.4020130605267,-53.60637332672421
2020-03-25,-64.02114019288508,-57.82145339379852,-54.34693398305268,-72.56883998403892,-67.53348677386595,-56.72085971103094,-59.0804769083992,-62.669188207816404,-59.457338199059905,-66.36269241961446,-55.67660022911123
