date,JP,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi
2020-02-15,-1,0,5,1,-3,-4,2,-1,-1,0,-2,-1,-1,-2,2,1,1,-3,-3,-1,1,2,-3,-1,-2,-1,-2,-2,-1,3,0,0,1,0,-3,0,-3,1,-1,-2,-2,-2,-3,-2,-6,1,1,-1
2020-02-16,-9,-8,-2,-9,-12,-7,-7,-6,-6,-9,-4,-6,-8,-11,-8,-7,-6,-7,-6,-13,-7,-9,-11,-8,-8,-2,-5,-6,-10,-4,-3,-6,-3,-12,-5,-11,-9,-5,-10,-6,-3,-13,-3,-6,-15,-5,-6,-6
2020-02-17,-2,-1,0,0,-3,-3,-2,-7,-1,-1,-1,-3,-9,-2,-3,-2,0,-3,-4,-2,0,-3,0,-4,-2,-1,1,-9,-5,0,-4,-1,-2,-1,-6,-3,-5,-10,1,-2,-1,-4,-6,1,-4,-1,-6,-1
2020-02-18,1,0,-2,1,3,-2,-5,-3,2,1,1,0,-3,-2,3,-2,-2,-1,-5,1,2,0,-5,0,-1,2,2,-2,-4,-2,-3,1,0,-2,-2,1,-6,-6,5,2,0,-2,-13,-5,-2,-3,-2,1
2020-02-19,0,1,2,2,-1,1,3,1,3,3,1,1,-3,0,1,3,4,0,1,-2,0,1,-2,-1,6,1,2,2,-1,3,0,1,-3,0,1,-2,-2,3,0,2,-1,-4,1,6,-4,6,0,0
2020-02-20,1,3,6,6,0,1,4,3,3,5,2,2,0,2,2,4,4,3,2,-2,3,4,1,4,3,2,3,4,2,3,3,3,-2,1,2,0,5,6,3,3,1,-4,4,4,-2,5,4,2
2020-02-21,-1,0,1,1,-2,0,2,-1,-1,0,-2,0,-3,-1,-2,1,-1,-2,0,-3,-1,-1,-1,-2,-1,-1,-1,0,-1,3,0,0,-4,-2,0,-2,-1,1,0,-3,-3,-4,0,2,-4,-1,1,-2
2020-02-22,-5,-5,2,1,-6,-2,-1,-2,0,-4,-1,-2,-6,-8,-1,-3,-1,-3,-1,-7,-1,-1,-10,-4,-2,-1,-2,-1,-7,0,1,-2,-2,-10,0,-3,-8,-1,-5,-2,-2,-9,-2,-5,-12,1,0,-1
2020-02-23,1,-2,-1,-2,0,5,3,1,-1,2,1,8,-17,3,3,-2,0,6,8,0,7,2,5,2,0,6,6,7,1,0,9,4,2,1,5,-4,2,6,7,1,5,-3,7,-3,2,-3,3,12
2020-02-24,18,17,24,27,24,26,31,17,27,27,30,18,7,23,33,26,25,30,23,15,24,19,22,19,26,24,30,18,24,34,21,26,8,13,28,28,28,18,28,31,27,-5,26,32,18,32,21,28
2020-02-25,0,-2,6,6,-1,2,-1,-2,0,-1,0,-1,-4,-1,1,-4,4,1,-4,-3,4,-2,-4,2,0,3,0,0,0,0,0,0,-2,-2,0,-1,-1,1,4,-2,2,-6,0,0,-3,4,0,2
2020-02-26,-4,-2,6,4,-8,2,2,-1,2,0,-2,1,-5,-2,-1,-2,3,0,-1,-10,0,-1,-4,0,3,1,-3,2,0,3,0,0,-6,-3,1,-6,-1,2,-3,-3,-3,-11,1,2,-3,5,1,-1
2020-02-27,-3,-2,3,1,-4,2,2,-2,1,-1,-1,0,-9,-2,1,-3,0,0,2,-6,1,6,-3,-1,0,2,-3,2,-1,2,0,-1,-5,-4,2,-2,0,3,1,0,-4,-8,0,1,-3,2,2,1
2020-02-28,-2,-2,2,1,-1,0,1,-3,4,-1,2,-2,-12,0,3,-4,1,-1,3,-3,-2,-4,-2,1,0,6,-1,-1,2,3,2,-2,-6,-3,1,3,0,0,0,1,-5,-9,1,1,-4,1,0,0
2020-02-29,-10,-9,2,-2,-11,-9,-2,-12,-4,-8,-4,-10,-29,-10,-2,-7,-3,-11,-7,-9,-12,-15,-12,-6,-8,-6,-8,-9,-6,-3,-10,-8,-8,-16,-10,-3,-8,-4,-8,-8,-14,-13,-5,-5,-13,-2,-6,-4
2020-03-01,-10,-10,-4,-8,-12,-6,-5,-8,-5,-9,-7,-5,-38,-6,-5,-11,-5,-9,-10,-12,-12,-14,-8,-6,-10,-9,-9,-8,-3,-8,-7,-6,-12,-11,-8,-8,-5,-2,-7,-10,-12,-15,-2,-7,-7,-5,-2,-6
2020-03-02,-10,-7,-3,-5,-18,-2,-3,-5,-6,-7,-4,-5,-18,-6,-8,-5,-4,-3,0,-18,-5,-7,-6,-6,-12,-1,-6,-3,-5,-3,-4,-2,-11,-6,-2,-12,-7,-3,-5,-7,-6,-21,-1,-1,-3,-5,-3,-7
2020-03-03,-2,-3,2,0,-3,-3,0,-2,0,-3,-2,0,-16,-3,1,-3,-2,0,-4,-3,-6,-3,-4,1,-3,0,-1,-2,0,-3,-5,-1,-6,-5,0,0,1,1,0,-2,-4,-8,0,1,-2,1,0,-2
