date,AG
2020-02-15,-6
2020-02-16,0
2020-02-17,3
2020-02-18,3
2020-02-19,1
2020-02-20,0
2020-02-21,2
2020-02-22,7
2020-02-23,14
2020-02-24,-1
2020-02-25,1
2020-02-26,-3
2020-02-27,0
2020-02-28,5
2020-02-29,7
2020-03-01,12
2020-03-02,8
2020-03-03,3
2020-03-04,4
2020-03-05,3
2020-03-06,-1
2020-03-07,5
2020-03-08,13
2020-03-09,1
2020-03-10,1
2020-03-11,2
2020-03-12,6
2020-03-13,0
2020-03-14,-4
2020-03-15,-10
2020-03-16,-8
2020-03-17,-16
2020-03-18,-14
2020-03-19,-15
2020-03-20,-18
2020-03-21,-17
2020-03-22,-29
2020-03-23,-22
2020-03-24,-31
2020-03-25,-24
2020-03-26,-25
2020-03-27,-22
2020-03-28,-29
2020-03-29,-30
2020-03-30,-29
2020-03-31,-27
2020-04-01,-19
2020-04-02,-75
2020-04-03,-70
2020-04-04,-67
2020-04-05,-65
2020-04-06,-61
2020-04-07,-61
2020-04-08,-61
2020-04-09,-57
2020-04-10,-80
2020-04-11,-56
