date,GH
2020-02-15,2
2020-02-16,1
2020-02-17,4
2020-02-18,4
2020-02-19,2
2020-02-20,1
2020-02-21,3
2020-02-22,2
2020-02-23,2
2020-02-24,3
2020-02-25,3
2020-02-26,2
2020-02-27,0
2020-02-28,2
2020-02-29,1
2020-03-01,4
2020-03-02,4
2020-03-03,3
2020-03-04,3
2020-03-05,-1
2020-03-06,-42
2020-03-07,-1
2020-03-08,3
2020-03-09,2
2020-03-10,3
2020-03-11,2
2020-03-12,3
2020-03-13,5
2020-03-14,2
2020-03-15,3
2020-03-16,-7
2020-03-17,-8
2020-03-18,-9
2020-03-19,-10
2020-03-20,-6
2020-03-21,3
2020-03-22,-4
2020-03-23,-21
2020-03-24,-21
2020-03-25,-23
2020-03-26,-22
2020-03-27,-23
2020-03-28,1
2020-03-29,3
2020-03-30,-50
2020-03-31,-50
2020-04-01,-52
2020-04-02,-51
2020-04-03,-46
2020-04-04,-27
2020-04-05,-13
2020-04-06,-49
2020-04-07,-48
2020-04-08,-48
2020-04-09,-47
2020-04-10,-56
2020-04-11,-25
