date,BB,Christ Church,Saint George,Saint James,Saint John,Saint Lucy,Saint Michael,Saint Peter,Saint Philip,Saint Thomas
2020-02-15,4,0,0,0,NA,NA,7,0,0,NA
2020-02-16,5,0,0,0,NA,NA,22,NA,0,NA
2020-02-17,0,0,-9,0,NA,NA,6,0,0,0
2020-02-18,-5,0,-8,0,NA,NA,1,0,0,0
2020-02-19,-18,0,-16,0,NA,NA,-14,0,0,0
2020-02-20,3,0,0,0,NA,NA,1,0,0,0
2020-02-21,4,0,0,0,NA,NA,10,0,0,0
2020-02-22,2,0,-5,0,NA,NA,11,0,0,NA
2020-02-23,5,0,-5,0,NA,NA,9,NA,0,NA
2020-02-24,-1,0,-7,0,NA,NA,6,0,0,0
2020-02-25,2,0,-2,0,NA,NA,7,0,0,0
2020-02-26,9,0,-3,0,NA,NA,23,0,0,0
2020-02-27,14,0,4,0,NA,NA,28,0,0,0
2020-02-28,26,0,6,0,NA,NA,53,0,0,0
2020-02-29,34,0,-3,0,NA,NA,103,0,0,NA
2020-03-01,58,0,-5,0,NA,NA,0,NA,0,NA
2020-03-02,4,0,-1,0,NA,NA,15,0,0,0
2020-03-03,-1,0,0,0,NA,NA,8,0,0,0
2020-03-04,4,0,7,0,NA,NA,11,0,0,0
2020-03-05,5,0,3,0,NA,NA,2,0,0,0
2020-03-06,10,0,-1,0,NA,NA,25,0,0,0
2020-03-07,5,0,-4,0,NA,NA,10,0,0,NA
2020-03-08,6,0,1,0,NA,NA,16,NA,0,NA
2020-03-09,1,0,-7,0,NA,NA,10,0,0,0
2020-03-10,2,0,2,0,NA,NA,4,0,0,0
2020-03-11,5,0,3,0,NA,NA,12,0,0,0
2020-03-12,0,0,-1,0,NA,NA,-1,0,0,0
2020-03-13,2,0,-8,0,NA,NA,11,0,0,0
2020-03-14,5,0,-7,0,NA,NA,6,0,0,NA
2020-03-15,0,0,-10,0,NA,NA,25,NA,0,NA
2020-03-16,-7,0,-16,0,NA,NA,3,0,0,0
2020-03-17,-11,0,-8,0,NA,NA,-9,0,0,0
2020-03-18,-12,0,-9,0,NA,NA,-12,0,0,0
2020-03-19,-17,0,-9,0,NA,NA,-27,0,0,0
2020-03-20,-23,0,-16,0,NA,NA,-26,0,0,0
2020-03-21,-28,0,-21,0,NA,NA,-33,0,0,NA
2020-03-22,-38,0,-28,0,NA,NA,-55,0,0,NA
2020-03-23,-32,0,-26,0,NA,NA,-32,0,0,0
2020-03-24,-33,0,-17,0,NA,NA,-39,0,0,0
2020-03-25,-25,0,-12,0,0,NA,-33,0,0,0
2020-03-26,-29,0,-15,0,0,NA,-38,0,0,0
2020-03-27,-28,0,-19,0,NA,NA,-26,0,0,0
2020-03-28,-41,0,-34,0,NA,NA,-47,0,0,NA
2020-03-29,-60,0,-53,0,NA,NA,-70,0,0,NA
2020-03-30,-57,0,-50,0,0,0,-69,0,0,0
2020-03-31,-55,0,-42,0,0,0,-63,0,0,0
2020-04-01,-53,0,-34,0,0,0,-68,0,0,0
2020-04-02,-56,0,-35,0,0,0,-75,0,0,0
2020-04-03,-54,0,-33,0,0,0,-70,0,0,0
2020-04-04,-89,0,-87,0,NA,NA,-100,0,0,NA
2020-04-05,-88,0,-83,0,NA,NA,0,NA,0,NA
2020-04-06,-81,0,-71,0,0,0,0,0,0,0
2020-04-07,-81,0,-71,0,NA,NA,-91,0,0,0
2020-04-08,-75,0,-61,0,0,0,-88,0,0,0
2020-04-09,-69,0,-49,0,0,0,-85,0,0,0
2020-04-10,-84,0,-72,0,NA,NA,-93,0,0,NA
2020-04-11,-67,-82,-55,0,NA,NA,-81,0,0,0
