date,NO,Agder,Innlandet,Møre og Romsdal,Nordland,Oslo,Rogaland,Troms Og Finnmark,Trondelag,Vestfold Og Telemark,Vestland,Viken
2020-02-15,1,-7,11,5,4,-1,2,6,1,0,6,-1
2020-02-16,-5,-16,3,3,9,-10,1,7,1,-10,0,-15
2020-02-17,2,-1,17,5,7,1,0,2,6,4,-1,1
2020-02-18,3,-1,15,1,8,1,0,1,7,3,2,2
2020-02-19,6,3,22,4,8,2,4,8,13,6,9,3
2020-02-20,-1,-5,13,3,12,-10,0,5,10,-4,-1,-4
2020-02-21,1,-2,14,-1,3,-1,0,4,3,1,-2,0
2020-02-22,-3,-9,8,-7,9,-4,-4,5,-7,-4,1,-4
2020-02-23,-1,-6,24,-4,8,0,-18,8,-8,-1,-3,-3
2020-02-24,1,4,9,-1,5,0,2,-1,-5,3,2,1
2020-02-25,1,-9,8,3,8,0,2,0,-1,-2,2,2
2020-02-26,2,1,8,0,3,1,1,3,0,1,2,1
2020-02-27,1,-2,3,5,12,1,0,5,3,3,-6,2
2020-02-28,1,4,8,5,2,2,-6,6,2,5,-6,2
2020-02-29,-4,-8,8,2,-1,-5,-11,-4,1,-2,-6,-5
2020-03-01,-10,-11,5,10,14,-20,-11,4,-2,-13,-7,-18
2020-03-02,-2,-1,-2,0,7,-2,-3,3,0,-1,-1,-3
2020-03-03,-1,-5,-1,2,6,-5,-2,2,3,-3,0,-1
2020-03-04,-3,-1,-8,2,2,-7,0,5,1,-6,1,-7
2020-03-05,0,3,1,0,3,-1,0,7,2,3,-1,-2
2020-03-06,-2,1,4,4,-8,-5,-2,1,-1,-1,-4,-4
2020-03-07,-7,-7,2,-1,-9,-9,-9,-6,-6,-4,-5,-7
2020-03-08,-11,-17,-6,16,9,-20,-13,8,1,-13,-9,-18
2020-03-09,-4,-5,-3,-5,3,-6,-2,-3,-2,-2,-2,-5
2020-03-10,-5,-9,-3,-1,5,-9,-7,-5,-3,-7,-5,-4
2020-03-11,-6,-8,-4,-7,0,-9,-7,-1,-3,-7,-5,-6
2020-03-12,-6,-5,-3,-4,6,-20,-4,-1,-2,-6,-5,-2
2020-03-13,-34,-31,-33,-33,-28,-44,-32,-35,-37,-29,-32,-28
2020-03-14,-47,-48,-47,-47,-44,-54,-49,-51,-50,-43,-44,-41
2020-03-15,-71,-72,-73,-68,-58,-79,-68,-69,-65,-72,-66,-72
2020-03-16,-39,-37,-41,-36,-37,-47,-36,-48,-38,-34,-40,-34
2020-03-17,-44,-43,-45,-46,-43,-52,-43,-49,-45,-40,-47,-38
2020-03-18,-46,-44,-46,-50,-48,-53,-44,-51,-47,-41,-47,-40
2020-03-19,-44,-41,-45,-44,-40,-53,-43,-49,-45,-36,-46,-36
2020-03-20,-44,-41,-46,-43,-47,-53,-42,-51,-47,-38,-45,-35
2020-03-21,-49,-49,-53,-50,-50,-57,-49,-59,-52,-44,-48,-41
2020-03-22,-65,-60,-70,-61,-66,-72,-61,-76,-64,-61,-67,-60
2020-03-23,-41,-36,-41,-38,-40,-51,-38,-46,-41,-35,-42,-36
2020-03-24,-45,-40,-46,-43,-44,-56,-42,-48,-45,-40,-47,-38
2020-03-25,-45,-39,-44,-45,-43,-55,-42,-48,-44,-39,-48,-38
2020-03-26,-43,-38,-45,-41,-40,-55,-41,-47,-42,-36,-46,-37
2020-03-27,-42,-38,-44,-40,-42,-54,-39,-47,-42,-35,-43,-34
2020-03-28,-47,-46,-47,-47,-48,-56,-45,-60,-52,-40,-44,-36
2020-03-29,-65,-59,-66,-73,-61,-68,-61,-74,-74,-59,-71,-56
2020-03-30,-37,-32,-38,-39,-37,-47,-32,-45,-40,-28,-35,-30
2020-03-31,-36,-31,-35,-37,-38,-47,-32,-49,-39,-26,-39,-25
2020-04-01,-36,-35,-34,-36,-32,-49,-35,-39,-36,-30,-39,-29
2020-04-02,-37,-35,-36,-38,-30,-52,-34,-37,-33,-28,-41,-29
2020-04-03,-35,-32,-34,-35,-33,-48,-33,-39,-38,-27,-38,-24
2020-04-04,-40,-39,-39,-43,-40,-52,-37,-51,-45,-33,-37,-27
2020-04-05,-60,-52,-68,-52,-57,-73,-49,-76,-59,-54,-54,-56
2020-04-06,-16,-12,-17,-11,-17,-32,-10,-26,-15,-5,-15,-5
2020-04-07,-12,-10,-13,-10,-9,-32,-6,-21,-12,-5,-11,2
2020-04-08,-11,-6,-12,-12,-21,-31,-5,-25,-13,0,-12,4
2020-04-09,-80,-77,-82,-86,-84,-77,-81,-90,-86,-75,-82,-76
2020-04-10,-81,-80,-83,-85,-88,-79,-81,-91,-88,-77,-80,-77
2020-04-11,-43,-39,-44,-36,-44,-60,-41,-58,-45,-36,-41,-31
