date,MD
2020-02-15,-4
2020-02-16,5
2020-02-17,4
2020-02-18,7
2020-02-19,8
2020-02-20,6
2020-02-21,2
2020-02-22,2
2020-02-23,7
2020-02-24,-14
2020-02-25,3
2020-02-26,13
2020-02-27,-8
2020-02-28,2
2020-02-29,5
2020-03-01,8
2020-03-02,1
2020-03-03,13
2020-03-04,15
2020-03-05,-3
2020-03-06,12
2020-03-07,23
2020-03-08,16
2020-03-09,5
2020-03-10,0
2020-03-11,0
2020-03-12,11
2020-03-13,-1
2020-03-14,-9
2020-03-15,-29
2020-03-16,-18
2020-03-17,-27
2020-03-18,-25
2020-03-19,-19
2020-03-20,-25
2020-03-21,-32
2020-03-22,-55
2020-03-23,-40
2020-03-24,-42
2020-03-25,-45
2020-03-26,-39
2020-03-27,-41
2020-03-28,-43
2020-03-29,-43
2020-03-30,-42
2020-03-31,-47
2020-04-01,-42
2020-04-02,-38
2020-04-03,-39
2020-04-04,-42
2020-04-05,-46
2020-04-06,-33
2020-04-07,-31
2020-04-08,-33
2020-04-09,-31
2020-04-10,-37
2020-04-11,-37
