date,TW
2020-02-15,-9
2020-02-16,-14
2020-02-17,-7
2020-02-18,-7
2020-02-19,-7
2020-02-20,-5
2020-02-21,-3
2020-02-22,-8
2020-02-23,-4
2020-02-24,-3
2020-02-25,-8
2020-02-26,-10
2020-02-27,-3
2020-02-28,8
2020-02-29,-7
2020-03-01,-7
2020-03-02,-9
2020-03-03,-10
2020-03-04,-15
2020-03-05,-14
2020-03-06,-5
2020-03-07,-5
2020-03-08,-4
2020-03-09,-9
2020-03-10,-18
2020-03-11,-9
2020-03-12,-10
2020-03-13,-13
2020-03-14,-14
2020-03-15,-2
2020-03-16,-7
2020-03-17,-10
2020-03-18,-15
2020-03-19,-18
2020-03-20,-8
2020-03-21,-10
2020-03-22,-8
2020-03-23,-12
2020-03-24,-13
2020-03-25,-14
2020-03-26,-13
2020-03-27,-13
2020-03-28,-21
2020-03-29,-9
2020-03-30,-14
2020-03-31,-11
2020-04-01,-10
2020-04-02,-1
2020-04-03,-1
2020-04-04,-24
2020-04-05,-22
2020-04-06,-20
2020-04-07,-15
2020-04-08,-16
2020-04-09,-13
2020-04-10,-8
2020-04-11,-18
