date,total
2020-02-29,2.294467583445377
2020-03-01,0.8821150435124153
2020-03-02,4.03287179545429
2020-03-03,2.949799161974271
2020-03-04,-0.8304632934805812
2020-03-05,0.24050346108572715
2020-03-06,8.278000001195648
2020-03-07,3.529267232643909
2020-03-08,9.15850092751957
2020-03-09,-9.470832603493315
2020-03-10,-1.7456677393571403
2020-03-11,-2.550305157821805
2020-03-12,NA
2020-03-13,2.739156868875698
2020-03-14,1.9998911965450736
2020-03-15,1.2888725750131083
2020-03-16,2.260571122486986
2020-03-17,-0.7828468364199843
2020-03-18,-0.9491009068349501
2020-03-19,0.660980988688626
2020-03-20,2.3227146342440363
2020-03-21,-19.29434981267275
2020-03-22,-9.022915083686005
2020-03-23,-20.897168180848098
2020-03-24,-20.76642468858002
2020-03-25,-20.22408131324576
2020-03-26,-11.656347276715293
2020-03-27,-9.171413865027528
2020-03-28,-8.294141173080597
2020-03-29,-7.801835430589679
2020-03-30,-7.699338989120258
2020-03-31,-13.00171395332572
2020-04-01,-16.30984713114584
2020-04-02,-4.2055823346232355
2020-04-03,-2.382436970218344
2020-04-04,-5.0586432687427445
2020-04-05,-5.6986407339809375
2020-04-06,-5.4992972612018285
2020-04-07,-7.463677879600016
2020-04-08,-17.02167281127205
2020-04-09,-16.342936533509985
2020-04-10,-2.6802415914956375
2020-04-11,-9.000317443047077
