date,EE,Harju County,Hiiu County,Ida-Viru County,Järva County,Jõgeva County,Lääne County,Lääne-Viru County,Pärnu County,Põlva County,Rapla County,Saare County,Tartu County,Valga County,Viljandi County,Võru County
2020-02-15,0,-2,NA,-3,0,-4,-4,-4,3,-3,0,3,4,15,0,10
2020-02-16,-2,-2,NA,0,1,3,-8,-4,-2,-6,5,0,2,8,1,5
2020-02-17,-1,-1,NA,-4,0,-2,0,-5,1,-4,-3,-1,3,-5,-2,-4
2020-02-18,1,1,NA,0,1,-3,0,-5,7,6,0,2,3,-3,1,-4
2020-02-19,1,0,NA,3,-7,-1,5,-4,-1,-9,-5,1,1,-1,4,-7
2020-02-20,1,1,NA,-5,-1,3,2,-6,6,-2,4,4,3,1,3,-4
2020-02-21,2,1,NA,1,5,2,1,-3,8,2,2,12,4,3,4,2
2020-02-22,-5,-11,NA,-8,4,1,-1,-6,5,3,-8,9,-1,2,3,7
2020-02-23,12,9,NA,16,18,24,13,20,22,24,27,37,6,20,12,24
2020-02-24,-7,-8,0,-8,1,-5,-8,-5,-6,0,1,7,-10,0,1,-9
2020-02-25,0,-1,NA,2,5,-1,-3,-1,6,-2,1,6,2,-3,-3,-1
2020-02-26,-4,-7,NA,-1,-6,-7,-7,-3,-4,2,-7,1,-3,-1,-1,-9
2020-02-27,-1,-1,NA,-3,3,0,-3,-5,1,-4,-1,2,0,-1,4,-6
2020-02-28,0,-1,NA,-2,1,2,-3,0,2,0,2,-1,0,1,5,-3
2020-02-29,1,-2,NA,1,6,1,-3,-1,5,3,0,3,3,1,1,2
2020-03-01,0,0,NA,3,8,2,-7,1,2,0,0,6,3,4,3,2
2020-03-02,2,1,NA,-2,7,6,-2,6,3,0,3,7,7,3,3,-1
2020-03-03,2,0,NA,0,5,-1,-10,3,3,0,5,2,8,2,2,3
2020-03-04,-1,-2,NA,-6,-4,-1,-7,1,1,4,3,-1,0,-2,4,-4
2020-03-05,6,4,NA,7,11,7,6,5,5,7,11,8,9,6,12,6
2020-03-06,10,8,NA,10,8,21,9,3,12,11,11,11,13,10,16,9
2020-03-07,14,11,NA,17,17,18,24,17,14,16,17,19,17,23,19,18
2020-03-08,25,24,NA,34,28,41,17,26,23,NA,32,31,27,38,27,26
2020-03-09,3,1,NA,0,13,8,2,6,8,-4,6,7,7,3,6,4
2020-03-10,6,4,NA,5,16,1,0,14,7,0,8,7,7,4,10,9
2020-03-11,4,3,NA,0,14,0,-3,5,1,4,7,11,7,1,8,4
