date,TR
2020-02-15,3
2020-02-16,6
2020-02-17,5
2020-02-18,6
2020-02-19,3
2020-02-20,2
2020-02-21,0
2020-02-22,1
2020-02-23,5
2020-02-24,3
2020-02-25,6
2020-02-26,6
2020-02-27,4
2020-02-28,3
2020-02-29,-2
2020-03-01,10
2020-03-02,7
2020-03-03,9
2020-03-04,7
2020-03-05,8
2020-03-06,10
2020-03-07,12
2020-03-08,15
2020-03-09,8
2020-03-10,7
2020-03-11,21
2020-03-12,19
2020-03-13,14
2020-03-14,10
2020-03-15,5
2020-03-16,13
2020-03-17,14
2020-03-18,1
2020-03-19,-3
2020-03-20,-6
2020-03-21,-10
2020-03-22,-20
2020-03-23,-13
2020-03-24,-21
2020-03-25,-22
2020-03-26,-20
2020-03-27,-21
2020-03-28,-27
2020-03-29,-39
2020-03-30,-24
2020-03-31,-27
2020-04-01,-25
2020-04-02,-27
2020-04-03,-22
2020-04-04,-30
2020-04-05,-40
2020-04-06,-26
2020-04-07,-25
2020-04-08,-26
2020-04-09,-25
2020-04-10,-15
2020-04-11,-83
