date,ML
2020-02-15,3
2020-02-16,-2
2020-02-17,4
2020-02-18,0
2020-02-19,-3
2020-02-20,0
2020-02-21,5
2020-02-22,5
2020-02-23,0
2020-02-24,4
2020-02-25,4
2020-02-26,2
2020-02-27,3
2020-02-28,5
2020-02-29,6
2020-03-01,1
2020-03-02,10
2020-03-03,6
2020-03-04,5
2020-03-05,3
2020-03-06,5
2020-03-07,6
2020-03-08,2
2020-03-09,6
2020-03-10,3
2020-03-11,1
2020-03-12,0
2020-03-13,0
2020-03-14,-2
2020-03-15,-4
2020-03-16,1
2020-03-17,-1
2020-03-18,-3
2020-03-19,-6
2020-03-20,-7
2020-03-21,-9
2020-03-22,-11
2020-03-23,-3
2020-03-24,-5
2020-03-25,-7
2020-03-26,-25
2020-03-27,-19
2020-03-28,-23
2020-03-29,-25
2020-03-30,-14
2020-03-31,-16
2020-04-01,-19
2020-04-02,-20
2020-04-03,-21
2020-04-04,-23
2020-04-05,-24
2020-04-06,-15
2020-04-07,-15
2020-04-08,-18
2020-04-09,-18
2020-04-10,-19
2020-04-11,-22
