date,AE,Abu Dhabi,Ajman,Dubai,Fujairah,Ras al Khaimah,Sharjah,Umm Al Quawain
2020-02-15,4,6,3,3,-1,2,6,10
2020-02-16,4,5,2,4,-2,2,6,3
2020-02-17,1,2,-1,1,-2,-2,2,3
2020-02-18,1,2,1,1,2,-2,2,1
2020-02-19,0,1,-1,0,-2,-3,1,-1
2020-02-20,1,2,0,1,-2,-3,2,-2
2020-02-21,2,5,1,4,-7,-1,0,3
2020-02-22,2,4,1,3,-4,0,1,5
2020-02-23,3,4,0,4,-5,-2,3,-1
2020-02-24,0,2,-1,1,-2,-4,0,2
2020-02-25,2,2,0,2,1,-1,1,0
2020-02-26,1,2,-2,2,-1,0,-1,0
2020-02-27,5,7,2,5,1,1,4,2
2020-02-28,5,9,3,6,-6,4,1,3
2020-02-29,7,10,6,8,0,9,3,12
2020-03-01,10,12,7,10,7,6,7,10
2020-03-02,7,10,6,8,9,3,4,7
2020-03-03,6,7,5,7,6,3,5,2
2020-03-04,7,9,4,8,1,5,4,8
2020-03-05,6,8,5,7,3,5,4,10
2020-03-06,5,8,6,5,-3,5,3,12
2020-03-07,6,8,5,7,0,4,3,12
2020-03-08,8,9,4,7,5,5,6,8
2020-03-09,4,7,6,5,4,3,2,8
2020-03-10,6,7,8,6,7,3,3,7
2020-03-11,5,7,4,6,3,6,3,10
2020-03-12,6,7,6,6,1,3,4,7
2020-03-13,3,7,5,2,-5,4,-1,8
2020-03-14,4,5,4,4,-2,7,1,9
2020-03-15,11,9,9,13,2,6,8,10
2020-03-16,8,7,7,12,1,3,5,9
2020-03-17,5,3,5,7,1,0,4,9
2020-03-18,2,2,2,3,-4,-2,-1,2
2020-03-19,-1,0,-2,0,-8,-6,-3,-3
2020-03-20,-11,-6,-7,-12,-19,-10,-15,-9
2020-03-21,-12,-6,-11,-15,-15,-7,-15,-4
2020-03-22,-13,-9,-13,-14,-17,-22,-14,-13
2020-03-23,14,15,13,16,4,7,15,10
2020-03-24,-6,-3,-5,-7,-8,-6,-6,-6
2020-03-25,-18,-17,-17,-20,-21,-14,-18,-13
2020-03-26,-13,-11,-17,-13,-25,-20,-14,-11
2020-03-27,-60,-55,-60,-63,-57,-56,-63,-59
2020-03-28,-47,-41,-46,-51,-43,-40,-51,-39
2020-03-29,-26,-24,-26,-28,-27,-26,-25,-18
2020-03-30,-27,-24,-28,-29,-26,-26,-27,-22
2020-03-31,-26,-23,-25,-28,-24,-23,-25,-21
2020-04-01,-24,-22,-24,-27,-24,-21,-25,-18
2020-04-02,-25,-21,-25,-29,-26,-24,-25,-19
2020-04-03,-39,-34,-37,-41,-40,-34,-41,-36
2020-04-04,-27,-23,-25,-31,-27,-22,-26,-15
2020-04-05,-30,-19,-20,-45,-21,-18,-19,-11
2020-04-06,-32,-21,-26,-44,-21,-19,-25,-17
2020-04-07,-30,-19,-25,-41,-20,-19,-22,-18
2020-04-08,-30,-21,-27,-41,-22,-18,-23,-19
2020-04-09,-31,-22,-27,-41,-28,-24,-24,-22
2020-04-10,-46,-34,-42,-55,-40,-33,-44,-34
2020-04-11,-32,-21,-27,-44,-26,-20,-26,-15
