date,ES,Andalusia,Aragon,Asturias,Balearic Islands,Basque Country,Canary Islands,Cantabria,Castile and León,Castile-La Mancha,Catalonia,Ceuta,Community of Madrid,Extremadura,Galicia,La Rioja,Melilla,Navarre,Region of Murcia,Valencian Community
2020-02-15,2,5,3,0,5,-3,-4,6,5,9,2,-3,-1,4,0,0,-4,1,2,2
2020-02-16,2,6,-2,2,1,4,-3,14,10,10,-6,3,3,5,-11,4,1,6,-2,-3
2020-02-17,0,0,-1,-2,3,-8,-3,-4,1,-1,0,-3,1,-2,1,-2,-1,0,-1,-2
2020-02-18,-2,-1,0,-2,1,-3,-4,-1,-1,-2,0,-9,-1,2,2,-1,-4,-1,-5,-6
2020-02-19,0,0,0,2,3,-1,-3,0,1,1,0,-11,-1,0,0,1,-10,1,0,-1
2020-02-20,1,1,1,5,3,2,-1,1,1,4,1,-8,-2,2,2,6,-5,3,0,0
2020-02-21,1,3,1,2,4,1,-4,3,2,3,1,-21,-2,9,3,3,-4,3,2,0
2020-02-22,2,4,5,-4,7,1,-10,4,10,13,1,-15,-3,16,5,2,2,2,4,1
2020-02-23,7,10,11,5,12,10,-27,10,24,20,0,-7,4,36,11,13,-1,19,5,0
2020-02-24,5,4,5,14,4,3,-4,6,11,5,2,-11,4,15,17,5,-2,8,-1,-1
2020-02-25,-2,3,4,-8,4,-7,-17,-7,6,0,-3,-6,-2,-4,-9,0,-8,0,2,-1
2020-02-26,0,5,5,-1,3,-10,-1,-6,-1,0,-4,-5,2,-3,-5,-1,-5,-5,-1,-1
2020-02-27,4,19,8,0,7,-6,-1,-3,-1,2,-1,6,4,1,-1,1,-1,-1,1,1
2020-02-28,-1,-13,7,2,6,5,-3,2,3,8,0,8,0,9,0,4,4,1,6,3
2020-02-29,-1,-1,5,-3,6,-6,0,-4,4,10,-1,22,-9,2,-3,0,4,0,6,4
2020-03-01,2,4,0,5,13,3,-2,1,7,9,-1,8,-4,9,-10,13,10,5,6,1
2020-03-02,-3,0,-2,-9,0,-13,-3,-13,-1,-1,-5,-11,0,-2,-2,2,-1,-2,-5,-6
2020-03-03,-3,0,-1,-4,1,-8,-3,-7,-3,-5,-2,-2,-6,-3,-4,2,-3,-4,0,-1
2020-03-04,0,2,10,1,4,-4,-2,0,0,-2,-1,1,-2,-2,-4,0,-5,1,1,1
2020-03-05,-1,2,-15,-6,4,-7,-2,-8,-3,-1,-1,-8,-4,-1,-2,-1,-3,0,1,2
2020-03-06,-2,2,-9,-6,3,-11,-4,-12,-2,0,-1,-8,-4,1,0,-5,-6,-9,1,1
2020-03-07,-1,2,-8,-3,7,-8,-5,-6,4,6,-1,1,-4,5,0,-7,1,-3,0,0
2020-03-08,4,10,-2,3,13,-1,-3,-3,10,9,-3,3,-1,7,-5,7,8,13,4,3
2020-03-09,-1,0,-3,-1,4,-10,-4,-2,1,-1,-4,-2,-1,-2,0,-3,-1,-3,-3,-1
2020-03-10,-3,0,-1,-3,4,-4,-5,-2,-1,-1,-4,-4,-7,2,0,-1,-4,-1,-1,-1
2020-03-11,-5,-2,-2,-2,4,-5,-5,-1,-1,-2,-6,-1,-16,-3,-4,-9,-7,0,-2,-3
2020-03-12,-13,-7,-9,-18,-3,-17,-10,-14,-11,-8,-11,-7,-32,-8,-8,-23,-6,-10,-11,-9
2020-03-13,-33,-28,-30,-35,-18,-36,-28,-28,-33,-35,-32,-27,-47,-32,-29,-46,-61,-35,-32,-27
2020-03-14,-69,-61,-64,-73,-46,-66,-51,-74,-65,-64,-74,-54,-82,-65,-73,-75,-55,-66,-69,-73
2020-03-15,-87,-87,-86,-90,-79,-88,-82,-89,-87,-86,-87,-78,-89,-86,-87,-88,-80,-85,-89,-89
2020-03-16,-80,-79,-80,-82,-77,-82,-80,-81,-81,-78,-82,-79,-82,-79,-78,-82,-82,-79,-77,-80
2020-03-17,-83,-84,-82,-85,-81,-84,-84,-84,-83,-81,-83,-82,-85,-82,-80,-83,-84,-82,-80,-84
2020-03-18,-84,-85,-83,-85,-83,-83,-85,-84,-84,-81,-84,-82,-86,-83,-80,-83,-86,-82,-79,-83
2020-03-19,-88,-85,-83,-86,-84,-94,-86,-85,-85,-91,-85,-84,-87,-84,-92,-84,-87,-92,-92,-94
2020-03-20,-87,-87,-86,-88,-85,-87,-87,-87,-87,-85,-87,-86,-89,-87,-84,-87,-88,-87,-83,-86
2020-03-21,-92,-92,-91,-92,-90,-93,-91,-92,-92,-91,-92,-88,-93,-91,-89,-92,-90,-92,-90,-92
2020-03-22,-94,-94,-92,-94,-93,-94,-93,-94,-94,-93,-94,-87,-93,-93,-92,-94,-92,-92,-95,-95
2020-03-23,-85,-85,-83,-86,-84,-85,-86,-85,-85,-82,-87,-82,-86,-84,-82,-83,-84,-83,-81,-85
2020-03-24,-87,-87,-85,-88,-86,-87,-87,-87,-86,-85,-87,-87,-88,-85,-83,-85,-87,-85,-86,-87
2020-03-25,-87,-87,-86,-87,-86,-87,-87,-87,-87,-85,-88,-85,-89,-86,-84,-86,-87,-86,-83,-87
2020-03-26,-87,-87,-86,-88,-87,-88,-88,-87,-87,-85,-88,-84,-89,-86,-84,-86,-88,-86,-84,-87
2020-03-27,-88,-88,-87,-88,-86,-88,-88,-88,-89,-88,-88,-86,-90,-88,-85,-88,-87,-87,-86,-89
2020-03-28,-92,-92,-92,-92,-91,-93,-91,-93,-92,-91,-92,-88,-93,-91,-90,-93,-90,-92,-90,-92
2020-03-29,-94,-94,-92,-94,-92,-94,-94,-94,-94,-93,-94,-89,-94,-93,-92,-94,-92,-93,-94,-95
2020-03-30,-89,-88,-88,-90,-89,-90,-89,-89,-89,-87,-90,-84,-89,-88,-86,-88,-88,-87,-86,-89
2020-03-31,-92,-92,-92,-93,-93,-93,-92,-93,-93,-92,-92,-89,-92,-93,-91,-92,-93,-92,-90,-93
2020-04-01,-92,-92,-92,-92,-93,-93,-92,-93,-93,-92,-93,-90,-91,-92,-91,-92,-93,-92,-90,-93
2020-04-02,-92,-92,-91,-92,-93,-93,-92,-92,-92,-91,-92,-90,-91,-92,-90,-91,-93,-91,-90,-93
2020-04-03,-89,-89,-89,-89,-89,-90,-89,-89,-90,-89,-89,-87,-90,-89,-87,-89,-87,-89,-88,-90
2020-04-04,-92,-92,-92,-92,-91,-93,-92,-93,-92,-92,-92,-89,-93,-92,-90,-93,-90,-92,-90,-93
2020-04-05,-94,-95,-93,-95,-93,-94,-94,-95,-95,-94,-94,-90,-94,-94,-93,-95,-92,-93,-94,-95
2020-04-06,-87,-87,-86,-88,-88,-88,-88,-88,-88,-85,-88,-83,-88,-86,-85,-87,-86,-86,-84,-88
2020-04-07,-89,-88,-88,-90,-89,-88,-91,-88,-88,-87,-90,-93,-91,-88,-86,-90,-86,-89,-86,-90
2020-04-08,-88,-87,-87,-88,-88,-88,-90,-87,-88,-86,-89,-92,-90,-87,-85,-89,-85,-87,-84,-89
2020-04-09,-93,-93,-94,-95,-92,-95,-94,-95,-94,-94,-88,-97,-95,-93,-94,-94,-92,-94,-91,-89
2020-04-10,-96,-96,-96,-97,-95,-96,-97,-96,-96,-96,-96,-97,-96,-96,-95,-96,-94,-95,-96,-96
2020-04-11,-92,-92,-93,-93,-90,-92,-93,-93,-93,-91,-92,-95,-94,-92,-90,-95,-89,-93,-90,-92
