date,PK
2020-02-15,4
2020-02-16,4
2020-02-17,9
2020-02-18,6
2020-02-19,3
2020-02-20,-1
2020-02-21,4
2020-02-22,3
2020-02-23,2
2020-02-24,7
2020-02-25,5
2020-02-26,4
2020-02-27,2
2020-02-28,1
2020-02-29,-3
2020-03-01,4
2020-03-02,9
2020-03-03,6
2020-03-04,4
2020-03-05,-1
2020-03-06,-3
2020-03-07,1
2020-03-08,5
2020-03-09,11
2020-03-10,9
2020-03-11,-1
2020-03-12,-1
2020-03-13,5
2020-03-14,7
2020-03-15,1
2020-03-16,5
2020-03-17,0
2020-03-18,-4
2020-03-19,-10
2020-03-20,-15
2020-03-21,-19
2020-03-22,-34
2020-03-23,-44
2020-03-24,-52
2020-03-25,-57
2020-03-26,-60
2020-03-27,-65
2020-03-28,-62
2020-03-29,-62
2020-03-30,-59
2020-03-31,-60
2020-04-01,-58
2020-04-02,-58
2020-04-03,-60
2020-04-04,-58
2020-04-05,-57
2020-04-06,-53
2020-04-07,-53
2020-04-08,-53
2020-04-09,-56
2020-04-10,-57
2020-04-11,-55
