date,total,Aargau,Appenzell Ausserrhoden,Basel City,Basel-Landschaft,Canton of Bern,Geneva,Glarus,Grisons,Jura,Nidwalden,Obwalden,Solothurn,St. Gallen,Vaud,Zurich
2020-02-29,-5.615897267152757,NA,NA,-22.909115972978363,-13.384657153516597,-2.784224321649661,-6.2906591426554215,NA,-4.933776312517138,-1.9390889193665857,NA,NA,-6.0508708400027755,0.12912015668384644,-2.3656466937622245,-6.355489886990545
2020-03-01,3.35858993672037,9.39546562737976,NA,-6.228926267385038,31.508937315631915,6.798195755691166,2.10847672476843,NA,-7.4781433135438125,9.879710555197159,NA,NA,0.4625725209962471,3.0266150159997136,11.319194434586148,4.963453983744092
2020-03-02,-6.924072877692212,-2.071659138436061,NA,-3.0074959852798964,-11.888235856850146,-6.512855996018996,-14.30345021396962,NA,-13.973931397743867,-3.4294472665508495,NA,NA,-12.872375983656976,-4.643507724324298,-6.14762525948625,-7.7879025222372436
2020-03-03,-1.3524523235115584,2.0420776399139435,NA,1.3772020358125152,-5.35596511354755,-1.688020059744118,-3.577552811975385,NA,-3.929420917375029,-0.3828531052023638,NA,NA,-4.985610470073659,-0.4249402171460916,1.7696985561329843,-2.412990412395442
2020-03-04,-2.7250304256468008,0.3034489203236608,NA,-9.739740888499329,-11.153403176686352,-1.0798716830690887,-3.3331897284360297,NA,2.3721917904308847,0.35134649055977524,NA,NA,-2.0671809340786647,-2.3337986528975825,-0.796507607023696,-3.6021813048787736
2020-03-05,-11.38555548299046,-4.740673698641341,NA,-22.213829508296318,-16.195941607407214,-10.976453718028772,-13.877505076258728,NA,-14.477065624262675,-3.260457242558784,NA,NA,-9.61421476211702,-7.381047762673609,-9.03472657367406,-12.938819904553888
2020-03-06,-6.196324722659801,-5.797973710335103,NA,-22.251076997475714,-14.326848340306585,-7.157512490093159,-3.8170865855633695,NA,-6.756920486937004,-0.815352997114261,NA,NA,-7.690028238055867,-4.109682598929887,-0.5520160633809309,-10.428733065205483
2020-03-07,-4.250564445322041,1.0439406252644179,NA,-20.6255583671339,-10.307724474547266,-4.632687949963652,-2.7768532220381297,NA,-8.24910564543385,0.55375262099095,NA,NA,-6.682349509744541,-0.8171186034918042,-1.2472888906150446,-6.885194156803251
2020-03-08,5.741482125764545,10.996683515125365,NA,-14.23809150478015,NA,7.144062131051373,8.180851057621899,NA,6.708137510601529,10.538485224996737,NA,NA,-0.6938587814943706,10.154240381599802,17.121093370640047,-0.5835399124796946
2020-03-09,-7.605934257462622,-3.1652203418666125,NA,-16.265692005494415,-4.231260218160312,-7.738760148684617,-8.954506511831479,NA,-17.619263217635844,-5.57285180814513,NA,NA,-11.777365098892002,-7.1237710325647505,-5.429431350035626,-9.05784687872106
2020-03-10,-10.11602136740848,-5.588040495016847,NA,-17.905536593212926,-8.86385948140358,-8.9588998617609,-12.558137597544265,NA,-17.620219746583597,-3.824712068430597,NA,NA,-13.550879660719936,-8.673212912770907,-6.960368633079973,-11.669836898831981
2020-03-11,-7.333833730470415,-1.9218431620498513,NA,-14.212304781502107,-5.407565847915358,-5.336910319794295,-9.007628921296556,NA,-5.811869886555667,-6.325191575974214,NA,NA,-6.810948509357606,-4.668560889053999,-5.971896962493012,-8.318568142811857
2020-03-12,-11.140020983781515,-1.7329032682634213,NA,-19.08122016192666,-5.398965725520724,-9.59683117631417,-14.584516053139392,NA,-12.667312855111373,-5.543254685299063,NA,NA,-6.950104143267265,-7.273126437684125,-8.339453746439945,-13.225302431603227
2020-03-13,-12.83783166847549,-4.663380105728711,NA,-23.460187800068393,-5.969440511031497,-13.369656887535088,-16.05842145029772,NA,-17.41552255176416,-8.96697347646035,NA,NA,-9.638207112791099,-6.565856325699474,-10.599090434950815,-15.541196417045706
2020-03-14,-25.228871051505198,-14.434817036905713,NA,-38.96660406459821,-12.461577349825797,-21.70023283405828,-27.870913591350355,NA,-42.62101685404006,-25.486941754057607,NA,NA,-20.499064415933276,-14.84303651908933,-26.580815010411882,-27.201419808258585
2020-03-15,-26.992694290084856,-9.39546562737976,NA,-40.57779673756334,0.7157212970646056,-18.551888078348842,-29.01063073987383,NA,-53.338923713627985,-12.513854488497211,NA,NA,-1.8512497780119517,-18.844797793029734,-25.255212422223764,-25.83822442786944
2020-03-16,-17.38384254399321,5.122370453765444,NA,-27.51729892914715,-37.07512764327054,-8.01833546876745,-27.431446385775622,NA,-54.19406059292041,-48.868668802451346,NA,NA,-8.216900258858647,-1.526315881994125,-17.288226261802095,-13.056104697506973
2020-03-17,-57.33190304971587,-47.0135893286356,NA,-66.11238316577652,-49.491793242813245,-56.384865843097636,-65.39658363748093,NA,-66.80589476906202,-55.08120036243085,NA,NA,-51.6459340610229,-50.64111816805633,-59.43054600703905,-56.66682066081648
2020-03-18,-62.11217798841327,-51.95083685616585,NA,-70.4646090168151,-53.402937794062154,-60.86671762380698,-71.10482800000105,NA,-69.74722128340677,-69.58188106520765,NA,NA,-55.213116759245,-56.13354274341398,-64.65941788768022,-60.70064845779308
2020-03-19,-65.43373649246607,-51.89167385912162,NA,-73.28491249237291,-54.15592628817017,-62.804530065755685,-72.75452027938925,NA,-73.77038203766173,-71.41021946037606,NA,NA,-55.717915817427624,-57.10965258461351,-64.97744790343428,-62.328215297707615
2020-03-20,-67.64515704763646,-59.15250038346983,NA,-76.58943332726285,-57.75364415659239,-67.74561553374886,-74.8031135607607,NA,-76.32240127027045,-74.45394938402977,NA,NA,-60.596040556481405,-61.02661853177646,-69.50340659610251,-66.33800932563645
