date,GB,Aberdeen City,Aberdeenshire,Angus council,Antrim And Newtownabbey,Ards And North Down,Argyll and Bute Council,Bath and North East Somerset,Bedford,Belfast,Blackburn with Darwen,Blackpool,Blaenau Gwent,Borough of Halton,Bracknell Forest,Bridgend County Borough,Brighton and Hove,Buckinghamshire,Caerphilly County Borough,Cambridgeshire,Cardiff,Carmarthenshire,Causeway Coast and Glens,Central Bedfordshire,Ceredigion,Cheshire East,Cheshire West and Chester,City of Bristol,Clackmannanshire,Conwy Principal Area,Cornwall,County Durham,Cumbria,Darlington,Denbighshire,Derby,Derbyshire,Derry And Strabane,Devon,Dorset,Dumfries and Galloway,Dundee City Council,East Ayrshire Council,East Dunbartonshire Council,East Lothian Council,East Renfrewshire Council,East Riding of Yorkshire,East Sussex,Edinburgh,Essex,Falkirk,Fermanagh And Omagh,Fife,Flintshire,Glasgow City,Gloucestershire,Greater London,Greater Manchester,Gwynedd,Hampshire,Hartlepool,Herefordshire,Hertfordshire,Highland Council,Inverclyde,Isle of Anglesey,Isle of Wight,Kent,Kingston upon Hull,Lancashire,Leicester,Leicestershire,Lincolnshire,Lisburn and Castlereagh,Luton,Medway,Merseyside,Merthyr Tydfil County Borough,Mid And East Antrim,Mid Ulster,Middlesbrough,Midlothian,Milton Keynes,Monmouthshire,Moray,Na h-Eileanan an Iar,Neath Port Talbot Principle Area,Newport,Norfolk,North Ayrshire Council,North East Lincolnshire,North Lanarkshire,North Lincolnshire,North Somerset,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Orkney,Oxfordshire,Pembrokeshire,Perth and Kinross,Peterborough,Plymouth,Portsmouth,Powys,Reading,Redcar and Cleveland,Renfrewshire,Rhondda Cynon Taff,Rutland,Scottish Borders,Shetland Islands,Shropshire,Slough,Somerset,South Ayrshire Council,South Gloucestershire,South Lanarkshire,South Yorkshire,Southampton,Southend-on-Sea,Staffordshire,Stirling,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Surrey,Swansea,Swindon,Thurrock,Torbay,Torfaen Principal Area,Tyne and Wear,Vale of Glamorgan,Warrington,Warwickshire,West Berkshire,West Dunbartonshire Council,West Lothian,West Midlands,West Sussex,West Yorkshire,Wiltshire,Windsor and Maidenhead,Wokingham,Worcestershire,Wrexham Principal Area,York
2020-02-15,-4,-1,-7,-3,-4,-5,-2,1,-2,-3,-3,-1,-4,-1,0,-1,-5,-5,-3,-4,-3,-9,-4,-6,0,-6,-3,-4,-2,-6,-6,-2,-5,-3,-4,-4,-5,-4,-7,-5,-8,-5,-7,0,-5,-3,-5,-4,-2,-3,-5,-8,-3,-3,-4,-6,-3,-3,-2,-5,-5,-5,-5,-3,-5,-3,-3,-6,2,-4,-2,-4,-3,-3,-2,-3,-3,-9,-3,-4,-2,-5,-2,-10,-4,0,-3,-5,-3,0,-4,-2,-4,-7,-6,-6,0,-3,-3,0,-5,-7,-7,-2,-8,-4,-7,-3,0,-5,-7,-9,-4,0,-5,-1,-9,-2,-4,-2,-2,-6,-2,-4,1,-1,-2,-4,-5,-5,-3,-3,-6,-3,-2,-3,-1,-5,-7,0,-4,-4,-5,-3,-8,-5,-7,-3,-2,-7
2020-02-16,-3,2,-3,-4,-1,-3,-2,-3,-1,2,4,2,-7,1,-4,2,-6,-4,-6,-4,-2,-3,-2,-5,1,-3,0,-1,-1,-1,-3,0,0,0,-2,-4,-3,-4,-2,-3,-1,0,-4,2,-1,-3,-4,-6,1,-5,-2,-3,0,-1,0,-3,-4,-1,0,-4,-1,-16,-6,-3,-2,0,-2,-7,-4,0,-2,-3,-4,-5,-4,-7,-1,-11,3,0,2,-1,-3,-9,-3,NA,-5,-3,-3,1,-1,1,-1,-2,-2,-2,-1,-1,-3,NA,-2,-3,-2,-2,-4,-6,-11,-1,1,-2,-12,0,0,NA,-5,-5,-4,0,-2,-1,-2,-5,-5,-4,0,-2,-2,-4,-6,-5,-2,-7,-1,-4,0,1,-3,-3,-4,4,-4,-3,-7,-1,-4,-6,-6,-5,-5,-2
2020-02-17,-14,-10,-17,-17,-14,-14,1,-9,-18,-13,-16,-14,-13,-14,-16,-15,-13,-18,-17,-17,-14,-18,-15,-17,-12,-16,-17,-11,-16,-17,-17,-16,-16,-15,-17,-13,-15,-15,-16,-14,-16,-11,0,2,-12,0,-17,-18,-3,-16,-16,-18,1,-17,1,-17,-13,-13,-16,-17,-15,-29,-17,-20,2,-18,-15,-19,-10,-17,-13,-17,-17,-17,-15,-16,-15,-17,-13,-13,-12,-1,-14,-24,-1,4,-18,-15,-16,1,-15,0,-14,-16,-17,-14,-15,-10,-16,-23,-16,-14,-1,-14,-15,-13,-21,-13,-15,0,-21,-19,-15,3,-17,-14,-16,1,-14,0,-14,-11,-15,-16,-19,-17,-13,-16,-18,-16,-13,-16,-17,-17,-14,-18,-15,-14,-16,2,-16,-14,-18,-15,-19,-17,-19,-20,-18,-15
2020-02-18,-14,-6,-11,0,-14,-16,0,-9,-16,-13,-16,-13,-11,-13,-16,-14,-13,-17,-15,-15,-13,-17,-14,-16,-11,-15,-17,-9,-15,-16,-16,-16,-15,-14,-17,-12,-16,-14,-15,-13,-15,-5,1,5,1,2,-16,-18,-1,-16,-11,-16,1,-17,2,-16,-13,-12,-15,-17,-14,-18,-17,-17,2,-17,-15,-18,-10,-16,-12,-15,-17,-16,-14,-16,-15,-14,-13,-11,-12,-1,-14,-24,1,4,-17,-13,-15,1,-13,2,-15,-16,-16,-14,-15,-10,-15,0,-16,-15,0,-15,-13,-13,-16,-13,-13,2,-17,-21,-14,1,-17,-15,-15,1,-13,2,-13,-10,-14,-15,-17,-16,-13,-15,-17,-15,-13,-15,-17,-14,-12,-16,-14,-13,-17,2,-11,-14,-16,-15,-18,-16,-18,-17,-16,-14
2020-02-19,-14,-6,-10,1,-14,-17,-1,-11,-16,-13,-16,-14,-15,-14,-15,-15,-13,-18,-17,-15,-13,-19,-13,-17,-14,-16,-17,-9,-19,-18,-16,-16,-16,-14,-16,-13,-16,-10,-16,-14,-16,2,0,4,2,2,-16,-18,0,-16,0,-11,2,-17,2,-16,-13,-12,-15,-17,-14,-17,-17,-12,1,-18,-15,-18,-11,-17,-13,-17,-16,-14,-15,-16,-16,-16,-13,-10,-14,0,-14,-22,1,0,-17,-14,-15,1,-14,2,-16,-16,-17,-14,-15,-11,-16,0,-16,-17,0,-14,-16,-13,-16,-14,-14,1,-18,-21,-7,-3,-16,-15,-16,0,-14,2,-13,-10,-15,-15,-18,-16,-14,-15,-18,-16,-13,-16,-16,-17,-13,-17,-15,-13,-17,3,-1,-14,-16,-15,-18,-18,-18,-17,-16,-15
2020-02-20,-14,1,1,-1,-14,-16,1,-10,-18,-12,-18,-15,-16,-15,-17,-15,-14,-19,-16,-16,-14,-20,-10,-19,-13,-17,-18,-10,-20,-19,-17,-16,-17,-15,-19,-14,-16,-10,-17,-14,-14,1,2,2,0,2,-17,-19,-1,-17,-3,-7,1,-18,1,-16,-13,-13,-16,-18,-18,-17,-18,-1,1,-19,-16,-19,-11,-18,-14,-18,-17,-15,-17,-17,-17,-17,-11,-9,-14,-1,-15,-21,2,2,-18,-15,-16,1,-15,1,-17,-17,-17,-15,-16,-11,-17,1,-16,-16,1,-15,-15,-13,-17,-13,-14,1,-19,-23,-1,-9,-17,-16,-17,2,-14,2,-15,-11,-16,-17,-20,-17,-15,-17,-19,-16,-14,-16,-17,-16,-14,-17,-15,-14,-18,2,-1,-15,-17,-16,-19,-20,-21,-17,-17,-17
2020-02-21,-15,-1,0,-1,-15,-16,-2,-14,-19,-12,-19,-15,-15,-15,-18,-15,-15,-19,-17,-17,-15,-19,-11,-19,-10,-18,-19,-12,-18,-19,-17,-17,-18,-15,-18,-14,-17,-8,-17,-15,-15,2,-2,0,-1,-3,-18,-18,-2,-17,-3,-8,0,-18,-1,-17,-14,-14,-16,-18,-14,-17,-18,-2,-1,-17,-16,-19,-11,-19,-15,-18,-17,-16,-16,-17,-17,-16,-11,-10,-12,0,-15,-21,-2,-2,-19,-16,-16,-1,-16,-1,-15,-17,-18,-16,-17,-10,-17,-3,-17,-16,-4,-16,-15,-14,-15,-15,-16,-2,-18,-22,-1,-25,-18,-17,-17,1,-15,-2,-15,-12,-17,-17,-22,-17,-15,-17,-19,-17,-15,-16,-16,-17,-14,-18,-17,-16,-20,-2,-2,-15,-17,-17,-20,-20,-21,-17,-18,-18
2020-02-22,-2,3,0,-3,-2,-4,0,3,-3,0,0,0,1,1,-3,1,-2,-4,-3,-3,-1,-3,-3,-3,1,-4,-2,0,-5,-2,0,-1,-3,-4,-3,-2,-2,-1,-2,-2,-3,0,-2,-2,-4,-2,-3,-2,0,-2,-1,-6,-2,0,0,-1,-1,-2,6,-2,0,0,-3,-2,1,8,0,-2,2,-1,-1,-2,-1,-1,-2,-3,-2,-2,-2,-2,-1,-3,-1,-4,-1,0,1,-4,-2,1,-2,0,-3,-3,-4,-3,-2,-1,-2,0,-1,0,-2,-2,-1,-2,1,-1,-1,-3,-3,-6,-1,0,-2,-2,-3,1,-1,-1,-2,-3,0,-3,0,-3,-2,-2,-3,-2,-2,-2,1,-3,-1,1,0,-3,-4,-1,-1,-2,-3,-2,-3,-1,-4,-1,-1,-2
2020-02-23,-1,4,4,1,-2,-2,2,2,0,1,-1,3,-1,-2,0,1,-2,-1,-6,-2,0,-5,-1,-3,7,-1,-2,2,0,-3,0,-1,1,-3,1,-1,0,1,-1,-2,-2,3,0,3,-1,1,-1,-4,3,-3,3,-3,2,-3,2,-1,-1,-2,3,-1,4,-2,-3,1,4,6,3,-2,-2,0,0,-1,-1,-3,-2,-1,-1,-3,2,1,2,2,-1,-2,-1,NA,-1,-3,-2,1,0,3,-2,-2,0,-3,-2,-1,-2,NA,0,0,2,0,-1,-3,-4,-1,-1,0,0,0,2,NA,-2,-4,0,-2,-1,-1,-1,0,-4,-2,2,-2,-3,-1,-1,-5,0,-1,0,1,0,-4,0,-1,0,3,-1,-1,-3,0,-2,-1,-2,-2,-1,4
2020-02-24,-2,0,0,-3,-1,-2,1,3,-1,-2,-2,-3,-2,-3,-3,-3,-2,-1,-3,-1,-2,-3,-3,0,2,-3,-3,-1,-2,1,-2,-26,-6,-10,-2,-2,-3,-1,-1,-1,1,-2,0,2,-1,1,-2,-1,-2,-2,-1,-6,0,-1,0,-2,-1,-3,-4,-2,-2,0,-1,-1,1,-2,1,-2,1,-2,-3,-1,-1,-2,-1,0,-1,-2,0,-15,-1,-1,0,-3,-6,4,-2,0,0,-1,0,1,-1,-3,-10,-1,-8,-1,-3,3,0,2,-5,0,-1,-1,-7,-1,-3,0,-4,3,-2,-23,-4,-2,0,-1,-1,0,-2,0,-2,-1,-3,-2,0,0,0,-2,-1,-1,-1,-3,-5,-3,-1,-2,-1,1,-1,-3,-3,-5,-2,-1,0,-1,-2,-5
