date,JP,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi
2020-02-15,1,-4,7,-4,0,-1,6,-3,-1,0,-2,-4,-2,-3,-2,1,0,1,-2,0,4,3,-5,-11,-3,-6,-4,-7,-7,4,-3,-1,2,-3,-3,0,-3,1,2,-4,1,1,-1,1,-10,-2,3,-5
2020-02-16,-10,-12,-5,-14,-13,-13,-6,-7,-11,-13,-7,-13,-5,-13,-13,-6,-10,-17,-13,-11,4,-7,-10,-18,-15,-6,-9,-13,-17,-6,-12,-8,-5,-10,-8,-10,-9,-12,-11,-10,-11,-9,-11,-13,-22,-14,-7,-13
2020-02-17,-1,-2,3,-5,-2,-4,6,-2,4,2,0,0,0,-1,0,4,1,-2,-1,-1,5,-2,-1,-3,1,8,1,-6,-2,-1,-1,0,4,-1,-3,-2,2,-5,6,2,-2,-1,1,5,0,-3,0,2
2020-02-18,-2,-4,-9,-2,-3,0,0,-5,0,-2,0,-2,-1,-3,-1,-1,0,-2,0,-1,2,-4,-3,-3,-2,2,-2,-3,-4,-3,-5,-1,-2,-4,-3,-3,-1,-2,3,1,-2,-3,-4,2,-6,-4,-1,1
2020-02-19,-3,-4,0,2,-3,1,4,-2,0,-2,-4,0,-3,-3,-1,1,1,-1,3,-4,2,1,-3,-4,-1,4,-1,1,-2,1,1,2,1,-3,1,-4,0,4,2,-1,4,-5,7,2,-4,1,1,5
2020-02-20,-3,-4,4,0,-3,5,4,-1,0,-1,0,0,0,-1,-1,0,-1,1,4,-4,6,3,-2,-3,-3,6,1,2,-2,-1,5,0,1,-3,2,-3,0,6,3,-1,6,-5,5,-2,-4,-2,4,2
2020-02-21,-2,-2,-1,-2,-5,5,8,-2,-2,-1,0,0,-2,1,-1,5,-1,2,3,-4,7,2,-1,-2,-2,3,1,3,1,3,5,0,1,-2,0,-3,2,5,4,1,5,-5,8,5,-3,-1,5,3
2020-02-22,-3,-8,0,2,-5,0,5,-5,7,-4,5,-2,-7,-7,-2,0,3,5,5,-5,4,4,-10,-8,2,4,6,-1,-13,9,4,2,-1,-11,2,-3,-4,3,2,2,7,-5,3,-2,-16,5,10,3
2020-02-23,2,-5,-10,-10,-2,24,19,4,3,6,16,16,-14,4,13,3,-2,15,13,1,34,14,3,4,-6,22,9,14,1,2,20,13,0,-4,11,-3,11,21,21,14,20,-5,15,-11,6,-4,24,30
2020-02-24,-27,-25,2,-6,-34,18,24,-20,7,0,14,-10,-28,-22,-13,5,1,11,7,-34,19,6,-18,-6,-19,25,13,-3,-28,4,17,2,3,-34,5,-32,-3,13,6,8,17,-40,16,-2,-4,2,16,33
2020-02-25,-2,-4,-1,1,-4,4,2,-2,1,-4,-2,0,-3,-1,0,-4,3,2,0,-2,8,-1,-2,-3,0,3,-2,2,-2,-2,1,1,0,-3,0,-2,-3,8,2,1,5,-5,3,0,-3,0,4,-1
2020-02-26,-5,-6,3,1,-7,2,2,-6,-1,-6,-6,-2,-8,-3,-4,-6,-1,-2,-2,-6,3,-5,-4,-5,-3,0,-7,-1,-1,-2,-3,-2,-6,-5,-2,-6,-3,2,-4,-4,2,-8,4,-3,-7,0,1,-6
2020-02-27,-7,-9,-1,-4,-7,-1,-3,-8,-5,-7,-8,-4,-11,-5,-4,-9,-7,-3,-4,-8,2,-5,-8,-8,-7,-1,-8,-3,-5,-5,-4,-7,-12,-7,-4,-7,-5,2,-4,-6,2,-10,-2,-7,-8,-7,-2,-4
2020-02-28,-10,-13,-17,-13,-11,-7,-8,-16,-16,-15,-12,-14,-18,-9,-12,-19,-15,-11,-10,-9,-7,-15,-13,-14,-14,-12,-14,-10,-5,-13,-12,-13,-16,-9,-13,-10,-11,-9,-13,-13,-8,-12,-12,-11,-11,-19,-11,-12
2020-02-29,-21,-29,-22,-18,-21,-24,-22,-33,-23,-28,-20,-31,-37,-25,-25,-29,-22,-26,-22,-20,-24,-32,-30,-33,-27,-27,-25,-26,-26,-23,-28,-28,-20,-26,-31,-19,-30,-20,-29,-27,-24,-19,-23,-21,-31,-26,-22,-25
2020-03-01,-23,-29,-26,-24,-27,-19,-16,-31,-23,-24,-21,-24,-44,-24,-21,-30,-25,-30,-29,-23,-22,-33,-29,-28,-30,-31,-26,-24,-20,-29,-28,-21,-30,-28,-30,-25,-22,-14,-27,-22,-19,-25,-22,-24,-25,-29,-16,-22
2020-03-02,-15,-17,-23,-20,-19,-15,-11,-22,-19,-18,-18,-18,-25,-12,-20,-24,-20,-15,-14,-15,-15,-19,-16,-20,-21,-14,-21,-12,-11,-20,-16,-17,-25,-13,-19,-14,-15,-13,-19,-21,-15,-16,-17,-17,-14,-29,-14,-25
2020-03-03,-15,-21,-27,-19,-16,-11,-14,-23,-15,-19,-17,-19,-28,-16,-18,-26,-20,-14,-15,-15,-12,-16,-18,-19,-22,-15,-19,-13,-13,-22,-18,-16,-26,-16,-19,-15,-17,-8,-18,-16,-14,-16,-20,-19,-15,-25,-12,-16
2020-03-04,-19,-21,-20,-15,-21,-19,-16,-24,-20,-23,-20,-20,-28,-20,-22,-27,-20,-21,-17,-19,-23,-20,-21,-25,-22,-18,-22,-17,-17,-23,-21,-21,-27,-19,-20,-19,-20,-12,-21,-23,-23,-20,-17,-18,-21,-23,-18,-23
2020-03-05,-18,-22,-26,-19,-19,-16,-16,-24,-21,-21,-19,-20,-31,-18,-20,-29,-21,-16,-15,-17,-15,-17,-21,-23,-23,-16,-20,-15,-15,-27,-18,-19,-29,-18,-19,-17,-18,-14,-18,-20,-15,-18,-20,-20,-17,-29,-15,-19
2020-03-06,-18,-23,-27,-23,-19,-16,-15,-24,-23,-21,-17,-21,-30,-18,-20,-27,-23,-18,-18,-17,-19,-19,-21,-23,-25,-19,-21,-17,-14,-26,-19,-20,-27,-18,-22,-17,-19,-14,-20,-21,-17,-20,-16,-18,-17,-28,-19,-15
2020-03-07,-24,-33,-22,-20,-26,-28,-13,-36,-19,-25,-20,-32,-37,-28,-26,-31,-20,-25,-25,-24,-29,-27,-30,-30,-29,-32,-25,-32,-26,-27,-29,-27,-32,-30,-33,-24,-25,-13,-27,-27,-20,-25,-21,-20,-23,-21,-26,-23
2020-03-08,-31,-42,-21,-15,-36,-25,-24,-31,-27,-38,-28,-31,-39,-34,-30,-31,-21,-37,-16,-35,-25,-19,-38,-43,-35,-19,-31,-20,-37,-28,-22,-29,-32,-36,-24,-33,-32,-16,-40,-29,-31,-34,-23,-28,-36,-26,-19,-38
2020-03-09,-15,-18,-13,-16,-18,-14,-6,-21,-14,-15,-17,-17,-26,-14,-15,-21,-16,-16,-17,-14,-14,-18,-17,-18,-19,-16,-19,-15,-10,-19,-18,-14,-25,-15,-19,-14,-13,-5,-16,-19,-14,-17,-12,-10,-12,-22,-14,-18
2020-03-10,-18,-23,-23,-20,-20,-16,-18,-24,-19,-24,-24,-21,-28,-20,-21,-27,-20,-18,-18,-18,-19,-19,-21,-24,-23,-16,-21,-19,-17,-23,-22,-18,-28,-19,-21,-18,-21,-12,-23,-23,-17,-19,-20,-18,-21,-23,-19,-25
2020-03-11,-16,-20,-22,-14,-18,-12,-12,-21,-16,-17,-18,-18,-29,-16,-16,-25,-16,-19,-15,-15,-13,-13,-18,-19,-19,-11,-18,-12,-12,-23,-14,-15,-22,-16,-15,-15,-16,-6,-16,-16,-14,-18,-14,-18,-12,-22,-12,-11
2020-03-12,-15,-20,-17,-14,-18,-9,-4,-21,-15,-14,-16,-17,-26,-16,-16,-20,-17,-12,-12,-15,-10,-12,-17,-18,-19,-10,-16,-11,-11,-19,-12,-14,-24,-17,-14,-15,-12,-2,-15,-16,-6,-18,-12,-14,-11,-22,-10,-11
2020-03-13,-17,-21,-27,-22,-18,-14,-11,-23,-19,-19,-18,-20,-29,-17,-17,-24,-21,-17,-18,-15,-16,-18,-20,-22,-21,-19,-20,-15,-11,-23,-16,-16,-29,-18,-20,-16,-16,-9,-18,-19,-16,-19,-15,-19,-14,-25,-16,-15
2020-03-14,-27,-35,-19,-16,-33,-22,-19,-32,-24,-31,-33,-27,-34,-31,-34,-31,-20,-25,-17,-31,-18,-18,-34,-35,-25,-20,-34,-23,-32,-29,-18,-22,-31,-33,-24,-30,-30,-13,-34,-34,-23,-30,-23,-28,-29,-23,-15,-36
2020-03-15,-21,-31,-16,-17,-24,-16,-16,-31,-18,-22,-17,-27,-35,-27,-16,-31,-19,-26,-19,-20,-14,-18,-29,-27,-26,-17,-25,-22,-21,-24,-15,-16,-28,-31,-23,-23,-22,-12,-20,-16,-17,-24,-16,-23,-16,-20,-13,-17
2020-03-16,-15,-18,-17,-20,-17,-14,-12,-20,-13,-17,-17,-17,-25,-16,-13,-24,-17,-16,-13,-13,-12,-13,-19,-20,-16,-10,-21,-13,-13,-23,-13,-12,-22,-17,-20,-14,-16,-11,-15,-15,-13,-16,-16,-19,-13,-25,-13,-18
2020-03-17,-15,-19,-20,-12,-18,-8,-9,-22,-14,-15,-14,-17,-26,-15,-16,-24,-14,-13,-13,-15,-10,-11,-16,-16,-19,-14,-18,-12,-13,-19,-12,-12,-23,-16,-17,-15,-14,-4,-15,-13,-9,-17,-13,-17,-10,-22,-8,-12
2020-03-18,-14,-16,-13,-11,-15,-8,-5,-18,-13,-13,-14,-15,-23,-14,-15,-19,-13,-12,-10,-14,-11,-11,-15,-17,-15,-10,-16,-10,-8,-18,-11,-9,-18,-15,-14,-14,-13,-2,-14,-12,-8,-15,-3,-13,-7,-15,-8,-8
2020-03-19,-10,-14,-2,-4,-14,-2,0,-13,-4,-9,-5,-10,-19,-9,-10,-14,-7,-5,-6,-11,-5,-6,-11,-14,-10,-6,-8,-6,-7,-10,-4,-3,-19,-10,-10,-10,-7,3,-8,-4,2,-13,1,-5,-4,-8,2,2
2020-03-20,-34,-41,-27,-29,-40,-1,-7,-35,-14,-19,-6,-26,-46,-35,-24,-28,-19,-12,-8,-37,4,-4,-29,-23,-35,-3,-12,-17,-29,-30,4,-12,-21,-44,-12,-36,-20,4,-13,-3,4,-44,7,-25,-6,-19,-1,25
2020-03-21,-15,-28,-13,-12,-19,0,10,-27,-4,-9,-5,-18,-28,-23,-11,-15,-10,-3,-6,-16,4,-2,-19,-16,-11,-9,-11,-13,-15,-19,0,-8,-19,-29,-12,-18,-12,13,-10,-5,1,-21,7,6,1,-9,3,15
2020-03-22,-18,-26,-16,-9,-22,-6,-6,-27,-6,-12,-8,-20,-25,-25,-9,-22,-7,-15,-19,-16,-3,-13,-25,-20,-19,-22,-12,-16,-21,-27,-16,-7,-20,-31,-20,-18,-13,-3,-7,1,-2,-21,-7,-14,-8,-19,-4,8
2020-03-23,-13,-14,-10,-13,-17,-6,-2,-16,-10,-11,-13,-13,-23,-12,-14,-14,-7,-9,-8,-13,-9,-7,-15,-16,-15,-9,-13,-6,-9,-17,-12,-8,-19,-13,-14,-13,-12,-1,-11,-12,-7,-15,-8,-5,-5,-16,-4,-11
2020-03-24,-13,-17,-15,-14,-17,-7,-6,-18,-12,-15,-15,-15,-23,-15,-15,-19,-12,-7,-9,-13,-7,-7,-16,-16,-16,-9,-16,-7,-12,-21,-13,-12,-20,-16,-12,-14,-15,0,-12,-10,-1,-16,-11,-11,-7,-18,-7,-9
2020-03-25,-11,-14,-6,-9,-15,-5,-1,-16,-10,-10,-13,-13,-20,-11,-12,-15,-10,-8,-4,-12,-6,-6,-12,-12,-13,-8,-13,-3,-6,-14,-9,-9,-17,-12,-8,-11,-9,3,-10,-9,-1,-14,-1,-5,-4,-11,-3,-1
