date,EE,Harju County,Hiiu County,Ida-Viru County,Järva County,Jõgeva County,Lääne County,Lääne-Viru County,Pärnu County,Põlva County,Rapla County,Saare County,Tartu County,Valga County,Viljandi County,Võru County
2020-02-15,4,0,NA,3,4,5,8,9,12,-17,15,10,7,23,11,6
2020-02-16,6,4,NA,5,25,0,8,8,7,0,0,-16,6,35,-1,9
2020-02-17,4,4,NA,1,3,0,2,7,8,-21,7,2,1,9,7,7
2020-02-18,4,3,NA,4,7,5,8,7,5,-10,3,5,4,9,9,7
2020-02-19,5,5,NA,3,4,2,10,8,8,-18,3,7,4,4,1,1
2020-02-20,6,6,NA,6,3,-6,12,11,8,-15,10,8,2,3,8,3
2020-02-21,1,-1,NA,4,17,9,6,3,6,-12,10,8,1,8,0,11
2020-02-22,-7,-12,NA,-8,11,7,-2,8,1,-32,-7,9,-4,8,-2,16
2020-02-23,12,8,NA,20,2,0,43,19,28,0,0,36,5,34,9,38
2020-02-24,-22,-19,0,-10,-38,-49,-30,-16,-29,-65,-72,-27,-32,2,-14,-25
2020-02-25,2,0,NA,12,3,9,9,9,9,-25,-8,10,2,3,4,2
2020-02-26,-1,-3,NA,0,-7,-10,-5,-5,5,-20,-19,5,4,-1,-2,3
2020-02-27,0,-2,NA,2,3,-11,6,7,3,-27,-2,6,2,-3,1,-5
2020-02-28,-3,-3,NA,2,10,-3,0,-2,3,-24,0,-2,-2,3,2,-2
2020-02-29,-6,-10,NA,2,15,0,-2,2,6,-25,-6,-11,-5,-3,-2,6
2020-03-01,-2,-6,NA,10,0,0,5,-4,-5,0,0,3,0,7,-1,1
2020-03-02,1,-2,NA,5,9,4,1,2,1,-19,7,2,3,14,5,13
2020-03-03,0,-3,NA,6,8,11,15,8,4,-17,8,2,2,9,4,6
2020-03-04,0,-2,NA,-1,3,3,-3,7,1,-18,5,-2,-1,9,2,1
2020-03-05,6,3,NA,12,-1,6,15,11,8,-4,11,13,6,8,15,7
2020-03-06,8,6,NA,15,6,29,23,16,20,-19,9,9,6,23,17,15
2020-03-07,10,4,NA,20,11,35,51,25,23,-19,22,23,8,15,21,27
2020-03-08,29,21,NA,45,0,0,48,42,40,NA,0,30,27,39,32,47
2020-03-09,5,1,NA,17,12,18,1,13,12,-8,7,7,6,10,12,10
2020-03-10,4,0,NA,10,8,16,8,14,7,2,5,7,7,13,14,12
2020-03-11,2,-1,NA,3,3,5,4,8,10,-14,0,7,2,8,11,9
2020-03-12,1,-2,NA,7,-5,17,17,16,5,-21,3,-15,2,16,8,-4
2020-03-13,-13,-15,NA,7,-10,13,16,4,-7,-32,-10,-37,-19,4,-13,-31
2020-03-14,-35,-36,NA,-18,-27,-7,-15,-21,-34,-49,-22,-58,-43,-27,-32,-68
2020-03-15,-33,-36,NA,-11,-14,0,-23,-21,-37,0,0,-64,-42,-20,-35,-82
2020-03-16,-34,-35,NA,-23,-35,-18,-26,-22,-39,-69,-47,-65,-39,-10,-29,-74
2020-03-17,-40,-42,NA,-22,-40,-40,-39,-29,-40,-73,-47,-68,-44,-30,-37,-77
2020-03-18,-45,-46,NA,-30,-53,-37,-48,-37,-45,-61,-50,-67,-51,-43,-41,-75
2020-03-19,-40,-41,NA,-20,-37,-41,-31,-31,-41,-77,-51,-62,-47,-37,-42,-68
2020-03-20,-44,-45,NA,-27,-43,-39,-26,-31,-46,-78,-44,-69,-49,-37,-44,-69
2020-03-21,-50,-52,NA,-33,-39,-25,-39,-43,-54,-61,-48,-77,-53,-48,-49,-79
2020-03-22,-43,-45,NA,-27,-24,0,-21,-39,-49,0,0,-72,-49,-41,-43,-79
2020-03-23,-40,-42,NA,-24,-31,-39,-49,-31,-41,-69,-48,-69,-43,-30,-37,-69
2020-03-24,-43,-45,NA,-23,-37,-39,-47,-28,-43,-71,-53,-60,-48,-36,-42,-70
2020-03-25,-41,-43,NA,-19,-33,-41,-48,-29,-38,-69,-45,-59,-47,-39,-37,-66
2020-03-26,-44,-46,NA,-20,-38,-48,-45,-35,-44,-73,-52,-71,-51,-43,-44,-68
2020-03-27,-55,-57,NA,-38,-45,-46,-57,-44,-56,-75,-62,-74,-58,-41,-51,-71
2020-03-28,-62,-63,NA,-50,-48,-45,-58,-57,-65,-77,-72,-82,-66,-56,-58,-82
2020-03-29,-60,-61,NA,-50,-41,0,-53,-55,-67,0,0,-80,-65,-58,-58,-82
2020-03-30,-53,-55,NA,-40,-42,-44,-57,-47,-55,-79,-62,-81,-56,-45,-51,-75
2020-03-31,-53,-55,NA,-39,-51,-46,-51,-43,-53,-75,-54,-81,-56,-43,-47,-72
2020-04-01,-52,-53,NA,-44,-40,-42,-51,-45,-52,-75,-59,-79,-57,-44,-48,-75
2020-04-02,-54,-55,NA,-49,-47,-46,-53,-42,-53,-81,-70,-80,-58,-47,-51,-74
2020-04-03,-56,-57,NA,-46,-45,-44,-55,-47,-56,-78,-60,-81,-59,-46,-54,-74
2020-04-04,-59,-60,NA,-53,-52,-38,-56,-53,-62,-77,-70,-85,-63,-59,-56,-80
2020-04-05,-54,-56,NA,-48,-37,0,-48,-44,-61,0,0,-84,-58,-46,-53,-75
2020-04-06,-45,-47,NA,-36,0,0,0,0,-45,0,0,0,-49,0,0,0
2020-04-07,-44,-47,NA,-27,0,0,0,0,-42,0,0,0,-47,0,0,0
2020-04-08,-41,-43,NA,-27,0,0,0,0,-38,0,0,0,-47,0,0,0
2020-04-09,-39,-42,NA,-29,0,0,0,0,-35,0,0,0,-44,0,0,0
2020-04-10,-60,-59,NA,-48,0,0,0,0,-64,0,0,0,-66,0,0,0
2020-04-11,-57,-60,NA,-47,NA,NA,NA,-43,-59,NA,NA,NA,-61,NA,0,NA
