date,MT
2020-02-15,6
2020-02-16,6
2020-02-17,6
2020-02-18,5
2020-02-19,7
2020-02-20,8
2020-02-21,12
2020-02-22,11
2020-02-23,14
2020-02-24,9
2020-02-25,12
2020-02-26,6
2020-02-27,3
2020-02-28,4
2020-02-29,5
2020-03-01,9
2020-03-02,5
2020-03-03,-1
2020-03-04,0
2020-03-05,4
2020-03-06,4
2020-03-07,-1
2020-03-08,-3
2020-03-09,1
2020-03-10,-2
2020-03-11,0
2020-03-12,-9
2020-03-13,-22
2020-03-14,-26
2020-03-15,-36
2020-03-16,-35
2020-03-17,-39
2020-03-18,-38
2020-03-19,-51
2020-03-20,-47
2020-03-21,-59
2020-03-22,-65
2020-03-23,-52
2020-03-24,-53
2020-03-25,-60
2020-03-26,-56
2020-03-27,-55
2020-03-28,-52
2020-03-29,-57
2020-03-30,-57
2020-03-31,-54
2020-04-01,-50
2020-04-02,-55
2020-04-03,-58
2020-04-04,-56
2020-04-05,-54
2020-04-06,-51
2020-04-07,-52
2020-04-08,-48
2020-04-09,-49
2020-04-10,-60
2020-04-11,-51
