date,RW
2020-02-15,12
2020-02-16,5
2020-02-17,5
2020-02-18,0
2020-02-19,1
2020-02-20,2
2020-02-21,9
2020-02-22,16
2020-02-23,5
2020-02-24,3
2020-02-25,1
2020-02-26,7
2020-02-27,9
2020-02-28,9
2020-02-29,3
2020-03-01,14
2020-03-02,5
2020-03-03,4
2020-03-04,9
2020-03-05,8
2020-03-06,12
2020-03-07,23
2020-03-08,17
2020-03-09,7
2020-03-10,4
2020-03-11,7
2020-03-12,9
2020-03-13,6
2020-03-14,17
2020-03-15,-8
2020-03-16,-2
2020-03-17,-13
2020-03-18,-15
2020-03-19,-13
2020-03-20,-22
2020-03-21,-27
2020-03-22,-60
2020-03-23,-68
2020-03-24,-71
2020-03-25,-72
2020-03-26,-73
2020-03-27,-76
2020-03-28,-73
2020-03-29,-75
2020-03-30,-75
2020-03-31,-73
2020-04-01,-71
2020-04-02,-71
2020-04-03,-75
2020-04-04,-72
2020-04-05,-75
2020-04-06,-73
2020-04-07,-80
2020-04-08,-73
2020-04-09,-73
2020-04-10,-77
2020-04-11,-72
