date,CH,Aargau,Appenzell Ausserrhoden,Appenzell Innerrhoden,Basel City,Basel-Landschaft,Canton of Bern,Canton of Zug,Fribourg,Geneva,Glarus,Grisons,Jura,Lucerne,Neuchâtel,Nidwalden,Obwalden,Schaffhausen,Schwyz,Solothurn,St. Gallen,Thurgau,Ticino,Uri,Valais,Vaud,Zurich
2020-02-15,-1,1,5,NA,1,-1,-1,-1,-3,-5,10,8,0,-2,0,1,10,1,1,0,2,4,-1,8,10,-3,-6
2020-02-16,12,10,0,NA,9,13,16,0,9,29,0,31,0,17,0,0,0,0,0,4,16,0,-2,0,49,6,0
2020-02-17,-4,-2,-3,0,-7,-4,-4,-1,-5,-6,-5,12,-12,-8,-6,-8,0,-1,0,-4,-1,0,0,-6,10,-11,-9
2020-02-18,1,2,3,0,2,0,2,5,2,1,-1,6,-9,-3,2,-3,-3,3,8,2,3,6,0,2,15,-5,-2
2020-02-19,-4,-1,-5,0,-2,-5,-4,1,-2,-3,-10,12,-14,-4,-9,-13,3,-4,-2,-2,-2,-2,-1,-6,14,-11,-9
2020-02-20,-1,-1,-6,0,1,0,-1,5,-1,2,0,8,-12,1,-3,24,2,0,0,3,1,-1,1,-4,13,-8,-5
2020-02-21,-1,0,-1,0,2,3,-3,4,2,1,8,9,-8,0,-1,11,5,8,-13,4,0,0,6,-20,12,-9,-4
2020-02-22,0,0,2,NA,-2,-1,0,5,-1,2,2,5,-1,-2,0,1,3,2,-16,8,3,-1,3,-8,13,-5,-1
2020-02-23,18,25,0,NA,-5,58,11,0,15,42,0,25,0,17,0,0,0,0,-39,43,15,0,28,0,53,13,4
2020-02-24,3,2,3,0,-3,-3,2,6,-5,2,1,15,2,5,-6,3,11,8,0,2,5,-2,7,6,5,0,3
2020-02-25,6,5,11,0,-2,1,7,14,0,2,3,14,6,6,-4,15,20,7,4,6,10,13,4,4,13,4,5
2020-02-26,0,5,-2,0,-3,-2,3,8,-5,-2,5,13,-5,-2,-13,-3,14,3,-13,8,4,0,-2,4,5,-3,3
2020-02-27,1,4,7,0,-2,-4,3,14,-4,0,4,13,-3,0,-11,5,14,5,-12,3,4,2,-4,-6,3,-2,1
2020-02-28,8,10,15,0,8,11,11,17,3,10,18,10,2,6,2,9,9,16,-7,14,12,15,-1,-3,10,6,11
2020-02-29,4,5,14,NA,-3,1,8,10,6,6,8,8,4,2,0,13,5,14,-9,10,7,8,-1,-2,8,3,7
2020-03-01,8,9,0,NA,6,24,14,0,7,29,0,-1,0,6,7,0,0,0,-34,1,15,0,-11,0,8,8,16
