date,AO
2020-02-15,7
2020-02-16,-11
2020-02-17,2
2020-02-18,-4
2020-02-19,-3
2020-02-20,0
2020-02-21,3
2020-02-22,14
2020-02-23,5
2020-02-24,3
2020-02-25,-12
2020-02-26,-2
2020-02-27,5
2020-02-28,8
2020-02-29,9
2020-03-01,-1
2020-03-02,8
2020-03-03,8
2020-03-04,12
2020-03-05,17
2020-03-06,10
2020-03-07,18
2020-03-08,4
2020-03-09,7
2020-03-10,3
2020-03-11,5
2020-03-12,10
2020-03-13,5
2020-03-14,8
2020-03-15,-4
2020-03-16,1
2020-03-17,0
2020-03-18,-1
2020-03-19,5
2020-03-20,-5
2020-03-21,-8
2020-03-22,-29
2020-03-23,-31
2020-03-24,-21
2020-03-25,-24
2020-03-26,-9
2020-03-27,-32
2020-03-28,-28
2020-03-29,-39
2020-03-30,-35
2020-03-31,-37
2020-04-01,-40
2020-04-02,-34
2020-04-03,-41
2020-04-04,-37
2020-04-05,-48
2020-04-06,-37
2020-04-07,-41
2020-04-08,-41
2020-04-09,-34
2020-04-10,-49
2020-04-11,-37
