date,BW
2020-02-15,-8
2020-02-16,-6
2020-02-17,-13
2020-02-18,-11
2020-02-19,-4
2020-02-20,4
2020-02-21,11
2020-02-22,7
2020-02-23,-2
2020-02-24,-10
2020-02-25,-5
2020-02-26,-4
2020-02-27,3
2020-02-28,10
2020-02-29,11
2020-03-01,10
2020-03-02,-1
2020-03-03,1
2020-03-04,-4
2020-03-05,-3
2020-03-06,1
2020-03-07,-3
2020-03-08,-2
2020-03-09,-11
2020-03-10,-12
2020-03-11,-13
2020-03-12,-14
2020-03-13,-4
2020-03-14,-12
2020-03-15,-11
2020-03-16,-18
2020-03-17,-17
2020-03-18,-14
2020-03-19,-7
2020-03-20,9
2020-03-21,8
2020-03-22,1
2020-03-23,-2
2020-03-24,7
2020-03-25,13
2020-03-26,29
2020-03-27,35
2020-03-28,8
2020-03-29,-2
2020-03-30,-4
2020-03-31,10
2020-04-01,7
2020-04-02,11
2020-04-03,-67
2020-04-04,-66
2020-04-05,-66
2020-04-06,-59
2020-04-07,-61
2020-04-08,-65
2020-04-09,-60
2020-04-10,-67
2020-04-11,-63
