date,KG
2020-02-15,3
2020-02-16,-4
2020-02-17,-3
2020-02-18,-3
2020-02-19,-2
2020-02-20,3
2020-02-21,5
2020-02-22,2
2020-02-23,3
2020-02-24,-4
2020-02-25,3
2020-02-26,5
2020-02-27,-2
2020-02-28,4
2020-02-29,7
2020-03-01,8
2020-03-02,4
2020-03-03,5
2020-03-04,7
2020-03-05,6
2020-03-06,6
2020-03-07,3
2020-03-08,10
2020-03-09,-2
2020-03-10,5
2020-03-11,5
2020-03-12,8
2020-03-13,9
2020-03-14,11
2020-03-15,8
2020-03-16,8
2020-03-17,7
2020-03-18,2
2020-03-19,-6
2020-03-20,-12
2020-03-21,-25
2020-03-22,-32
2020-03-23,-38
2020-03-24,-40
2020-03-25,-58
2020-03-26,-64
2020-03-27,-66
2020-03-28,-70
2020-03-29,-70
2020-03-30,-66
2020-03-31,-67
2020-04-01,-71
2020-04-02,-72
2020-04-03,-70
2020-04-04,-72
2020-04-05,-75
2020-04-06,-71
2020-04-07,-72
2020-04-08,-72
2020-04-09,-76
2020-04-10,-72
2020-04-11,-71
