date,KG
2020-02-15,3
2020-02-16,-5
2020-02-17,-2
2020-02-18,-6
2020-02-19,-5
2020-02-20,0
2020-02-21,5
2020-02-22,2
2020-02-23,5
2020-02-24,-5
2020-02-25,8
2020-02-26,8
2020-02-27,-7
2020-02-28,0
2020-02-29,4
2020-03-01,15
2020-03-02,12
2020-03-03,3
2020-03-04,4
2020-03-05,2
2020-03-06,-2
2020-03-07,-5
2020-03-08,10
2020-03-09,-5
2020-03-10,6
2020-03-11,1
2020-03-12,6
2020-03-13,7
2020-03-14,6
2020-03-15,12
2020-03-16,10
2020-03-17,12
2020-03-18,0
2020-03-19,-2
2020-03-20,-5
2020-03-21,-17
2020-03-22,-16
2020-03-23,-19
2020-03-24,-18
2020-03-25,-31
2020-03-26,-34
2020-03-27,-33
2020-03-28,-34
2020-03-29,-32
2020-03-30,-34
2020-03-31,-31
2020-04-01,-37
2020-04-02,-36
2020-04-03,-37
2020-04-04,-35
2020-04-05,-35
2020-04-06,-34
2020-04-07,-32
2020-04-08,-36
2020-04-09,-39
2020-04-10,-35
2020-04-11,-35
