date,IN
2020-02-15,5
2020-02-16,0
2020-02-17,4
2020-02-18,3
2020-02-19,4
2020-02-20,4
2020-02-21,-19
2020-02-22,-2
2020-02-23,2
2020-02-24,4
2020-02-25,1
2020-02-26,3
2020-02-27,4
2020-02-28,5
2020-02-29,8
2020-03-01,3
2020-03-02,5
2020-03-03,4
2020-03-04,7
2020-03-05,5
2020-03-06,5
2020-03-07,7
2020-03-08,6
2020-03-09,-12
2020-03-10,-44
2020-03-11,-5
2020-03-12,0
2020-03-13,0
2020-03-14,-6
2020-03-15,2
2020-03-16,-4
2020-03-17,-8
2020-03-18,-8
2020-03-19,-11
2020-03-20,-15
2020-03-21,-18
2020-03-22,-49
2020-03-23,-50
2020-03-24,-65
2020-03-25,-72
2020-03-26,-70
2020-03-27,-70
2020-03-28,-66
2020-03-29,-47
2020-03-30,-68
2020-03-31,-68
2020-04-01,-68
2020-04-02,-69
2020-04-03,-67
2020-04-04,-61
2020-04-05,-43
2020-04-06,-68
2020-04-07,-67
2020-04-08,-67
2020-04-09,-68
2020-04-10,-69
2020-04-11,-64
