date,SN
2020-02-15,-3
2020-02-16,0
2020-02-17,0
2020-02-18,-4
2020-02-19,-6
2020-02-20,-2
2020-02-21,-3
2020-02-22,-4
2020-02-23,-3
2020-02-24,-1
2020-02-25,-11
2020-02-26,-9
2020-02-27,-3
2020-02-28,-2
2020-02-29,-1
2020-03-01,1
2020-03-02,2
2020-03-03,-1
2020-03-04,-1
2020-03-05,-1
2020-03-06,-2
2020-03-07,0
2020-03-08,-1
2020-03-09,0
2020-03-10,-3
2020-03-11,-4
2020-03-12,-3
2020-03-13,-3
2020-03-14,-7
2020-03-15,-7
2020-03-16,-7
2020-03-17,-11
2020-03-18,-17
2020-03-19,-20
2020-03-20,-22
2020-03-21,-30
2020-03-22,-38
2020-03-23,-36
2020-03-24,-45
2020-03-25,-47
2020-03-26,-48
2020-03-27,-51
2020-03-28,-52
2020-03-29,-50
2020-03-30,-45
2020-03-31,-49
2020-04-01,-48
2020-04-02,-47
2020-04-03,-48
2020-04-04,-53
2020-04-05,-50
2020-04-06,-44
2020-04-07,-47
2020-04-08,-48
2020-04-09,-48
2020-04-10,-49
2020-04-11,-49
