date,GR,Crete Region,Decentralized Administration of Attica,Decentralized Administration of Epirus and Western Macedonia,Decentralized Administration of Macedonia and Thrace,Decentralized Administration of the Aegean,Decentralized Administration of Thessaly and Central Greece
2020-02-15,-2,-8,-6,8,2,-9,-1
2020-02-16,7,-6,2,10,12,6,2
2020-02-17,8,6,8,4,8,7,2
2020-02-18,1,5,-1,7,5,8,5
2020-02-19,5,7,4,4,4,19,2
2020-02-20,8,18,3,19,10,11,4
2020-02-21,-4,-8,-6,-2,-1,-1,-4
2020-02-22,-5,-5,-10,0,-1,2,-5
2020-02-23,7,-5,0,5,11,6,2
2020-02-24,5,5,6,0,3,7,1
2020-02-25,1,3,0,4,1,5,2
2020-02-26,2,5,1,3,1,6,2
2020-02-27,3,12,2,3,-1,-5,5
2020-02-28,0,9,-3,4,-4,17,10
2020-02-29,2,7,-13,28,-1,8,29
2020-03-01,22,25,-3,50,16,28,57
2020-03-02,11,14,-11,30,9,18,57
2020-03-03,-4,-1,-7,-2,-3,3,3
2020-03-04,-3,1,-5,-1,-5,13,-1
2020-03-05,0,5,-2,-1,-1,2,2
2020-03-06,-2,3,-3,-4,-2,17,0
2020-03-07,-4,-1,-7,-5,-1,9,0
2020-03-08,-4,4,-7,-5,-7,11,-8
2020-03-09,-10,-8,-16,-5,-7,2,-9
2020-03-10,-6,1,-6,-3,-7,6,-1
2020-03-11,-6,0,-12,-5,-3,13,-2
2020-03-12,-12,-10,-16,-12,-10,-2,-9
2020-03-13,-25,-24,-28,-26,-24,-9,-21
2020-03-14,-54,-50,-57,-58,-56,-40,-52
2020-03-15,-69,-61,-70,-74,-79,-53,-73
2020-03-16,-53,-57,-55,-60,-53,-46,-55
2020-03-17,-54,-54,-54,-59,-56,-48,-53
2020-03-18,-64,-62,-68,-65,-66,-51,-62
2020-03-19,-65,-65,-68,-65,-66,-57,-61
2020-03-20,-67,-66,-70,-67,-67,-56,-63
2020-03-21,-72,-68,-76,-72,-73,-58,-68
2020-03-22,-72,-69,-75,-76,-73,-63,-72
2020-03-23,-77,-73,-79,-80,-79,-68,-76
2020-03-24,-76,-72,-78,-76,-79,-67,-72
2020-03-25,-86,-82,-88,-87,-88,-73,-86
2020-03-26,-78,-72,-81,-78,-78,-69,-76
2020-03-27,-79,-73,-82,-79,-80,-69,-77
2020-03-28,-80,-74,-82,-81,-83,-70,-78
2020-03-29,-80,-80,-82,-82,-81,-74,-81
2020-03-30,-66,-66,-69,-69,-67,-57,-64
2020-03-31,-71,-70,-73,-72,-72,-63,-65
2020-04-01,-73,-67,-75,-78,-77,-58,-72
2020-04-02,-72,-68,-74,-74,-76,-65,-68
2020-04-03,-78,-73,-80,-80,-78,-67,-76
2020-04-04,-84,-78,-87,-83,-86,-74,-83
2020-04-05,-85,-79,-87,-86,-88,-77,-86
2020-04-06,-73,-70,-76,-74,-73,-65,-72
2020-04-07,-75,-74,-79,-74,-72,-66,-69
2020-04-08,-72,-74,-75,-72,-71,-61,-68
2020-04-09,-71,-68,-74,-71,-72,-64,-66
2020-04-10,-72,-69,-75,-72,-72,-63,-68
2020-04-11,-75,-70,-78,-74,-76,-64,-73
