date,TW
2020-02-15,56
2020-02-16,-8
2020-02-17,-3
2020-02-18,2
2020-02-19,3
2020-02-20,2
2020-02-21,0
2020-02-22,5
2020-02-23,-2
2020-02-24,1
2020-02-25,11
2020-02-26,11
2020-02-27,9
2020-02-28,-50
2020-02-29,-4
2020-03-01,0
2020-03-02,10
2020-03-03,14
2020-03-04,14
2020-03-05,11
2020-03-06,10
2020-03-07,11
2020-03-08,3
2020-03-09,10
2020-03-10,11
2020-03-11,14
2020-03-12,12
2020-03-13,9
2020-03-14,6
2020-03-15,1
2020-03-16,10
2020-03-17,14
2020-03-18,13
2020-03-19,11
2020-03-20,9
2020-03-21,9
2020-03-22,0
2020-03-23,8
2020-03-24,12
2020-03-25,12
2020-03-26,10
2020-03-27,7
2020-03-28,3
2020-03-29,-1
2020-03-30,6
2020-03-31,9
2020-04-01,7
2020-04-02,-50
2020-04-03,-55
2020-04-04,-23
2020-04-05,-9
2020-04-06,3
2020-04-07,7
2020-04-08,8
2020-04-09,7
2020-04-10,4
2020-04-11,4
