date,MN
2020-02-15,-4
2020-02-16,-6
2020-02-17,-7
2020-02-18,-8
2020-02-19,-4
2020-02-20,-3
2020-02-21,-1
2020-02-22,4
2020-02-23,-21
2020-02-24,-37
2020-02-25,-54
2020-02-26,-57
2020-02-27,-42
2020-02-28,-41
2020-02-29,-36
2020-03-01,-42
2020-03-02,-30
2020-03-03,-18
2020-03-04,-14
2020-03-05,-14
2020-03-06,-14
2020-03-07,-10
2020-03-08,-11
2020-03-09,-17
2020-03-10,-25
2020-03-11,-43
2020-03-12,-41
2020-03-13,-39
2020-03-14,-37
2020-03-15,-37
2020-03-16,-12
2020-03-17,-15
2020-03-18,-17
2020-03-19,-23
2020-03-20,-20
2020-03-21,-15
2020-03-22,-16
2020-03-23,-14
2020-03-24,-16
2020-03-25,-23
2020-03-26,-21
2020-03-27,-17
2020-03-28,-15
2020-03-29,-16
2020-03-30,-16
2020-03-31,-15
2020-04-01,-11
2020-04-02,-10
2020-04-03,-10
2020-04-04,-4
2020-04-05,-10
2020-04-06,-13
2020-04-07,-11
2020-04-08,-8
2020-04-09,-13
2020-04-10,-10
2020-04-11,-3
