date,EE,Harju County,Hiiu County,Ida-Viru County,Järva County,Jõgeva County,Lääne County,Lääne-Viru County,Pärnu County,Põlva County,Rapla County,Saare County,Tartu County,Valga County,Viljandi County,Võru County
2020-02-15,-1,-2,NA,-3,0,0,0,-2,5,0,0,0,6,0,0,0
2020-02-16,-1,-1,NA,-6,0,0,0,0,-3,0,0,-2,4,0,0,0
2020-02-17,0,0,NA,-6,0,0,0,2,-1,0,0,0,4,0,-2,0
2020-02-18,4,4,NA,-2,0,0,0,-4,7,0,0,0,6,0,-6,0
2020-02-19,4,3,NA,-4,0,0,0,4,7,0,0,0,6,0,-4,0
2020-02-20,6,6,NA,2,0,0,0,6,6,0,0,0,8,0,9,0
2020-02-21,3,0,NA,-3,0,0,0,7,12,0,0,0,7,0,13,0
2020-02-22,-7,-12,NA,-13,0,0,0,-10,9,0,0,0,8,0,0,0
2020-02-23,7,5,NA,-1,0,0,0,0,18,0,0,0,2,0,0,0
2020-02-24,-13,-16,0,-15,0,0,0,-19,-4,0,0,0,-24,0,-2,0
2020-02-25,4,1,NA,8,0,0,0,14,19,0,0,0,8,0,13,0
2020-02-26,2,-2,NA,-1,0,0,0,6,12,0,0,0,10,0,6,0
2020-02-27,1,-1,NA,4,0,0,0,0,4,0,0,0,7,0,0,0
2020-02-28,-3,-6,NA,-6,0,0,0,-3,3,0,0,0,2,0,7,0
2020-02-29,0,-5,NA,-2,0,0,0,-6,12,0,0,0,16,0,0,0
2020-03-01,1,-3,NA,1,0,0,0,0,4,0,0,0,10,0,0,0
2020-03-02,2,0,NA,6,0,0,0,-4,8,0,0,0,6,0,9,0
2020-03-03,0,-3,NA,1,0,0,0,0,8,0,0,0,9,0,0,0
2020-03-04,0,-3,NA,-6,0,0,0,2,8,0,0,0,6,0,6,0
2020-03-05,4,2,NA,6,0,0,0,-4,6,0,0,0,10,0,0,0
2020-03-06,7,2,NA,14,0,0,0,10,12,0,0,0,15,0,15,0
2020-03-07,7,2,NA,22,0,0,0,14,18,0,0,0,14,0,0,0
2020-03-08,22,14,NA,49,0,0,0,0,25,NA,0,0,34,0,0,0
2020-03-09,3,-1,NA,17,0,0,0,0,6,0,0,0,11,0,0,0
2020-03-10,2,-2,NA,7,0,0,0,-6,5,0,0,0,10,0,11,0
2020-03-11,-2,-5,NA,0,0,0,0,-2,11,0,0,0,3,0,-2,0
2020-03-12,-3,-6,NA,8,0,0,0,-4,3,0,0,0,5,0,-2,0
2020-03-13,-17,-21,NA,-5,0,0,0,-13,-8,0,0,-28,-18,0,-7,0
2020-03-14,-26,-31,NA,-10,0,0,0,-22,-16,0,0,0,-25,0,-19,0
2020-03-15,-23,-28,NA,1,0,0,0,0,-23,0,0,-50,-24,0,0,0
2020-03-16,-38,-41,NA,-27,0,0,0,-38,-34,0,0,0,-42,0,-32,0
2020-03-17,-39,-44,NA,-17,0,0,0,-30,-28,0,0,0,-39,0,-32,0
2020-03-18,-47,-52,NA,-30,0,0,0,-35,-38,0,0,0,-50,0,-45,0
2020-03-19,-38,-44,NA,-10,0,0,0,-31,-35,0,0,0,-41,0,-28,0
2020-03-20,-43,-48,NA,-22,0,0,0,-34,-42,0,0,-52,-48,0,-31,0
2020-03-21,-39,-47,NA,-13,0,0,0,-26,-37,0,0,0,-33,0,-26,0
2020-03-22,-35,-41,NA,-10,0,0,0,-34,-41,0,0,-70,-38,0,0,0
2020-03-23,-43,-49,NA,-16,0,0,0,-32,-35,0,0,0,-43,0,-32,0
2020-03-24,-44,-49,NA,-23,0,0,0,-30,-39,0,0,0,-47,0,-30,0
2020-03-25,-44,-50,NA,-20,0,0,0,-27,-35,0,0,0,-46,0,-36,0
2020-03-26,-44,-50,NA,-11,0,0,0,-40,-43,0,0,-50,-48,0,-28,0
2020-03-27,-48,-54,NA,-25,0,0,0,-39,-48,0,0,-62,-49,0,-42,0
2020-03-28,-41,-49,NA,-16,0,0,0,-32,-41,0,0,0,-36,0,-33,0
2020-03-29,-51,-57,NA,-35,0,0,0,-41,-53,0,0,-80,-54,0,-42,0
2020-03-30,-52,-58,NA,-33,0,0,0,-43,-46,0,0,-67,-52,0,-40,0
2020-03-31,-51,-57,NA,-37,0,0,0,-44,-41,0,0,-61,-51,0,-43,0
2020-04-01,-49,-55,NA,-38,0,0,0,-38,-33,0,0,0,-52,0,-40,0
2020-04-02,-52,-57,NA,-39,0,0,0,-42,-46,0,0,-59,-57,0,-43,0
2020-04-03,-57,-61,NA,-46,0,0,0,-49,-56,0,0,-65,-60,0,-53,0
2020-04-04,-44,-50,NA,-32,0,0,0,-32,-40,0,0,0,-43,0,-35,0
2020-04-05,-43,-49,NA,-35,0,0,0,-27,-45,0,0,-73,-44,0,0,0
2020-04-06,-43,-50,NA,-27,0,0,0,-30,-37,0,0,0,-46,0,-30,0
2020-04-07,-39,-47,NA,-11,0,0,0,-18,-31,0,0,0,-37,0,-21,0
2020-04-08,-38,-45,NA,-15,0,0,0,-19,-29,0,0,0,-42,0,-28,0
2020-04-09,-42,-49,NA,-22,0,0,0,-23,-35,0,0,-50,-45,0,-20,0
2020-04-10,-53,-60,NA,-34,0,0,0,-43,-53,0,0,-65,-55,0,-38,0
2020-04-11,-43,-51,NA,-27,NA,NA,NA,-30,-36,NA,NA,NA,-40,NA,-35,NA
