date,ES,Andalusia,Aragon,Asturias,Balearic Islands,Basque Country,Canary Islands,Cantabria,Castile and León,Castile-La Mancha,Catalonia,Ceuta,Community of Madrid,Extremadura,Galicia,La Rioja,Melilla,Navarre,Region of Murcia,Valencian Community
2020-02-15,-2,-2,-3,-1,0,-3,0,-2,-3,-2,-1,0,-2,-2,0,-2,0,-2,-2,-1
2020-02-16,-2,-4,-4,-2,-1,-2,0,-1,-3,-3,-1,0,-2,-3,1,-2,0,-3,-1,-2
2020-02-17,-1,-1,-1,-1,0,0,0,1,-1,-1,0,-1,-1,-2,-1,0,-1,-1,-2,0
2020-02-18,0,-1,0,-1,0,0,0,-1,-2,-1,0,0,-1,-1,-1,-1,0,-1,1,1
2020-02-19,-1,0,-1,-2,0,0,0,-1,-2,-1,0,0,-1,-1,-1,-1,0,-1,0,0
2020-02-20,-1,-1,-1,-3,-1,-1,0,-1,-2,-1,0,-2,-1,-1,-2,-2,0,-2,-1,0
2020-02-21,-2,-1,-2,0,-2,-2,0,-2,-3,-2,-1,3,-2,-3,-2,-1,0,-3,-1,-1
2020-02-22,-2,-2,-3,-1,-1,-3,1,-2,-4,-3,-2,0,-2,-4,-3,-3,0,-3,-2,-1
2020-02-23,-3,-3,-5,-3,-2,-3,6,-2,-6,-5,-3,0,-4,-5,-4,-4,0,-4,-2,-2
2020-02-24,0,-1,-2,-1,-1,0,5,1,-2,-1,2,-1,-2,-2,0,0,-1,-1,-1,0
2020-02-25,1,-1,-1,4,-1,3,9,2,-1,-1,0,-2,-1,1,9,-1,0,1,-1,0
2020-02-26,0,-1,-1,0,-1,2,1,3,0,-1,0,-1,-1,-1,2,0,0,1,-1,0
2020-02-27,-2,-5,-1,-1,-1,1,2,2,-1,-1,0,-2,-2,-1,-1,-1,0,0,-1,0
2020-02-28,0,7,-2,-2,0,-2,2,1,-2,-1,-1,-1,0,-2,-1,-2,-2,-1,-1,-1
2020-02-29,-1,-1,-2,1,-1,0,0,1,-1,-1,-2,0,-1,0,1,-2,0,-1,-2,-1
2020-03-01,-2,-6,-3,0,-3,-1,0,-1,-1,-1,-2,0,-2,1,1,-2,0,-1,-2,-2
2020-03-02,1,1,0,1,3,1,0,2,-1,1,1,0,1,-1,0,0,0,0,-1,1
2020-03-03,0,-1,0,0,0,1,0,0,-1,0,0,-1,-1,0,0,-1,0,0,0,0
2020-03-04,0,0,-4,-1,-1,0,0,0,-1,0,0,-1,-1,-1,0,-1,0,0,-1,0
2020-03-05,0,-1,6,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0
2020-03-06,0,0,5,2,-1,2,1,3,0,0,1,0,0,-1,0,1,2,1,-1,0
2020-03-07,-1,-1,0,0,0,1,1,1,-2,-1,-1,0,-1,-2,-1,1,0,1,-1,-1
2020-03-08,-2,-3,-6,0,-2,0,0,1,-2,-2,-2,0,-1,-2,0,-1,0,-1,-1,-2
2020-03-09,-1,-1,-1,-1,0,0,0,0,-2,-1,0,-1,-1,-2,-1,-1,0,0,-2,0
2020-03-10,0,-1,0,-1,-1,0,0,-1,-2,-2,0,-1,0,-2,-1,-1,-1,-1,0,0
2020-03-11,1,0,-1,-1,-1,1,0,-1,-1,0,1,-1,8,-1,0,2,0,0,0,0
2020-03-12,3,1,1,3,0,3,1,2,1,2,2,-1,12,0,1,6,-2,1,2,2
2020-03-13,8,5,5,9,3,10,8,5,5,9,11,4,17,4,7,11,0,9,7,6
2020-03-14,14,12,13,15,11,14,10,15,11,13,16,0,18,11,15,15,0,15,15,15
2020-03-15,17,15,15,19,14,18,14,18,17,16,16,0,19,15,18,18,0,18,19,17
2020-03-16,23,20,21,21,22,22,18,23,20,21,26,0,29,17,22,21,0,21,19,22
2020-03-17,25,23,24,23,25,25,21,24,22,22,28,0,31,19,23,22,0,24,22,25
2020-03-18,26,25,24,24,26,26,22,25,23,23,29,0,33,21,24,24,0,25,22,25
2020-03-19,31,26,26,26,28,39,24,28,25,33,31,0,35,22,36,26,0,36,36,37
2020-03-20,32,30,30,30,29,35,27,31,30,31,34,0,38,27,34,30,0,34,30,32
2020-03-21,26,26,25,26,28,27,24,27,24,26,26,0,26,24,27,27,0,28,26,27
2020-03-22,22,22,21,24,22,23,20,23,23,22,22,0,23,22,24,23,0,23,25,23
2020-03-23,28,26,26,25,28,26,24,26,24,26,31,0,33,21,26,24,0,25,24,27
2020-03-24,29,27,27,25,29,29,25,27,25,26,33,0,35,23,27,24,0,27,29,28
2020-03-25,30,28,27,26,30,30,26,28,26,27,33,0,36,23,28,26,0,29,27,29
2020-03-26,30,28,28,28,32,31,27,29,27,28,35,0,37,24,29,27,0,29,28,29
2020-03-27,33,32,32,31,31,34,30,33,31,33,36,0,40,28,34,30,0,33,31,33
2020-03-28,26,26,25,26,28,27,25,27,24,26,27,0,27,24,28,27,0,28,27,27
2020-03-29,22,21,20,23,22,22,20,23,22,21,21,0,22,22,24,23,0,23,24,22
2020-03-30,31,28,29,28,32,32,26,30,27,29,35,0,36,23,30,28,0,30,26,31
2020-03-31,32,29,31,28,33,34,27,31,28,30,35,0,37,25,31,29,0,32,30,32
2020-04-01,33,29,31,28,34,35,28,32,29,30,36,0,38,25,31,31,0,33,29,32
2020-04-02,33,30,32,30,35,35,29,32,30,31,37,0,39,26,32,31,0,32,30,33
2020-04-03,36,33,35,33,35,37,32,36,33,35,39,0,41,29,37,33,0,36,34,35
2020-04-04,26,26,26,27,29,27,25,28,25,26,27,0,27,24,28,28,0,29,26,28
2020-04-05,23,22,21,24,22,23,21,24,23,22,22,0,23,23,25,24,0,24,25,23
2020-04-06,31,28,29,27,32,31,26,30,27,29,35,0,36,23,30,28,0,30,26,31
2020-04-07,31,27,30,27,32,32,26,29,27,28,35,0,36,24,29,28,0,30,28,31
2020-04-08,30,27,28,26,32,32,25,28,26,28,35,0,36,23,28,28,0,30,27,30
2020-04-09,36,33,37,34,37,40,32,36,34,36,36,0,43,30,38,36,0,37,34,32
2020-04-10,42,39,42,40,40,44,40,42,40,43,45,0,46,36,45,42,0,43,42,42
2020-04-11,26,25,25,26,27,26,25,27,25,25,27,0,27,24,27,27,0,28,25,27
