date,HU,Bács-Kiskun,Baranya,Békés County,Borsod-Abaúj-Zemplén,Budapest,Csongrád,Fejér,Gyor-Moson-Sopron,Hajdú-Bihar,Heves County,Jász-Nagykun-Szolnok,Komárom-Esztergom,Nógrád County,Pest County,Somogy County,Szabolcs-Szatmár-Bereg,Tolna County,Vas County,Veszprém,Zala County
2020-02-15,46,19,49,0,225,40,90,72,41,51,18,29,65,0,41,39,13,0,37,59,19
2020-02-16,52,39,54,0,171,39,42,70,63,78,29,0,75,0,50,77,0,0,0,88,21
2020-02-17,25,17,0,0,20,28,18,23,20,28,26,31,0,0,24,25,24,0,20,27,-1
2020-02-18,24,12,16,0,23,31,19,17,21,27,32,38,21,0,16,16,20,0,0,27,-6
2020-02-19,16,12,26,0,26,17,17,15,10,32,25,32,12,0,21,16,15,0,13,16,-7
2020-02-20,14,5,24,13,10,18,1,23,19,14,18,20,8,0,20,15,4,0,18,16,5
2020-02-21,1,2,27,6,11,1,-8,9,-2,7,2,11,3,0,-3,-1,-3,0,13,-8,11
2020-02-22,36,18,131,35,33,32,38,78,25,113,31,32,51,0,35,24,30,0,30,30,52
2020-02-23,23,22,143,0,17,16,9,60,22,67,-8,29,17,0,6,32,10,0,52,41,30
2020-02-24,21,4,24,0,17,32,-6,14,9,23,17,22,26,0,18,13,8,0,16,6,23
2020-02-25,42,20,45,0,34,52,28,47,31,35,50,0,0,0,43,22,24,0,0,39,35
2020-02-26,0,5,-10,-7,7,8,-10,-5,6,5,-7,4,-4,0,-7,-12,-8,0,-13,-28,-19
2020-02-27,7,5,11,4,16,5,-6,15,12,15,16,17,-2,0,10,23,7,0,15,6,16
2020-02-28,-5,-7,-5,-19,-2,-3,-15,-1,-10,-11,3,5,-6,0,-3,-11,-13,0,8,-16,8
2020-02-29,10,10,33,13,14,7,12,55,7,15,4,18,24,0,21,4,12,0,15,6,8
2020-03-01,9,20,-11,4,35,3,8,34,16,16,-6,27,10,0,11,-3,18,0,24,8,-3
2020-03-02,15,6,20,0,-6,19,4,17,20,-1,10,13,24,0,20,24,-6,0,8,10,21
2020-03-03,4,7,5,0,10,6,-4,9,5,4,0,15,0,0,0,0,12,0,6,2,-1
2020-03-04,3,6,17,-11,-9,4,-9,11,19,-6,-20,-7,0,0,4,10,4,0,2,1,15
2020-03-05,18,19,30,0,20,17,12,34,18,20,17,27,21,0,28,53,16,0,16,19,23
2020-03-06,-10,2,-12,-9,6,-18,-12,-7,-9,11,-4,5,0,0,-11,9,13,0,-8,-8,5
2020-03-07,12,9,29,11,20,4,14,45,10,4,13,69,29,-2,11,21,-2,0,22,43,23
2020-03-08,31,23,22,17,25,15,10,71,73,63,31,33,64,0,40,53,0,0,0,77,30
2020-03-09,25,18,0,0,33,22,11,38,21,20,23,33,0,0,40,43,0,0,18,26,17
