date,NG,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Federal Capital Territory,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun State,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-02-15,1,1,0,-5,-3,8,6,-6,5,10,-2,-5,-1,17,0,5,1,-5,0,0,-7,7,0,-3,-7,2,-4,-5,3,-1,4,-5,-2,-1,19,0,4,-23
2020-02-16,-1,-1,0,-3,-1,7,0,0,2,5,-2,-4,-3,0,-3,2,-9,-6,0,-2,-5,-4,0,2,-10,-1,-5,-3,0,-3,3,-3,-3,2,13,0,8,-33
2020-02-17,-2,-3,2,-3,-7,0,-11,-14,9,7,-5,1,-4,13,-3,2,-2,-8,0,0,-4,-1,0,10,-3,-2,-5,-7,0,-12,5,-8,-3,-4,30,0,0,-22
2020-02-18,-5,-8,3,-3,-7,-1,-11,-13,-1,11,-9,-10,-6,8,-6,3,0,-14,0,-4,-5,-13,0,-16,-12,-4,-14,-8,1,-8,6,-7,-1,-3,28,0,0,-29
2020-02-19,-4,-3,6,1,-8,1,-10,-7,-6,5,-9,-15,-7,9,-8,1,-2,-11,0,-2,-7,-8,0,-12,-13,-4,-7,-7,-1,-8,1,-7,-5,-7,20,0,0,-35
2020-02-20,-3,-7,6,-1,-3,-2,-12,-4,-7,5,-6,-13,-7,12,-7,2,1,-8,0,-1,-6,-6,0,2,-8,-3,-10,-6,0,-3,4,-5,-2,-7,21,0,0,-60
2020-02-21,-4,-1,1,1,-8,-14,-6,-10,-8,3,-10,-8,-7,6,-10,4,9,-12,0,2,-7,-4,0,5,-10,-6,-14,-4,0,-6,-1,-12,5,-5,17,0,-4,-34
2020-02-22,-3,-3,6,-7,-6,-2,12,-13,-7,3,-3,-4,-10,7,-1,3,0,-9,0,2,-7,-2,0,3,-13,-3,-2,-4,2,-3,-4,-9,-4,-4,9,0,4,-36
2020-02-23,-5,-4,3,-11,-7,-9,0,-23,-12,6,-7,-15,-5,0,-5,-1,-10,-15,0,-8,-8,-7,0,-7,-13,-2,-7,-9,0,-10,-2,-6,-5,-2,8,0,5,-33
2020-02-24,-5,-7,-2,-3,-9,-6,-17,-10,-24,7,-9,-8,-8,19,-9,-1,8,-12,0,-4,-4,-8,0,-12,-5,-4,-13,-11,-1,-14,-3,-10,-4,-5,19,0,0,-26
2020-02-25,-5,-6,2,-6,-11,0,-2,-7,-5,10,-8,-10,-7,10,-9,1,7,-15,0,1,-5,-10,0,-9,-7,-4,-12,-6,-1,-13,2,-9,-2,-4,28,0,0,-29
2020-02-26,-3,-9,-3,-4,-8,5,-4,-16,7,10,-12,-8,-7,12,-7,1,1,-15,0,3,-2,-12,0,-14,-9,-2,-10,-7,-1,-10,3,-8,1,-6,22,0,0,-41
2020-02-27,0,-10,5,7,-5,11,-2,-9,11,15,-4,-10,-7,12,-4,2,8,-9,0,5,-4,0,0,-11,-2,1,-10,-2,3,-11,3,-2,3,-5,20,0,0,-52
2020-02-28,1,-4,-3,8,-8,4,-4,-11,10,13,-8,2,-2,11,-5,5,11,-15,0,11,-4,2,0,0,-10,2,-4,-5,4,-8,1,-5,6,-2,21,0,0,-30
2020-02-29,1,-12,13,-7,-10,3,-4,-12,16,13,-10,-17,-7,11,-29,7,5,-12,0,10,-6,6,0,14,-7,6,1,-4,-2,-8,-1,-7,0,-2,17,0,17,-20
2020-03-01,1,-1,3,-6,-7,2,0,-20,2,11,-6,-2,-7,0,1,7,-7,-15,0,1,0,-1,0,-4,-5,4,5,-1,2,-6,-1,-5,3,3,11,0,0,-29
2020-03-02,-2,-4,2,-3,-8,1,-3,-15,5,14,-5,1,-6,9,-5,3,3,-8,0,2,-3,-8,0,-10,-1,0,-12,-7,4,-20,3,-8,-1,1,19,0,0,-33
2020-03-03,-2,-4,0,-2,-7,-9,-13,-7,5,16,0,-2,-8,10,-9,5,8,-15,0,8,0,-8,0,-15,-5,0,-12,-10,2,-13,6,-6,4,0,25,0,0,-31
2020-03-04,0,-7,0,0,-5,0,-4,-7,7,28,-5,-9,-12,9,-5,6,7,-12,0,10,-4,-4,0,-5,-5,2,-10,-2,1,-10,8,-2,2,-5,28,0,0,-31
2020-03-05,1,-6,5,5,-3,5,-2,-13,10,23,-4,-3,-9,15,-1,8,10,-11,0,7,-7,-1,0,9,-2,2,-4,-2,5,-4,9,0,4,-1,27,0,0,-52
2020-03-06,0,-2,3,12,-6,1,25,-5,18,24,-3,8,-7,11,-5,7,12,-15,0,10,-5,-6,0,-5,-9,-3,-7,2,1,-12,10,-8,10,-3,31,0,0,-28
2020-03-07,3,5,6,-4,-3,-1,12,0,15,23,0,2,1,11,-3,8,12,-14,0,13,-4,1,0,-3,-4,4,5,3,7,-6,8,-4,3,-3,5,0,6,-23
2020-03-08,0,-2,5,-3,-9,-1,0,-10,6,14,-2,-2,-7,0,-5,6,-1,-14,0,3,-7,-2,0,6,-4,1,-1,2,4,-2,11,-3,-2,3,4,0,8,-31
2020-03-09,-1,-3,11,1,-8,1,-3,-9,14,22,-4,-7,-6,26,-4,3,10,-12,0,5,-6,-3,0,-4,1,-1,-4,-4,8,-9,16,-6,-4,-5,22,0,0,-20
2020-03-10,-2,0,-3,-1,-5,-9,0,-4,6,22,-3,-6,-7,16,-10,3,6,-16,0,5,-4,-13,0,-25,-6,-2,-13,-3,6,-14,10,-6,2,-1,11,0,0,-29
2020-03-11,-2,0,5,3,-5,0,0,-3,6,13,-3,-7,-8,14,-6,2,2,-15,0,5,-6,-6,0,-14,-8,-2,-12,-4,0,-14,4,-9,-1,-3,7,0,0,-33
2020-03-12,-1,-6,-10,3,-5,2,0,-9,12,15,-3,-14,-9,11,-11,2,3,-8,0,5,-7,-8,0,-4,-2,1,-9,-5,4,-15,11,-6,-5,-2,-4,0,0,-52
2020-03-13,0,-4,0,3,-8,-2,10,-6,9,19,-1,-4,-8,12,-11,4,4,-13,0,10,-8,-5,0,-21,-7,0,-10,0,3,-11,8,-11,1,-2,1,0,0,-22
2020-03-14,0,-2,1,-1,-7,1,2,-4,11,20,0,-17,-6,10,-9,4,-6,-12,0,11,-8,-5,0,-10,-9,0,0,-5,6,-8,7,-7,-4,-3,-3,0,2,-20
2020-03-15,-3,-10,5,-4,-8,-5,0,-4,4,15,-2,-15,-10,0,-8,3,-9,-15,0,1,-7,-6,0,-7,-10,-1,-4,-3,-1,-11,11,-9,-9,-4,7,0,6,-24
2020-03-16,-3,-7,-3,-10,-7,-1,-13,-2,11,20,-4,-14,-5,15,-10,3,4,-10,0,7,-6,-11,0,2,-2,-1,-7,-7,2,-17,11,-10,-1,-7,-3,0,0,-28
2020-03-17,-4,-6,-6,-2,-10,-1,-4,-3,9,17,-4,-7,-8,10,-15,4,-4,-15,0,5,-5,-9,0,-20,-6,-2,-6,-9,1,-11,12,-9,-4,-6,-8,0,0,-40
2020-03-18,0,-3,0,1,-5,2,8,-3,10,13,-2,-13,-6,1,-11,6,-7,-6,0,10,-6,-12,0,-19,-6,2,-4,-6,2,-14,14,-6,4,-6,-12,0,0,-39
2020-03-19,4,-5,-5,-2,-4,7,4,-4,5,12,1,-1,-5,0,-11,11,-13,-4,0,6,-5,-4,0,-6,-3,10,-5,-4,4,-10,12,-3,4,0,-13,0,0,-71
