date,MZ
2020-02-15,-3
2020-02-16,-7
2020-02-17,-3
2020-02-18,-5
2020-02-19,-6
2020-02-20,-1
2020-02-21,-2
2020-02-22,-5
2020-02-23,-17
2020-02-24,-2
2020-02-25,-3
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,2
2020-03-01,-3
2020-03-02,5
2020-03-03,2
2020-03-04,3
2020-03-05,6
2020-03-06,4
2020-03-07,3
2020-03-08,-3
2020-03-09,1
2020-03-10,3
2020-03-11,1
2020-03-12,-2
2020-03-13,-3
2020-03-14,-2
2020-03-15,-11
2020-03-16,-7
2020-03-17,-6
2020-03-18,-3
2020-03-19,-5
2020-03-20,-3
2020-03-21,-8
2020-03-22,-15
2020-03-23,-14
2020-03-24,-15
2020-03-25,-15
2020-03-26,-17
2020-03-27,-20
2020-03-28,-19
2020-03-29,-29
2020-03-30,-21
2020-03-31,-21
2020-04-01,-26
2020-04-02,-29
2020-04-03,-31
2020-04-04,-31
2020-04-05,-34
2020-04-06,-27
2020-04-07,-45
2020-04-08,-31
2020-04-09,-29
2020-04-10,-42
2020-04-11,-29
