date,EG,Al Qalyubia Governorate,Alexandria Governorate,Ash Sharqia Governorate,Assiut Governorate,Aswan Governorate,Beni Suef Governorate,Cairo Governorate,Dakahlia Governorate,Damietta Governorate,El Beheira Governorate,Faiyum Governorate,Gharbia Governorate,Giza Governorate,Ismailia Governorate,Kafr El Sheikh Governorate,Luxor Governorate,Matrouh Governorate,Menia Governorate,Menofia Governorate,New Valley Governorate,North Sinai Governorate,Port Said Governorate,Qena Governorate,Red Sea Governorate,Sohag Governorate,South Sinai Governorate,Suez Governorate
2020-02-15,8,6,13,6,1,16,11,6,7,4,11,6,8,9,8,6,-2,2,0,9,0,0,7,2,2,0,0,6
2020-02-16,5,6,5,3,-2,12,9,5,-1,3,1,-1,3,6,2,3,-3,5,-5,7,0,0,3,7,2,-1,-3,6
2020-02-17,3,2,6,1,3,8,8,3,0,4,3,3,1,4,4,3,-1,3,0,5,0,0,2,-1,-1,4,3,2
2020-02-18,4,2,4,4,0,12,8,3,0,5,6,0,3,8,1,2,1,11,0,7,0,0,4,1,-1,-2,5,0
2020-02-19,0,-4,4,-5,-2,9,6,2,-7,0,-1,-5,-6,0,-8,-6,-6,5,-4,-14,0,0,-8,0,3,-4,5,-1
2020-02-20,-2,-5,2,-5,-6,3,3,-1,-6,0,2,-3,-5,1,0,-5,-8,3,-4,-3,0,0,-3,-2,-4,-6,-2,-1
2020-02-21,6,5,7,7,-4,16,7,1,10,3,11,1,4,5,-2,6,-7,2,-1,6,0,0,4,6,-1,-1,3,19
2020-02-22,4,4,7,1,-2,13,10,1,3,-1,10,-2,0,5,3,-3,-6,1,-1,5,0,0,2,4,1,-3,-2,24
2020-02-23,0,2,-2,-1,-2,13,8,0,-3,-4,-1,-5,-4,2,1,-8,-6,-9,-9,0,0,0,3,5,-2,-4,-4,21
2020-02-24,-11,-18,2,-12,0,6,-18,-19,-10,-3,2,-9,-13,-11,4,-4,-6,-1,-7,-11,0,0,-1,2,-5,-1,-5,-1
2020-02-25,-3,-12,4,-1,-1,15,-5,-7,-2,-2,6,-4,-1,-2,5,-5,0,10,-2,-3,0,0,0,-3,-1,-2,8,6
2020-02-26,4,1,6,3,1,12,7,3,5,3,5,-1,2,7,5,0,-3,4,-3,1,0,0,1,3,1,-1,5,27
2020-02-27,5,3,6,3,-1,10,9,7,5,5,8,-1,2,7,9,2,-2,3,6,0,0,0,2,6,3,-1,8,17
2020-02-28,12,8,17,11,2,18,7,7,20,16,18,6,12,10,11,21,-2,14,5,10,0,0,12,9,4,0,3,16
2020-02-29,7,7,10,5,3,19,7,6,9,3,11,2,7,8,14,-1,-1,0,4,6,0,0,4,8,3,-5,-5,16
2020-03-01,8,7,9,3,5,19,12,9,6,4,4,1,6,8,13,3,-1,8,0,10,0,0,4,7,5,-2,3,17
2020-03-02,7,6,12,3,8,13,10,8,6,7,9,0,5,9,10,9,-1,5,6,7,0,0,7,4,1,0,3,20
2020-03-03,9,5,15,7,8,13,5,8,10,9,9,-2,12,12,14,8,1,11,10,11,0,0,8,3,3,0,2,12
2020-03-04,8,4,10,5,6,6,1,7,13,11,6,-5,9,9,11,6,-1,5,5,7,0,0,6,6,3,-5,4,19
2020-03-05,6,3,10,4,4,1,1,6,9,9,5,1,8,8,14,4,-3,5,12,9,0,0,4,7,2,-2,5,11
2020-03-06,11,9,18,10,4,11,7,6,12,11,14,7,8,10,10,17,-2,14,8,12,0,0,11,10,2,6,4,9
2020-03-07,9,8,16,7,4,9,7,7,11,7,12,4,12,10,15,9,3,6,12,12,0,0,9,8,2,4,-3,18
2020-03-08,6,4,7,3,5,7,1,6,6,4,5,-8,5,7,12,7,-8,5,3,8,0,0,7,11,1,-3,-7,13
2020-03-09,3,2,7,0,8,3,6,2,8,4,4,0,2,5,12,6,-7,3,9,7,0,0,5,6,-1,1,1,9
2020-03-10,8,4,13,7,6,6,4,8,8,8,11,-1,10,11,11,8,-2,15,9,12,0,0,10,6,0,0,0,14
2020-03-11,13,8,14,9,5,3,10,17,14,12,9,0,12,14,13,8,-5,4,10,11,0,0,10,11,2,-2,5,17
2020-03-12,-51,-56,-36,-59,-41,-42,-55,-61,-53,-44,-32,-54,-59,-53,-44,-41,-40,-33,-47,-56,0,0,-47,-32,-18,-31,-9,-43
2020-03-13,-31,-44,-8,-47,-23,-4,-47,-41,-27,-8,-12,-47,-37,-38,-37,-8,-14,-13,-32,-39,0,0,-46,-4,-9,-14,-5,-34
2020-03-14,-5,-16,12,-17,4,1,-22,-6,-3,3,6,-21,-7,-10,3,0,-3,-1,-4,-17,0,0,-8,9,-3,2,-17,2
2020-03-15,6,-1,7,-3,5,-1,-5,12,1,7,1,-7,2,5,10,3,-4,6,1,-3,0,0,6,16,-1,-3,-30,12
2020-03-16,4,2,6,-1,3,-9,0,9,0,3,4,0,0,5,8,3,-5,8,6,2,0,0,9,9,0,-2,-16,10
2020-03-17,0,-2,-3,-1,-4,-10,-5,3,-9,-8,2,-4,-2,4,1,-5,-4,7,2,1,0,0,-4,3,-1,-7,-24,8
