date,JM
2020-02-15,4
2020-02-16,3
2020-02-17,3
2020-02-18,2
2020-02-19,2
2020-02-20,1
2020-02-21,2
2020-02-22,3
2020-02-23,3
2020-02-24,2
2020-02-25,-1
2020-02-26,-64
2020-02-27,-9
2020-02-28,-8
2020-02-29,0
2020-03-01,3
2020-03-02,2
2020-03-03,3
2020-03-04,3
2020-03-05,2
2020-03-06,2
2020-03-07,3
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,-3
2020-03-13,-15
2020-03-14,-8
2020-03-15,-10
2020-03-16,-22
2020-03-17,-25
2020-03-18,-33
2020-03-19,-35
2020-03-20,-33
2020-03-21,-21
2020-03-22,-25
2020-03-23,-34
2020-03-24,-37
2020-03-25,-36
2020-03-26,-38
2020-03-27,-35
2020-03-28,-26
2020-03-29,-29
2020-03-30,-37
2020-03-31,-39
2020-04-01,-41
2020-04-02,-43
2020-04-03,-39
2020-04-04,-30
2020-04-05,-33
2020-04-06,-39
2020-04-07,-42
2020-04-08,-40
2020-04-09,-40
2020-04-10,-80
2020-04-11,-42
