date,CA,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
2020-02-15,4,7,1,5,-3,-1,1,-1,-7,2,-5,4,2,12
2020-02-16,13,10,12,10,29,15,8,57,NA,16,29,10,5,13
2020-02-17,-12,-7,5,-19,-35,5,6,-35,0,-26,-35,3,-11,10
2020-02-18,-1,-1,6,3,2,-2,11,6,0,-1,3,-10,-2,5
2020-02-19,1,3,6,0,-4,-22,6,-1,-4,0,-4,-3,-1,7
2020-02-20,6,7,6,9,4,2,19,9,0,4,7,1,13,18
2020-02-21,2,2,6,5,1,0,14,0,-8,1,-4,-1,2,12
2020-02-22,8,8,5,8,3,2,12,0,-2,8,-1,6,2,27
2020-02-23,10,4,3,5,28,24,12,53,NA,12,28,12,6,16
2020-02-24,3,-1,1,5,3,4,9,1,0,2,-3,2,1,1
2020-02-25,2,2,2,1,3,0,13,-1,0,1,-1,2,1,3
2020-02-26,-2,5,2,8,8,4,13,7,9,-8,7,0,6,11
2020-02-27,-8,7,2,11,-24,6,13,-6,0,-13,-10,-23,10,11
2020-02-28,-1,8,5,6,-3,-16,17,1,5,-5,1,-1,8,17
2020-02-29,7,5,7,11,0,7,13,2,14,5,5,6,11,0
2020-03-01,10,8,7,5,14,16,15,38,NA,11,-12,14,1,22
2020-03-02,3,4,-1,1,6,-17,9,5,0,2,1,6,4,10
2020-03-03,4,5,3,7,7,-1,12,3,0,1,0,11,4,9
2020-03-04,5,4,5,2,1,-1,14,2,1,4,2,7,4,13
2020-03-05,7,6,1,4,8,2,15,8,0,6,5,11,7,6
2020-03-06,1,4,7,7,3,8,12,7,-2,-3,6,1,7,10
2020-03-07,6,-2,3,10,0,-4,8,-13,-3,10,-7,6,3,4
2020-03-08,9,-1,7,4,25,-16,12,54,-47,13,26,10,0,8
2020-03-09,4,2,1,4,2,8,12,2,0,4,-6,2,7,10
2020-03-10,-1,2,0,4,-12,2,16,-1,0,1,-9,-7,6,6
2020-03-11,3,3,3,7,4,-1,6,2,1,3,-1,3,8,13
2020-03-12,7,4,2,12,11,8,9,13,0,6,8,8,10,13
2020-03-13,-5,-8,0,4,-8,8,8,1,0,-3,-5,-13,1,16
2020-03-14,-11,-19,-7,-7,-14,-8,0,-6,-6,-10,-17,-16,-7,5
2020-03-15,-12,-18,-6,-18,2,13,5,38,NA,-10,-3,-17,-14,10
2020-03-16,-12,-11,-6,-11,-6,8,0,-5,0,-12,-18,-21,-5,11
2020-03-17,-27,-21,-16,-19,-27,-11,-5,-22,0,-29,-31,-36,-17,-3
2020-03-18,-33,-31,-27,-25,-32,-23,-15,-30,-14,-36,-31,-36,-24,-13
2020-03-19,-36,-35,-34,-29,-31,-19,-23,-30,-9,-38,-43,-40,-29,-17
2020-03-20,-44,-38,-38,-31,-48,-33,-25,-43,-17,-45,-57,-51,-37,-19
2020-03-21,-49,-46,-48,-45,-55,-46,-42,-49,-36,-48,-60,-54,-51,-29
2020-03-22,-51,-49,-53,-51,-47,-38,-44,-34,NA,-51,-52,-53,-53,-39
2020-03-23,-45,-43,-48,-41,-47,-39,-50,-50,-30,-47,-57,-44,-47,-34
2020-03-24,-49,-48,-50,-45,-54,-51,-50,-65,-28,-48,-64,-51,-54,-40
2020-03-25,-53,-47,-49,-45,-48,-66,-52,-51,-32,-54,-53,-60,-52,-40
2020-03-26,-54,-47,-54,-43,-49,-51,-51,-58,-18,-55,-57,-61,-50,-39
2020-03-27,-55,-48,-53,-40,-52,-61,-52,-55,-35,-54,-61,-63,-50,-40
2020-03-28,-59,-55,-60,-46,-54,-55,-58,-56,-44,-60,-58,-65,-54,-45
2020-03-29,-59,-55,-54,-49,-42,-54,-59,-33,-47,-59,-43,-70,-53,-43
2020-03-30,-54,-50,-51,-38,-49,-58,-52,-52,-28,-55,-56,-60,-45,-39
2020-03-31,-51,-51,-48,-36,-50,-54,-47,-53,-18,-51,-57,-55,-49,-40
2020-04-01,-52,-47,-50,-46,-52,-51,-51,-55,-32,-51,-57,-57,-51,-37
2020-04-02,-53,-49,-51,-59,-51,-52,-52,-56,-18,-51,-55,-61,-50,-35
2020-04-03,-55,-51,-50,-55,-50,-51,-49,-53,-25,-55,-56,-64,-47,-41
2020-04-04,-57,-53,-54,-54,-54,-55,-53,-59,-36,-57,-60,-62,-57,-42
2020-04-05,-63,-57,-53,-54,-43,-43,-53,-38,NA,-60,-41,-84,-55,-41
2020-04-06,-51,-47,-47,-43,-44,-47,0,-51,0,-55,-53,-51,-50,0
2020-04-07,-52,-48,-46,-44,-46,-49,0,-53,0,-55,-50,-57,-45,0
2020-04-08,-51,-45,-46,-43,-42,-43,0,-49,0,-52,-47,-58,-47,0
2020-04-09,-44,-36,-39,-27,-30,-32,0,-36,0,-44,-32,-60,-30,0
2020-04-10,-70,-57,-52,-75,-85,-81,0,-84,0,-82,-83,-65,-57,0
2020-04-11,-54,-52,-51,-42,-48,-45,0,-55,0,-54,-50,-64,-50,0
