date,BE,Brussels,Flanders,Wallonia
2020-02-15,3,11,2,3
2020-02-16,-7,-1,-11,0
2020-02-17,1,2,0,1
2020-02-18,3,6,3,2
2020-02-19,3,0,4,1
2020-02-20,-2,-4,-2,-1
2020-02-21,0,1,0,0
2020-02-22,-4,-6,-3,-5
2020-02-23,-7,-9,-10,4
2020-02-24,7,3,8,6
2020-02-25,10,3,11,9
2020-02-26,-1,-4,1,-6
2020-02-27,-2,-8,0,-2
2020-02-28,-1,-3,-1,2
2020-02-29,-4,-7,-4,-3
2020-03-01,0,-5,-2,9
2020-03-02,-4,-8,-5,0
2020-03-03,2,2,1,2
2020-03-04,1,-3,1,2
2020-03-05,-4,-6,-6,1
2020-03-06,-1,-2,-1,2
2020-03-07,5,2,5,5
2020-03-08,-1,-5,-3,9
2020-03-09,-1,-5,-2,1
2020-03-10,-4,-10,-4,-3
2020-03-11,-4,-12,-2,-4
2020-03-12,-7,-13,-7,-2
2020-03-13,-8,-19,-9,0
2020-03-14,-70,-73,-70,-68
2020-03-15,-66,-70,-67,-58
2020-03-16,-32,-50,-31,-23
2020-03-17,-36,-55,-34,-31
2020-03-18,-61,-73,-60,-58
2020-03-19,-75,-83,-73,-75
2020-03-20,-79,-85,-78,-79
2020-03-21,-84,-88,-82,-86
2020-03-22,-79,-86,-77,-80
2020-03-23,-74,-83,-71,-76
2020-03-24,-74,-84,-70,-76
2020-03-25,-76,-85,-74,-78
2020-03-26,-77,-85,-75,-78
2020-03-27,-78,-85,-76,-79
2020-03-28,-83,-88,-81,-84
2020-03-29,-84,-89,-82,-84
2020-03-30,-76,-85,-73,-77
2020-03-31,-75,-84,-72,-76
2020-04-01,-76,-85,-73,-78
2020-04-02,-77,-86,-75,-77
2020-04-03,-79,-85,-77,-80
2020-04-04,-82,-87,-80,-84
2020-04-05,-76,-84,-75,-78
2020-04-06,-74,-83,-71,-76
2020-04-07,-72,-82,-68,-74
2020-04-08,-73,-83,-70,-76
2020-04-09,-73,-83,-70,-74
2020-04-10,-75,-83,-72,-77
2020-04-11,-79,-86,-76,-81
