date,total,Abruzzo,Aosta,Apulia,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardy,Marche,Sardinia,Sicily,Trentino-South Tyrol,Tuscany,Umbria,Veneto
2020-02-29,-16.079166474880783,-7.3270320663067805,2.6132177225392077,-10.47990148934577,8.050860518432591,-13.64673356832124,-5.001304876351163,-23.131008954146825,-16.430121794695395,-6.070528349114978,-21.389709337425874,-33.5452082962272,-9.807428063621174,3.8913784114184065,-13.191228761667936,-8.929526412859289,-6.766875627144023,0.18574401847353314,-26.225940828190822
2020-03-01,-25.715134909177337,-11.120738373959481,-1.7703996218308382,-10.873702205195073,-1.27616941250386,-13.373990969207712,-13.908417968482771,-37.620527926336905,-40.26975557122511,-22.271076977976428,-31.25982452091861,-40.30146699066674,-16.72319335373005,0.06214732106687872,-11.250603499351673,-26.708541366842734,-30.039635470342382,-10.784642392195243,-41.822063089344304
2020-03-02,-24.54917712306117,-6.880938919860613,-10.213992159898915,-9.128492691297057,-7.930413068263687,-12.409788259665522,-9.48730644546523,-30.787587947269135,-28.600831602947117,-12.624626524048503,-30.357676115301146,-43.80531649256997,-13.11438283120173,-7.818132990213343,-13.578581041503089,-14.232276493238688,-14.217341835494294,-9.336030536780523,-36.03318521055222
2020-03-03,-20.716571378313954,-9.866699700473475,-0.6193509014348362,-10.184070707683365,-8.260209658011876,-15.856524837899505,-11.1792189708937,-31.16868898290975,-23.939606434302256,-13.531319947458279,-11.959200368534866,-35.296653199260184,-13.396050780882284,-8.62509205145097,-11.642785608112451,-9.127210312927987,-14.084075228498966,-7.50539876708261,-33.01097243824931
2020-03-04,-18.809077252950836,-10.894819956445971,-2.447543764457105,-11.004328784110943,-3.3189964046542335,-16.67283191271112,-9.199118299565963,-30.413206577244342,-22.76781153214138,-11.005051393132417,-10.919436104433386,-33.89933606018291,-22.316176736806696,-2.540391262687643,-12.880187778857662,-2.326884150564737,-10.616267188915524,-3.6976463883751807,-26.8961507441929
2020-03-05,-27.673079131055093,-15.529976641193478,-18.242436582075214,-20.853188638546968,-15.987009179561465,-18.66462117525146,-17.125246577179542,-32.474224016842335,-23.631036980985076,-22.132914170599705,-25.77812615797183,-41.654638121229205,-20.071485055905363,-14.560639269653786,-18.799626110104082,-21.130962449782462,-25.916999426602043,-14.16920479066916,-32.092929502948614
2020-03-06,-28.550750651373303,-21.882496211615717,-8.918460336524337,-29.240183396586314,-23.811313779819212,-27.78805318785187,-26.526669138105255,-33.689523541076646,-27.982731420757254,-25.734741801795785,-15.118631119563815,-40.003001585273175,-24.851188283931677,-19.53529329289948,-24.513313729118863,-20.645913660833408,-25.81345414922438,-18.560997639834603,-32.85475084631789
2020-03-07,-23.910142567209046,-30.796700889097913,-6.793595502052721,-34.19438849988074,-36.44108926895854,-33.93916708687352,-27.899857025353743,-31.413476801772106,-15.718777883621527,-23.223824670511778,-10.036401012494261,-30.682435613625906,-26.714234312876773,-23.253615317962424,-27.362912795237815,-9.19374782075599,-22.57766423117237,-16.776323153057977,-27.45835560898314
2020-03-08,-27.01642708118198,-31.75589688210019,-23.018084745860463,-35.93095360782109,-25.53199163937498,-39.98848269185983,-29.00394207437841,-33.46201486236927,-7.337416315171423,-29.836450145792394,-17.54219929397683,-41.58554002094516,-21.699968014126718,-15.920231432070732,-33.70930800350951,-8.193756579920667,-20.72247801148922,-5.782000657534364,-26.16422365606977
2020-03-09,-42.44054309655519,-37.89207084931033,-32.444162384182874,-39.44922683259183,-29.079455826492453,-39.95006824128045,-36.86995163281433,-45.31934481761586,-30.855022780606884,-39.14708822067966,-37.566262369085585,-56.52320572818257,-35.3988358740171,-34.44586978579138,-36.81392203690148,-33.96305834351016,-37.51598799803707,-24.865762390598604,-45.32644126884296
2020-03-10,-50.81285673243739,-50.38363623123314,-50.78677391765657,-50.28162798710027,-41.29913642577099,-46.52086001288172,-50.018774355814266,-50.05478917231399,-40.7273227356456,-52.464447709492035,-42.14390099504707,-61.358153356390865,-45.05918135640577,-41.219927782081164,-46.8792855179047,-41.12403708453534,-44.92714535108656,-36.02763748010607,-50.363141112409686
2020-03-11,-56.76676891634788,-59.352405950233425,-50.77906815216438,-58.43714476338429,-45.520532774547796,-57.95300050530226,-58.55276968289087,-54.35153535752154,-48.480971366350786,-60.45774179459981,-49.99087192568794,-65.09328955507817,-48.161374099133226,-50.0171201072558,-55.54110071312118,-47.200165154451796,-51.57130064948668,-40.197303461818635,-55.104755726772616
2020-03-12,-67.22034923225472,-66.51191376626537,-57.769160674267965,-66.68678951565181,-60.75044369590473,-66.35039940195257,-67.92365575153586,-63.157177170950696,-60.35176320128488,-70.25578755106609,-63.96461555591943,-74.01942053760405,-59.385793827700255,-60.05247829060901,-66.6352177552826,-61.82684513612022,-63.711025669449505,-55.38714291069803,-65.7866481577871
2020-03-13,-70.93844126586554,-71.30885101270687,-65.77545102065422,-72.12988380032986,-64.50821295474567,-70.15246964804574,-72.63009262430135,-68.17772733820617,-66.71829120539603,-74.80556555509693,-67.98223409110565,-76.19025252152765,-64.19529810159722,-63.58244612720773,-72.99030665562042,-68.82003364001392,-66.23254492410929,-58.52564235686423,-71.48873626328394
