date,US,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-02-15,15,39,14,13,8,19,-16,16,19,13,9,42,19,7,10,16,24,9,37,26,-6,4,0,15,13,17,11,-8,37,8,6,5,21,-2,23,-1,15,7,-5,13,15,39,4,54,12,25,24,3,8,17,22,1
2020-02-16,16,-7,29,30,32,31,-7,-4,21,37,8,-19,15,14,29,34,16,23,25,-3,47,20,3,45,11,-12,45,-1,44,36,21,20,33,13,-5,10,25,17,33,29,12,-9,28,29,20,-3,47,9,19,28,34,0
2020-02-17,28,17,9,35,7,44,4,33,35,21,24,24,14,44,-14,-4,-8,55,24,14,32,40,32,1,5,-1,8,10,13,31,55,63,35,23,46,4,9,28,74,43,91,37,-7,46,21,41,41,41,63,14,-1,2
2020-02-18,6,-11,1,14,-3,16,-18,-14,32,13,13,-23,1,20,5,3,5,18,-7,13,-8,21,-18,-4,-9,-2,11,-2,24,6,-6,5,15,-4,14,-5,6,8,42,12,-11,-11,-2,-11,-4,20,-3,22,52,5,17,3
2020-02-19,8,6,1,14,24,13,-21,12,7,7,15,2,1,12,3,9,-2,8,14,16,5,7,3,4,-13,-2,-2,3,-6,11,10,16,5,11,-9,-5,14,21,51,18,16,-13,-4,13,-12,14,9,6,60,11,0,-2
2020-02-20,4,-25,5,21,3,12,-5,2,-3,10,10,-36,6,16,0,1,0,-3,-4,-24,5,-6,-1,2,-14,-20,1,4,4,8,16,2,8,0,-31,7,2,-4,33,10,7,-29,7,-18,-13,17,2,-7,53,0,-2,4
2020-02-21,4,12,1,10,19,8,4,-3,-11,7,-12,23,7,22,5,12,13,22,12,13,-2,-4,-9,4,6,2,23,3,21,13,9,-2,0,-8,-13,12,19,2,37,6,1,-7,22,7,-2,25,6,-7,55,3,9,14
2020-02-22,23,46,13,-42,18,-3,4,74,60,25,8,48,20,40,57,69,51,56,68,27,23,52,49,56,26,20,63,5,73,-12,39,59,-9,29,30,30,68,10,72,53,89,27,34,61,13,22,53,32,44,42,50,16
2020-02-23,23,24,16,6,-32,16,-37,64,60,25,20,20,16,44,104,83,83,19,43,42,55,75,66,90,44,12,54,-6,43,27,40,104,-25,54,24,17,77,-38,-11,100,106,17,46,7,-11,42,47,43,-11,50,65,7
2020-02-24,9,-13,7,15,-9,12,-7,45,19,11,12,-21,6,18,-2,-8,8,-8,-20,37,22,10,51,14,5,-9,-15,-9,24,14,58,46,9,25,-3,6,0,-13,28,36,87,-8,-4,-19,1,7,20,4,15,4,9,-1
2020-02-25,9,27,1,9,15,20,-25,4,-10,9,6,9,5,30,-3,-4,7,1,4,46,11,-6,12,2,3,24,2,10,10,6,14,-9,-3,-1,17,-2,2,8,44,1,18,-1,-14,27,12,22,4,11,36,10,8,-5
2020-02-26,5,7,7,10,8,16,2,3,0,-7,-9,5,9,24,-3,-7,6,12,-6,25,8,-2,3,-12,-1,9,-14,-1,15,12,-1,0,6,-1,11,10,-3,5,51,8,7,-7,3,0,0,26,-5,7,48,7,6,2
2020-02-27,12,14,13,17,28,14,14,4,-2,-5,2,6,3,47,4,0,13,19,-2,17,-16,-4,-1,-7,-5,18,10,8,14,12,-6,2,24,-4,6,9,-6,25,49,0,5,9,6,13,25,37,-21,4,57,-8,5,4
2020-02-28,10,20,13,10,48,10,24,1,-3,-5,4,30,-1,46,5,8,15,62,12,22,2,4,-2,-2,0,18,37,20,33,12,5,2,15,-9,20,13,7,33,24,2,2,11,13,12,18,48,-6,7,31,-3,7,20
2020-02-29,21,55,9,14,70,15,5,27,9,-9,8,40,0,14,26,27,48,116,36,32,1,-3,26,23,5,42,84,-4,86,4,8,9,26,-5,26,22,13,57,8,-3,31,39,25,60,33,36,16,-1,31,5,28,10
2020-03-01,18,53,6,21,21,-4,-14,-1,7,0,10,49,-7,53,118,88,110,90,101,31,19,31,-1,57,40,35,95,-1,56,3,-10,28,17,9,22,-1,68,68,23,39,-3,25,16,59,6,-17,16,24,27,40,90,-21
2020-03-02,10,-2,4,4,26,8,0,31,33,-1,8,-9,-7,22,20,7,19,35,-7,20,6,21,21,28,-1,10,19,-1,28,1,11,53,19,16,31,7,-7,10,14,31,34,20,12,-5,8,11,-1,20,-7,1,19,0
2020-03-03,20,33,-2,11,58,30,17,19,18,2,10,0,0,43,21,35,36,80,35,18,55,24,49,14,20,21,66,13,55,9,43,10,11,6,24,13,23,46,40,4,61,3,18,38,17,35,29,40,23,9,16,3
2020-03-04,17,-8,3,17,36,15,25,22,37,8,14,-19,7,34,28,42,52,65,49,-1,0,48,5,22,5,-6,28,1,58,14,-4,36,20,16,14,9,29,26,57,27,21,-11,31,36,-10,50,-4,39,56,26,26,7
2020-03-05,21,0,9,22,80,11,33,29,27,6,8,-30,-1,55,21,43,12,53,49,15,26,29,30,20,-15,21,50,19,23,13,25,39,32,21,-4,15,51,46,38,37,54,-25,15,33,34,65,14,19,21,22,7,18
2020-03-06,12,29,10,20,73,7,39,1,-18,-6,9,44,-8,41,17,10,47,87,12,30,6,3,1,0,6,24,67,30,51,14,3,-6,21,-11,19,21,9,46,-3,-7,8,21,36,25,21,61,9,5,13,0,15,32
2020-03-07,29,63,17,18,80,0,49,50,39,8,13,79,4,2,75,85,83,101,85,32,-1,34,24,61,21,41,114,7,84,0,15,45,37,17,49,47,68,61,16,26,35,53,68,88,21,47,28,27,18,28,52,39
2020-03-08,40,55,34,22,78,11,37,55,71,33,-1,57,3,66,165,161,140,47,136,62,58,100,47,155,93,45,119,-8,90,22,45,116,-4,61,41,4,187,4,24,127,68,38,83,81,11,20,49,62,34,89,133,3
2020-03-09,31,45,14,32,-5,12,46,95,83,31,6,53,-6,38,-5,24,-5,-8,39,27,50,84,102,31,-1,24,-8,12,-1,15,97,121,47,62,65,15,78,14,60,104,165,53,24,45,7,37,52,64,49,49,-1,19
2020-03-10,18,21,11,4,84,-10,32,24,28,13,11,18,1,65,20,15,36,50,14,20,21,37,33,48,6,39,46,19,29,-5,31,34,35,14,37,10,13,64,71,17,65,34,22,26,39,77,2,40,37,7,38,15
2020-03-11,26,27,16,-14,61,12,48,30,24,5,20,38,4,60,15,22,50,112,42,54,24,27,25,14,11,36,50,7,65,11,13,48,30,20,51,21,25,73,57,29,56,43,50,43,49,52,-4,40,46,22,15,16
2020-03-12,19,43,21,-15,69,-15,22,10,17,0,17,23,-12,54,19,32,31,65,13,35,18,33,14,28,-10,45,26,11,34,-3,12,19,28,6,44,5,50,74,43,39,33,43,14,30,48,65,6,44,39,38,11,4
2020-03-13,4,26,16,-16,15,-20,-22,6,34,-5,14,39,-8,33,19,37,39,22,39,22,-19,39,-16,8,-2,23,37,-16,16,-8,-23,39,-13,1,37,5,46,-14,-7,33,-10,41,12,29,4,12,-16,46,-15,22,13,-2
2020-03-14,3,55,37,-6,-21,-37,-17,95,84,-26,8,50,2,-11,-13,1,-16,-19,-4,9,18,66,61,16,-14,41,-16,-44,-25,-19,23,87,20,20,57,-14,9,-24,-12,40,98,64,-41,27,-3,15,21,37,3,23,2,-15
2020-03-15,5,16,58,15,-4,-25,16,56,38,-43,12,2,-7,28,25,37,18,-28,9,23,39,20,43,87,31,32,-8,-31,-20,-2,24,79,19,28,-3,-13,46,-21,16,63,81,15,1,-2,-17,68,10,-13,28,8,47,3
2020-03-16,-1,22,29,13,-20,-27,44,16,9,-35,0,-4,-34,65,-19,4,15,-6,-1,8,14,12,8,13,-13,24,-11,10,8,-14,22,9,36,-10,22,-16,16,-17,53,10,41,13,2,10,-2,62,15,10,45,4,7,16
2020-03-17,8,25,12,9,25,-12,14,-10,36,-22,1,12,-43,56,44,52,65,26,33,-3,-19,52,-19,45,33,34,28,28,29,-25,-12,9,13,-16,14,2,27,0,63,-4,-9,6,32,8,2,95,-12,52,62,7,58,24
2020-03-18,6,39,6,-38,50,-20,50,46,39,-32,0,24,-23,48,-34,-10,1,62,-5,11,43,39,53,10,7,32,2,10,17,-36,61,46,-7,7,28,-8,2,48,76,31,107,10,22,21,11,14,21,26,93,16,-5,16
2020-03-19,2,27,15,-8,17,-20,-52,-12,13,-18,-7,27,-31,93,-31,-4,-7,94,2,-2,-9,42,-36,9,-31,26,9,2,-15,-39,-24,0,-2,-16,42,-21,14,25,76,0,-16,32,-22,38,10,8,2,62,87,9,-16,-27
2020-03-20,-2,7,23,-6,30,-22,-43,12,75,-16,-15,46,-29,69,-28,19,-5,20,51,-16,-1,54,20,-2,-3,0,9,20,-15,-42,11,51,-2,-9,63,-15,47,-11,66,15,55,31,-8,-18,-33,22,-14,59,86,14,-6,-17
2020-03-21,-3,10,1,-14,23,-22,-26,100,56,-19,-33,33,-38,76,-22,10,22,35,17,-38,36,34,71,33,-5,-1,27,34,15,-41,37,51,-9,-1,45,-15,4,-9,81,20,146,39,0,11,-45,48,9,6,75,1,23,19
2020-03-22,-12,2,65,0,-26,-24,10,27,-5,-25,-33,-18,-43,140,-39,-5,-13,-33,17,-20,52,33,22,48,18,-6,-41,38,-4,-24,32,-3,10,-15,-7,25,62,-26,48,38,62,-22,35,1,-41,84,18,15,30,33,26,9
2020-03-23,-23,-11,23,-3,17,-28,18,-46,-46,-66,-33,-40,-59,46,-29,6,21,30,20,-21,-7,-45,-33,-1,35,4,2,31,29,-37,-18,-55,4,-64,-17,19,-2,-1,-5,-53,-22,-21,47,-16,-14,19,-28,-29,-4,-22,25,33
2020-03-24,-10,4,17,0,52,-31,36,17,24,-46,-33,-23,-62,40,-11,11,53,46,1,-19,-2,31,-2,3,22,9,-16,13,69,-36,-7,32,5,-16,-8,4,11,51,-17,10,65,-28,49,-29,-3,27,-12,29,-3,5,43,12
2020-03-25,-7,36,6,-7,108,-30,32,-21,-44,-68,-33,19,-65,10,29,61,48,117,69,-6,13,-43,-21,66,-11,26,47,8,77,-42,-5,-32,-6,-38,5,2,101,73,3,-29,-4,-2,-11,34,-6,1,-12,-28,7,-15,43,0
2020-03-26,3,32,31,-9,133,-28,4,55,51,-42,-34,3,-69,24,-28,38,54,81,84,-14,46,53,42,12,55,31,73,21,37,-43,60,52,-18,1,11,18,103,57,-1,52,139,-5,12,57,-2,-2,6,34,-15,26,15,12
2020-03-27,-7,30,2,-22,88,-29,-42,55,29,-45,-38,33,-69,11,-27,14,26,62,65,-20,18,41,46,22,55,21,50,8,17,-44,44,42,-28,-7,38,32,26,24,-28,27,136,6,17,40,-19,14,2,41,-19,3,33,-4
2020-03-28,-25,22,11,-24,-1,-48,-39,29,-45,-69,-48,14,-65,13,-35,29,8,50,100,-38,41,-28,57,-22,-44,14,32,-2,-18,-49,25,-47,-28,-52,38,38,29,13,-25,-53,99,12,-17,48,-35,-1,22,24,-26,60,-26,-9
2020-03-29,-19,19,18,-7,81,-38,-12,-52,-6,-41,-48,-2,-65,25,-29,24,41,72,68,-18,-24,29,-56,15,-16,27,73,28,109,-38,-63,-36,-12,-47,13,73,117,29,-22,7,-50,-4,126,35,-27,26,-55,46,-11,52,-12,29
2020-03-30,-15,10,15,-6,-19,-24,0,-6,12,-47,-42,2,-67,11,-5,25,145,42,32,-23,-29,28,-28,-10,98,4,41,19,83,-29,-26,-11,-9,-40,23,36,4,-29,-20,-15,5,-1,90,10,-39,27,-32,21,-26,10,52,27
2020-03-31,-16,-23,15,-17,36,-23,23,8,-18,-65,-46,-36,-68,-2,-30,0,100,84,-10,-25,21,-26,11,-3,79,-6,49,-6,99,-28,30,-21,7,-36,-18,4,7,31,4,-26,64,-30,58,-30,-13,58,36,-15,-1,-14,20,8
2020-04-01,-7,19,3,-20,75,-25,16,28,13,-62,-41,-5,-60,13,4,24,93,84,13,-5,-4,-14,-2,21,49,17,38,-22,98,-29,9,13,-3,-13,-14,-23,25,35,1,-1,12,-26,51,7,-6,39,11,-11,18,-14,74,-9
2020-04-02,-9,12,-3,-17,59,-30,-46,-3,9,-58,-42,-15,-63,29,15,80,62,38,42,-20,-42,0,-30,99,25,10,36,-11,-2,-36,-28,3,2,-26,7,-42,87,16,-3,7,-5,-20,-27,11,-22,8,-36,9,-1,-2,91,-35
2020-04-03,-21,17,2,-21,6,-31,-37,-35,-15,-57,-49,4,-65,20,13,89,-7,-15,68,-19,-40,-1,-54,68,-39,-6,9,-9,-23,-37,-39,-30,-8,-56,26,-27,108,-37,-10,-11,-49,-18,-15,1,-44,33,-37,13,-12,8,43,-13
2020-04-04,-24,4,21,-36,-32,-54,-21,88,7,-65,-57,-18,-63,24,-23,41,45,5,90,-47,13,1,29,2,12,-22,-24,7,13,-53,18,21,-18,-5,21,-27,138,-42,-20,14,22,-22,-4,6,-69,21,23,4,5,46,50,5
2020-04-05,-20,-1,29,-23,25,-61,10,23,37,-50,-70,-13,-67,30,24,54,134,25,57,-19,20,35,25,92,98,-8,5,23,56,-46,15,26,-7,-11,5,-2,37,-3,-1,52,4,-24,81,2,-47,16,-1,21,-11,28,124,22
