date,total,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,North Brabant,North Holland,Overijssel,South Holland,Utrecht,Zeeland
2020-02-29,-3.188789484996249,0.1445394504573058,2.7525433992183923,-0.9197963699446383,-2.9500381347597244,4.037646399877012,-8.752553441839833,-8.101074491976728,-1.4482102261712788,5.486202164517769,-5.652486208279622,-0.15013668225863272,1.8904266833445091
2020-03-01,3.3504406039077863,7.0710220631613545,6.955061532711786,6.5739517171304165,4.184286997814251,1.6863793604081825,-5.847906556817659,1.6825530562245932,4.820926636821001,6.507497636144272,2.967294053884312,8.452315118294544,0.37254492496430447
2020-03-02,-6.112985845007941,-1.0032178962661684,-3.5001715678545393,-5.565824171783996,-4.97366586409932,-3.4114149812268675,-6.069930080764186,-4.679209871627456,-7.3337984168553545,-3.2561643702756045,-7.660443836292245,-4.49649861042943,-3.5477739777369917
2020-03-03,2.2534648516921787,3.8502647033002053,9.134359106751688,1.8501540760786201,3.6216856786893183,0.5121954504391615,-0.8263136369488141,0.21067988525625267,1.1158657846750013,3.1315218765766275,2.0658977487830916,3.2279386685606033,5.598681551835354
2020-03-04,1.620532361227602,1.6365289094541005,4.127369941285121,3.791519691974297,4.508530639711296,-1.066912787329876,-0.5270645394556688,1.99905388841321,-0.6830451166798492,2.0503207103041046,1.7524511937953122,9.030056275340423,2.186552136521264
2020-03-05,-5.460751728404673,0.6599367014300672,-4.042587365460403,3.5668512675828095,-4.24122263731403,-0.21550865178855283,-9.237143915844863,-7.817281952476296,-5.402529409439486,-4.61370470862493,-3.7366628706724976,-9.353135211846341,-11.760001464706544
2020-03-06,0.6594722264052771,2.582691759487122,3.548343485936765,-1.2923235009869345,1.4841866703501656,-4.429041036533353,-5.4685359267698965,-1.6017443331126058,-0.20385080568521668,-2.465795689300695,0.9450888551904258,-0.2594133813709287,-1.057454440860218
2020-03-07,2.239792866510606,4.212564246880688,5.106223316715953,12.188742083974097,4.343513786245836,1.1036362347198534,1.2491236521165485,-1.169802467906864,2.99882891396641,3.855221316735805,-0.18711809494725015,3.105358719121593,11.537429753125304
2020-03-08,-1.383283206606191,2.983978917993589,-1.2062248287789383,8.69678029118845,-3.588875310164022,9.317125165441425,-7.753447584080461,-8.963996213779735,-1.7873174906049805,1.1874854632251388,2.3100061264553924,3.9976267231776443,-0.29803593997144356
2020-03-09,-2.5671162764459083,2.2299013902788296,0.31793465934269144,-0.897713576094193,-0.9582557631064463,-1.9965958502024668,-2.4934207058864333,-3.8999828987618645,-2.3824459090983146,-2.7701552669377323,-4.0415608832515195,0.9910921493402146,9.882948188924855
2020-03-10,-6.954215050885892,-1.600394046839774,-3.512696266555918,-6.887911438395444,-4.716972980930825,-8.199959239577895,-9.06628233437297,-10.416629212578556,-8.389764912656027,-4.4851973314004026,-8.003335370687967,-4.396724232979073,4.851681215112057
2020-03-11,-2.284829994167552,3.494621581780255,1.2900439662420116,1.8770374772878582,2.0689832387716223,0.20004614762435172,-6.023594736636215,-8.455093659895912,-3.4065305253368434,-0.0347839517299471,-0.7940646059690412,2.482956650264603,-0.06591179441676157
2020-03-12,-8.65677932320293,-4.204956907382935,-4.14182151670979,-6.495221756446219,-6.178964401984467,-7.895541188845186,-7.0111167583635945,-14.071299916179031,-9.330763418520487,-6.723931113575053,-6.91387113259408,-10.613143064219424,-1.7672002850870852
2020-03-13,-12.3377602747358,-4.442686266687715,-5.19293276926396,-13.421538053712004,-10.867952068584893,-15.189011121796794,-15.836069175403383,-17.885664048786527,-15.94963483913385,-12.624642036208026,-10.694226553355783,-14.828372953455466,-2.4673936953405087
2020-03-14,-18.888249645554072,-12.49315329018476,-10.68453143063772,-14.499754466496794,-14.733785489535974,-20.260712487654754,-19.75816299190225,-26.718827091813523,-20.56188008245719,-14.872071806315164,-19.462181550604846,-16.124489628143916,-2.4024371443210915
2020-03-15,-31.802646001183266,-21.73131619276848,-24.41545496079541,-26.03849431409039,-29.303519136445466,-35.49321190241336,-32.32952104562235,-39.02580322004749,-34.8990647097966,-30.59635043001403,-29.188523135680185,-26.014506013889797,-21.913283535079856
2020-03-16,-25.185405173302023,-16.2207496440837,-16.228155763540286,-22.309382517780396,-23.157365102986297,-27.49619802999061,-30.043644068642454,-27.082466345817465,-30.60757049721967,-22.92069174827237,-22.283200545494864,-20.1154647261582,-16.134060981146416
2020-03-17,-28.863973421567557,-21.85113178985809,-21.254413696239745,-28.968785045897317,-24.716822618776845,-35.435227511797606,-31.92794806317994,-28.85737222845576,-36.63614408715214,-27.202016473700024,-26.737940978503,-26.03446088937987,-17.990098902186524
2020-03-18,-34.76705408231723,-28.800436421055398,-28.79139199938482,-35.02235092533463,-30.422931709661455,-41.70044091782984,-35.76412842910819,-32.85355598806523,-41.69473564434548,-33.25055919118527,-32.664930381908285,-30.731458486876207,-27.360081386737455
2020-03-19,-40.76664287376036,-33.635851589314605,-34.58358342959167,-36.04103980687039,-37.630597665997854,-44.2266275356562,-43.589974988388605,-39.30286169928859,-45.854837868423886,-40.845055318890395,-38.805633345532506,-41.69713768475356,-33.93979790764548
2020-03-20,-45.12318074014742,-38.36761675691693,-35.91987243719262,-43.40133100937101,-43.98712406235452,-48.093219983216734,-53.00473772339069,-48.20144132769196,-50.464184759059755,-44.73795925000031,-41.04440161858159,-44.84525685135388,-45.018710830045485
