date,total,Abu Dhabi,Ajman,Ras al Khaimah,Sharjah,Umm Al Quawain
2020-02-29,4.708370630006052,4.482985077581764,3.9827985168287565,2.9747475466280684,4.535097916436029,4.224220245139066
2020-03-01,4.21127333852153,3.435738242055806,2.645529677602204,3.5312512072088924,4.450971366600221,4.299166088197985
2020-03-02,4.17834766978023,3.145583614231182,4.398579862358343,2.564338111277443,4.641464818527278,3.9127570012578445
2020-03-03,3.754329301599572,2.8342918943133744,3.4915963690868272,3.4168748071931447,4.016801011700482,5.033051356593114
2020-03-04,3.3712672530727286,2.730527987674105,2.476316339305279,2.0837650019675773,3.81857178507588,2.836262164593373
2020-03-05,3.303809785407623,2.4490203520694207,2.457944605433042,2.5451151869050483,3.571993966591618,4.254393246890061
2020-03-06,0.34290879396428176,1.2230690106647204,-0.9108512267183027,1.9828446490125058,-1.1352249368647969,-0.8448440490278133
2020-03-07,3.9751722016936646,4.371534955635882,3.9827985168287565,3.621598951759147,4.042909251304699,3.285937222946887
2020-03-08,-0.6263907711759714,-1.8667895425935208,-3.078715823642331,-4.104094353506252,-0.9930800767973988,-2.5082524358809617
2020-03-09,-1.1323217786642559,-2.8093116945668837,-1.594473113437878,-4.844176941843446,-1.517178812556104,-3.20125815351668
2020-03-10,-2.195579959480905,-3.964165544385418,-3.683049174702776,-5.788983674746641,-2.4174295929829577,-0.35915605310053356
2020-03-11,-2.117682645629534,-3.9122835910657834,-3.6666113075539317,-5.683257590698471,-1.9996977593155025,-2.1267099621264656
2020-03-12,-2.520821321437659,-4.562729561387869,-2.9394774195580045,-5.750537826001851,-2.605989101235628,-1.0638416423817971
2020-03-13,-1.6021148570462347,-0.9300320521001174,-2.4724486058584922,NA,-1.6467530387399907,0.8448440490278133
2020-03-14,1.8020780647677948,2.4163539370163174,2.1843024640728723,2.199102548201945,2.383585578681196,5.163476589968375
2020-03-15,-3.6298542124556286,-5.154568139997036,-3.366861965427951,-5.917777268041686,-2.593418467352117,0.3581827304634047
2020-03-16,-6.391595061268662,-7.3326494025083635,-4.350233194273507,-6.839516491698007,-4.69658221324729,-2.489759305775514
2020-03-17,-8.715665435349766,-9.036106869836367,-6.2173815157098575,-8.066900212875405,-6.706916662771917,-1.4385708576763918
2020-03-18,-10.663098281634037,-10.25052888828115,-7.61943489017009,-8.33506000787031,-8.16317624958485,-6.735392648931414
2020-03-19,-11.895803196704698,-11.049895280168853,-7.758673294254416,-9.522075587865677,-8.929984916479045,-6.026813769101636
2020-03-20,-12.500511210416885,-8.744991465098419,-10.540540575855857,-7.137471819470124,-10.844589154121547,-10.983945959998701
2020-03-21,-7.553630248309214,-4.561768784474543,-4.56102466712339,-3.751353691272811,-5.8047319386706775,-1.8775393670214884
2020-03-22,-17.058708668358953,-14.11573441059393,-13.179301719926185,-14.602694499489576,-13.792886285723561,-9.31469763732278
2020-03-23,-20.490205803275526,-17.179651987192354,-14.692552430981538,-16.718177326671604,-17.012902503576864,-12.09548041159981
2020-03-24,-27.737065186726763,-23.17682148017679,-22.286847053747515,-19.834213367436774,-24.17236198615519,-15.819412821254666
2020-03-25,-34.93734679488543,-29.685124291050958,-28.573847771499533,-23.396221253641496,-30.672346675767763,-20.206177946794245
2020-03-26,-40.480102054701526,-34.301657359585114,-33.638644720066914,-28.18849629967948,-36.284651218837,-24.460571193684306
2020-03-27,-52.108484576019556,-45.18918134140178,-50.100685202953436,-40.24607561226401,-48.65995679123536,-38.019928851525854
2020-03-28,-56.33822841163987,-45.70127543620484,-54.47219093118427,-41.651271383886055,-58.35771734644579,-46.46934266444112
2020-03-29,-45.088892613392424,-39.11226736461124,-38.336006991189535,-31.305493486663266,-40.662132725810544,-27.22772745104153
2020-03-30,-45.88954850936992,-40.220043145676776,-38.27799098948774,-32.77124147005836,-41.15335441910467,-28.103717824457465
2020-03-31,-45.93130789411498,-40.182572846057035,-37.926027245830134,-32.455985510351084,-40.83908857201689,-26.60577428591622
2020-04-01,-46.572153836933474,-40.605314687920725,-39.14629714829138,-32.67897143307086,-40.945455474108144,-29.069253880489253
2020-04-02,-46.869287920696436,-41.10395790593721,-38.842680072718615,-32.99614968521537,-41.022813221083595,-29.069253880489253
2020-04-03,-44.43439456402266,-38.3839984643097,-39.30003955280116,-32.315658162432605,-37.303839535238616,-27.03695621416428
2020-04-04,-36.9538432390173,-29.16918708859459,-29.934323011406807,-23.154012406549327,-31.30377928545491,-20.652933037236373
2020-04-05,-56.83532570312438,-41.56128771668066,-46.32094269208099,-33.21432987684206,-51.08995701810183,-32.959624461093135
2020-04-06,-56.049124978789415,-42.534554729880476,-45.67309733974419,-34.57627406862621,-50.527179408855396,-33.79570860638679
2020-04-07,-55.23321084607816,-43.59237011145302,-45.96124348152981,-34.06878886519499,-49.45480764140815,-32.71726712444806
2020-04-08,-55.21072502352312,-44.224561320421905,-46.43214002867611,-34.28889134925891,-49.58148095208046,-34.0322260072091
2020-04-09,-55.356882870130846,-45.03833936600951,-45.97574748195526,-35.63545720154516,-49.46060947243131,-34.0322260072091
2020-04-10,-49.36601728939656,-41.01556642991117,-43.20354953397079,-32.91060767175822,-41.505332167842994,-29.571488361247724
2020-04-11,-44.99975238826353,-32.99980464202762,-36.999705085324685,-25.99996635988235,-38.99990813767546,-22.999613915353947
