date,GW
2020-02-15,4
2020-02-16,-1
2020-02-17,-1
2020-02-18,1
2020-02-19,3
2020-02-20,4
2020-02-21,1
2020-02-22,-4
2020-02-23,0
2020-02-24,-17
2020-02-25,-43
2020-02-26,-17
2020-02-27,-4
2020-02-28,3
2020-02-29,8
2020-03-01,5
2020-03-02,-5
2020-03-03,-4
2020-03-04,4
2020-03-05,6
2020-03-06,6
2020-03-07,1
2020-03-08,1
2020-03-09,-35
2020-03-10,2
2020-03-11,6
2020-03-12,3
2020-03-13,1
2020-03-14,-3
2020-03-15,-7
2020-03-16,-3
2020-03-17,-3
2020-03-18,-3
2020-03-19,-15
2020-03-20,-16
2020-03-21,-13
2020-03-22,-17
2020-03-23,-14
2020-03-24,-17
2020-03-25,-21
2020-03-26,-38
2020-03-27,-36
2020-03-28,-28
2020-03-29,-27
2020-03-30,-37
2020-03-31,-46
2020-04-01,-38
2020-04-02,-39
2020-04-03,-40
2020-04-04,-24
2020-04-05,-25
2020-04-06,-41
2020-04-07,-41
2020-04-08,-39
2020-04-09,-38
2020-04-10,-47
2020-04-11,-21
