date,RW
2020-02-15,5
2020-02-16,-1
2020-02-17,0
2020-02-18,-2
2020-02-19,-8
2020-02-20,-5
2020-02-21,-2
2020-02-22,3
2020-02-23,-2
2020-02-24,-5
2020-02-25,-3
2020-02-26,-1
2020-02-27,-1
2020-02-28,-3
2020-02-29,-5
2020-03-01,-1
2020-03-02,-1
2020-03-03,0
2020-03-04,3
2020-03-05,-2
2020-03-06,4
2020-03-07,10
2020-03-08,4
2020-03-09,1
2020-03-10,-2
2020-03-11,-1
2020-03-12,-4
2020-03-13,-2
2020-03-14,10
2020-03-15,-1
2020-03-16,0
2020-03-17,-12
2020-03-18,-14
2020-03-19,-14
2020-03-20,-18
2020-03-21,-13
2020-03-22,-31
2020-03-23,-45
2020-03-24,-56
2020-03-25,-57
2020-03-26,-58
2020-03-27,-61
2020-03-28,-55
2020-03-29,-57
2020-03-30,-53
2020-03-31,-57
2020-04-01,-56
2020-04-02,-55
2020-04-03,-58
2020-04-04,-54
2020-04-05,-54
2020-04-06,-54
2020-04-07,-76
2020-04-08,-54
2020-04-09,-60
2020-04-10,-64
2020-04-11,-56
