date,PL,Greater Poland Voivodeship,Kuyavian-Pomeranian Voivodeship,Lesser Poland Voivodeship,Łódź Voivodeship,Lower Silesian Voivodeship,Lublin Voivodeship,Lubusz Voivodeship,Masovian Voivodeship,Opole Voivodeship,Podkarpackie Voivodeship,Podlaskie Voivodeship,Pomeranian Voivodeship,Silesian Voivodeship,Swietokrzyskie,Warmian-Masurian Voivodeship,West Pomeranian Voivodeship
2020-02-15,26,37,33,32,30,35,16,37,-12,26,8,17,21,45,14,27,48
2020-02-16,18,1,-10,46,18,20,19,-5,-5,12,15,8,10,45,37,-7,-15
2020-02-17,20,11,11,27,17,14,11,10,16,19,9,9,11,20,17,14,28
2020-02-18,13,4,2,21,7,21,3,8,2,11,5,9,2,10,-1,5,15
2020-02-19,13,4,-2,20,10,4,10,2,17,6,21,13,-5,11,26,9,7
2020-02-20,23,28,17,19,10,31,9,30,14,31,6,8,30,21,9,8,36
2020-02-21,-3,1,9,-6,-1,-1,-1,3,-12,-16,-11,8,19,-8,-13,5,17
2020-02-22,16,25,16,13,30,15,25,26,13,25,17,18,-4,17,16,12,5
2020-02-23,-30,-35,-36,-30,-26,-46,-19,-39,-41,-32,-31,-5,-4,-40,-28,-20,-42
2020-02-24,-4,2,-2,-16,-1,-9,-7,3,-5,7,-13,2,-6,-5,-9,1,0
2020-02-25,5,6,9,-7,9,-1,1,15,7,6,-5,-2,10,-12,-6,0,17
2020-02-26,3,7,1,-9,5,-6,8,3,12,10,-1,10,-10,0,11,8,-4
2020-02-27,4,11,7,-11,8,0,8,17,6,4,3,-5,1,3,0,-7,3
2020-02-28,-1,5,10,-14,4,-5,11,7,10,-6,-4,13,7,-7,-6,9,0
2020-02-29,8,12,7,-2,15,1,14,7,25,-1,-4,36,-10,3,8,17,1
2020-03-01,30,38,12,-2,46,33,-3,25,25,55,-13,75,53,33,16,19,19
2020-03-02,-6,2,-8,-20,-1,-5,-8,5,-10,6,-13,3,-11,-8,-12,-7,-2
2020-03-03,0,-4,-5,-16,4,-18,21,-7,10,3,9,22,-14,-7,0,-2,0
2020-03-04,5,22,14,-25,16,4,-2,23,12,18,-20,6,-2,3,6,4,7
2020-03-05,22,30,24,-2,28,13,20,37,30,32,15,17,19,31,13,9,29
2020-03-06,-2,5,1,-15,4,2,11,6,3,5,6,16,0,-2,-4,5,-8
2020-03-07,3,7,10,-14,16,-12,38,-1,11,8,10,35,-11,1,13,17,-5
2020-03-08,36,88,35,-3,19,64,8,87,-1,74,4,15,85,22,10,13,44
2020-03-09,8,10,5,-10,30,-6,9,-1,20,23,7,12,-7,8,12,19,-2
2020-03-10,15,12,16,-10,30,4,15,10,23,25,19,21,21,18,4,17,1
2020-03-11,4,22,9,-23,13,0,0,33,11,21,-1,8,-17,1,14,0,19
2020-03-12,-13,-10,-14,-27,-14,-19,-17,4,-11,-1,2,-18,-26,1,-8,-27,-12
2020-03-13,-29,-28,-20,-49,-20,-29,-28,-18,-24,-16,-26,-2,-21,-24,-24,-7,-25
2020-03-14,-29,-2,-11,-60,-24,-17,-42,26,-45,-5,-41,-23,-23,-29,-33,-26,10
