date,BZ
2020-02-15,18
2020-02-16,11
2020-02-17,5
2020-02-18,13
2020-02-19,7
2020-02-20,30
2020-02-21,7
2020-02-22,10
2020-02-23,18
2020-02-24,3
2020-02-25,9
2020-02-26,-1
2020-02-27,-2
2020-02-28,8
2020-02-29,28
2020-03-01,3
2020-03-02,12
2020-03-03,2
2020-03-04,10
2020-03-05,17
2020-03-06,20
2020-03-07,26
2020-03-08,-2
2020-03-09,10
2020-03-10,3
2020-03-11,10
2020-03-12,15
2020-03-13,11
2020-03-14,10
2020-03-15,2
2020-03-16,-5
2020-03-17,-10
2020-03-18,-19
2020-03-19,-3
2020-03-20,-6
2020-03-21,-3
2020-03-22,-25
2020-03-23,-22
2020-03-24,-33
2020-03-25,-39
2020-03-26,-38
2020-03-27,-33
2020-03-28,-36
2020-03-29,-38
2020-03-30,-36
2020-03-31,-36
2020-04-01,-38
2020-04-02,-52
2020-04-03,-55
2020-04-04,-56
2020-04-05,-63
2020-04-06,-54
2020-04-07,-57
2020-04-08,-60
2020-04-09,-52
2020-04-10,-74
2020-04-11,-64
