date,MN
2020-02-15,3
2020-02-16,1
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,4
2020-02-22,2
2020-02-23,5
2020-02-24,15
2020-02-25,22
2020-02-26,23
2020-02-27,13
2020-02-28,14
2020-02-29,9
2020-03-01,8
2020-03-02,9
2020-03-03,3
2020-03-04,5
2020-03-05,5
2020-03-06,6
2020-03-07,3
2020-03-08,2
2020-03-09,5
2020-03-10,10
2020-03-11,18
2020-03-12,18
2020-03-13,18
2020-03-14,12
2020-03-15,9
2020-03-16,6
2020-03-17,7
2020-03-18,7
2020-03-19,9
2020-03-20,9
2020-03-21,5
2020-03-22,1
2020-03-23,4
2020-03-24,6
2020-03-25,8
2020-03-26,8
2020-03-27,8
2020-03-28,4
2020-03-29,2
2020-03-30,6
2020-03-31,5
2020-04-01,4
2020-04-02,4
2020-04-03,5
2020-04-04,0
2020-04-05,-1
2020-04-06,4
2020-04-07,4
2020-04-08,3
2020-04-09,4
2020-04-10,4
2020-04-11,0
