date,LK
2020-02-15,3
2020-02-16,3
2020-02-17,-2
2020-02-18,0
2020-02-19,0
2020-02-20,4
2020-02-21,2
2020-02-22,0
2020-02-23,1
2020-02-24,-1
2020-02-25,3
2020-02-26,2
2020-02-27,3
2020-02-28,5
2020-02-29,5
2020-03-01,4
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,4
2020-03-06,6
2020-03-07,5
2020-03-08,9
2020-03-09,-14
2020-03-10,2
2020-03-11,3
2020-03-12,3
2020-03-13,-3
2020-03-14,-10
2020-03-15,-20
2020-03-16,-37
2020-03-17,-33
2020-03-18,-41
2020-03-19,-46
2020-03-20,-52
2020-03-21,-89
2020-03-22,-88
2020-03-23,-79
2020-03-24,-64
2020-03-25,-86
2020-03-26,-74
2020-03-27,-82
2020-03-28,-88
2020-03-29,-86
2020-03-30,-76
2020-03-31,-85
2020-04-01,-78
2020-04-02,-84
2020-04-03,-84
2020-04-04,-86
2020-04-05,-84
2020-04-06,-71
2020-04-07,-85
2020-04-08,-83
2020-04-09,-70
2020-04-10,-83
2020-04-11,-84
